model_type,bldgname,y_column,imputation_method,feature_method,n_feature,updated_n_feature,time_step,datelevel,rmse,mae,mape,model_file,model_data_path,building_file
ensembles,Old Main,present_elec_kwh,lstm,lassocv,3,3,12,month,942.9010457059592,786.4243120242099,0.05957832334851714,./models/ensembles/Old_Main_Data_Extended_present_elec_kwh_lstm_lassocv_3_3_12_month,./models/tmp/Old_Main_Data_Extended_present_elec_kwh_lstm,Old_Main_Data_Extended.csv
ensembles,Stadium,present_elec_kwh,prophet,lassocv,6,6,12,month,32224.090479092483,27607.56230214958,0.295132450878391,./models/ensembles/Stadium_Data_Extended_present_elec_kwh_prophet_lassocv_6_6_12_month,./models/tmp/Stadium_Data_Extended_present_elec_kwh_prophet,Stadium_Data_Extended.csv
solos,College of Education,present_elec_kwh,linear_interpolation,lassocv,1,1,12,month,3129.2001573354473,2558.0202722381937,0.09053947283881483,./models/solos/College_of_Education_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_1_1_12_month,./models/tmp/College_of_Education_Data_Extended_present_elec_kwh_linear_interpolation,College_of_Education_Data_Extended.csv
solos,Visual Arts,present_elec_kwh,prophet,lassocv,7,5,12,month,5784.147278849836,5031.475100054371,0.08998354494952504,./models/solos/Visual_Arts_Data_Extended_present_elec_kwh_prophet_lassocv_7_5_12_month,./models/tmp/Visual_Arts_Data_Extended_present_elec_kwh_prophet,Visual_Arts_Data_Extended.csv
ensembles,Williams Conservatory,present_elec_kwh,linear_regression,lassocv,5,0,12,month,3925.3071077842988,3486.9943583223157,0.29522298634789945,./models/ensembles/Williams_Conservatory_Data_Extended_present_elec_kwh_linear_regression_lassocv_5_0_12_month,./models/tmp/Williams_Conservatory_Data_Extended_present_elec_kwh_linear_regression,Williams_Conservatory_Data_Extended.csv
ensembles,College of Education,present_elec_kwh,linear_regression,lassocv,1,1,12,month,2258.373847868731,1877.1933183894084,0.06467510131338802,./models/ensembles/College_of_Education_Data_Extended_present_elec_kwh_linear_regression_lassocv_1_1_12_month,./models/tmp/College_of_Education_Data_Extended_present_elec_kwh_linear_regression,College_of_Education_Data_Extended.csv
ensembles,Biological Sciences,present_elec_kwh,lstm,lassocv,7,7,12,month,8935.0287965252,7577.939087273271,0.050544970433544376,./models/ensembles/Biological_Sciences_Data_Extended_present_elec_kwh_lstm_lassocv_7_7_12_month,./models/tmp/Biological_Sciences_Data_Extended_present_elec_kwh_lstm,Biological_Sciences_Data_Extended.csv
solos,Indoor Practice Facility,present_elec_kwh,linear_interpolation,rfecv,3,1,12,month,4655.733726066432,3940.2166465519977,0.21105422666264279,./models/solos/Indoor_Practice_Facility_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_3_1_12_month,./models/tmp/Indoor_Practice_Facility_Data_Extended_present_elec_kwh_linear_interpolation,Indoor_Practice_Facility_Data_Extended.csv
ensembles,Energy Innovation Center,present_htwt_mmbtu,linear_interpolation,rfecv,7,1,12,month,87545.3098388933,86582.64559082058,331.14657402415037,./models/ensembles/Energy_Innovation_Center_Data_Extended_present_htwt_mmbtu_linear_interpolation_rfecv_7_1_12_month,./models/tmp/Energy_Innovation_Center_Data_Extended_present_htwt_mmbtu_linear_interpolation,Energy_Innovation_Center_Data_Extended.csv
xgboost,Biological Sciences,present_chll_tonhr,lstm,lassocv,2,2,12,month,1740.631928898676,1536.1874198271632,0.34343551509517745,./models/xgboost/Biological_Sciences_Data_Extended_present_chll_tonhr_lstm_lassocv_2_2_12_month,./models/tmp/Biological_Sciences_Data_Extended_present_chll_tonhr_lstm,Biological_Sciences_Data_Extended.csv
xgboost,General Storage,present_elec_kwh,prophet,rfecv,1,1,12,month,681.3395170548127,580.0779174045484,0.055926506440041365,./models/xgboost/General_Storage_Data_Extended_present_elec_kwh_prophet_rfecv_1_1_12_month,./models/tmp/General_Storage_Data_Extended_present_elec_kwh_prophet,General_Storage_Data_Extended.csv
solos,Energy Innovation Center,present_htwt_mmbtu,prophet,lassocv,4,1,12,month,80789.28324757089,77565.09325775845,140.2881441547677,./models/solos/Energy_Innovation_Center_Data_Extended_present_htwt_mmbtu_prophet_lassocv_4_1_12_month,./models/tmp/Energy_Innovation_Center_Data_Extended_present_htwt_mmbtu_prophet,Energy_Innovation_Center_Data_Extended.csv
ensembles,Geology,present_elec_kwh,lstm,lassocv,6,1,12,month,1146.9043390132945,1066.9393635165084,0.08436543224775168,./models/ensembles/Geology_Data_Extended_present_elec_kwh_lstm_lassocv_6_1_12_month,./models/tmp/Geology_Data_Extended_present_elec_kwh_lstm,Geology_Data_Extended.csv
ensembles,Indoor Practice Facility,present_elec_kwh,linear_regression,rfecv,7,1,12,month,3992.5537316104874,3594.3219857686267,0.1929379403160491,./models/ensembles/Indoor_Practice_Facility_Data_Extended_present_elec_kwh_linear_regression_rfecv_7_1_12_month,./models/tmp/Indoor_Practice_Facility_Data_Extended_present_elec_kwh_linear_regression,Indoor_Practice_Facility_Data_Extended.csv
ensembles,Half Acre Gym,present_elec_kwh,lstm,rfecv,1,1,12,month,6561.286721823697,4854.09028157215,0.07260494542047356,./models/ensembles/Half_Acre_Gym_Data_Extended_present_elec_kwh_lstm_rfecv_1_1_12_month,./models/tmp/Half_Acre_Gym_Data_Extended_present_elec_kwh_lstm,Half_Acre_Gym_Data_Extended.csv
xgboost,Visual Arts,present_elec_kwh,linear_interpolation,rfecv,4,1,12,month,5848.015148709469,5163.502843559618,0.09319367888351139,./models/xgboost/Visual_Arts_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_4_1_12_month,./models/tmp/Visual_Arts_Data_Extended_present_elec_kwh_linear_interpolation,Visual_Arts_Data_Extended.csv
ensembles,Coe Library,present_elec_kwh,linear_regression,rfecv,3,3,12,month,10867.955458402499,8726.874742047046,0.037209096660628896,./models/ensembles/Coe_Library_Data_Extended_present_elec_kwh_linear_regression_rfecv_3_3_12_month,./models/tmp/Coe_Library_Data_Extended_present_elec_kwh_linear_regression,Coe_Library_Data_Extended.csv
xgboost,Information Technology,present_elec_kwh,linear_regression,rfecv,5,1,12,month,26038.046450296064,22104.375477095375,0.0710737736401761,./models/xgboost/Information_Technology_Data_Extended_present_elec_kwh_linear_regression_rfecv_5_1_12_month,./models/tmp/Information_Technology_Data_Extended_present_elec_kwh_linear_regression,Information_Technology_Data_Extended.csv
ensembles,Energy Innovation Center,present_htwt_mmbtu,linear_interpolation,lassocv,2,0,12,month,86776.52951058147,83393.7561260844,327.36254206243655,./models/ensembles/Energy_Innovation_Center_Data_Extended_present_htwt_mmbtu_linear_interpolation_lassocv_2_0_12_month,./models/tmp/Energy_Innovation_Center_Data_Extended_present_htwt_mmbtu_linear_interpolation,Energy_Innovation_Center_Data_Extended.csv
ensembles,Indoor Practice Facility,present_elec_kwh,linear_regression,rfecv,4,1,12,month,3992.5537316104874,3594.3219857686267,0.1929379403160491,./models/ensembles/Indoor_Practice_Facility_Data_Extended_present_elec_kwh_linear_regression_rfecv_4_1_12_month,./models/tmp/Indoor_Practice_Facility_Data_Extended_present_elec_kwh_linear_regression,Indoor_Practice_Facility_Data_Extended.csv
ensembles,College of Education,present_elec_kwh,lstm,rfecv,1,1,12,month,2266.4338771071057,1805.3910117465593,0.06243160798561724,./models/ensembles/College_of_Education_Data_Extended_present_elec_kwh_lstm_rfecv_1_1_12_month,./models/tmp/College_of_Education_Data_Extended_present_elec_kwh_lstm,College_of_Education_Data_Extended.csv
ensembles,Centennial Complex,present_elec_kwh,linear_regression,lassocv,3,3,12,month,3.1565007439917188,2.331316853589864,0.027731168825151104,./models/ensembles/Centennial_Complex_Data_Extended_present_elec_kwh_linear_regression_lassocv_3_3_12_month,./models/tmp/Centennial_Complex_Data_Extended_present_elec_kwh_linear_regression,Centennial_Complex_Data_Extended.csv
xgboost,Fine Arts,present_elec_kwh,prophet,lassocv,6,6,12,month,7760.361472612117,5998.046608578263,0.0525137341290336,./models/xgboost/Fine_Arts_Data_Extended_present_elec_kwh_prophet_lassocv_6_6_12_month,./models/tmp/Fine_Arts_Data_Extended_present_elec_kwh_prophet,Fine_Arts_Data_Extended.csv
solos,Physical Science,present_chll_tonhr,linear_interpolation,rfecv,2,1,12,month,4360.107469279259,3825.6681662947612,1.4026374033623807,./models/solos/Physical_Science_Data_Extended_present_chll_tonhr_linear_interpolation_rfecv_2_1_12_month,./models/tmp/Physical_Science_Data_Extended_present_chll_tonhr_linear_interpolation,Physical_Science_Data_Extended.csv
xgboost,Physical Science,present_chll_tonhr,prophet,rfecv,3,3,12,month,3911.955742643639,3298.6220990727315,1.268065992479343,./models/xgboost/Physical_Science_Data_Extended_present_chll_tonhr_prophet_rfecv_3_3_12_month,./models/tmp/Physical_Science_Data_Extended_present_chll_tonhr_prophet,Physical_Science_Data_Extended.csv
solos,Half Acre Gym,present_elec_kwh,linear_interpolation,rfecv,2,1,12,month,7340.574741092148,6145.547682739344,0.09298901340945138,./models/solos/Half_Acre_Gym_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_2_1_12_month,./models/tmp/Half_Acre_Gym_Data_Extended_present_elec_kwh_linear_interpolation,Half_Acre_Gym_Data_Extended.csv
xgboost,Centennial Complex,present_chll_tonhr,lstm,rfecv,3,3,12,month,5860.190695170937,5109.958496940191,0.2166085349143967,./models/xgboost/Centennial_Complex_Data_Extended_present_chll_tonhr_lstm_rfecv_3_3_12_month,./models/tmp/Centennial_Complex_Data_Extended_present_chll_tonhr_lstm,Centennial_Complex_Data_Extended.csv
ensembles,Centennial Complex,present_elec_kwh,linear_regression,lassocv,2,2,12,month,3.443060917784279,2.506845691077439,0.02976686216129448,./models/ensembles/Centennial_Complex_Data_Extended_present_elec_kwh_linear_regression_lassocv_2_2_12_month,./models/tmp/Centennial_Complex_Data_Extended_present_elec_kwh_linear_regression,Centennial_Complex_Data_Extended.csv
ensembles,Service Building,present_elec_kwh,prophet,rfecv,2,2,12,month,2501.2160958042937,2166.2697553867533,0.11197179761474674,./models/ensembles/Service_Building_Data_Extended_present_elec_kwh_prophet_rfecv_2_2_12_month,./models/tmp/Service_Building_Data_Extended_present_elec_kwh_prophet,Service_Building_Data_Extended.csv
solos,Fine Arts,present_elec_kwh,linear_regression,lassocv,3,3,12,month,4101.843902112983,3440.701175571999,0.031358363699175815,./models/solos/Fine_Arts_Data_Extended_present_elec_kwh_linear_regression_lassocv_3_3_12_month,./models/tmp/Fine_Arts_Data_Extended_present_elec_kwh_linear_regression,Fine_Arts_Data_Extended.csv
solos,Visual Arts,present_elec_kwh,linear_regression,rfecv,5,2,12,month,5424.215624137687,4652.454326421754,0.08409973469261853,./models/solos/Visual_Arts_Data_Extended_present_elec_kwh_linear_regression_rfecv_5_2_12_month,./models/tmp/Visual_Arts_Data_Extended_present_elec_kwh_linear_regression,Visual_Arts_Data_Extended.csv
xgboost,Biological Sciences,present_chll_tonhr,linear_regression,rfecv,7,7,12,month,1295.0613604312573,1203.2483619662382,0.3084891779785234,./models/xgboost/Biological_Sciences_Data_Extended_present_chll_tonhr_linear_regression_rfecv_7_7_12_month,./models/tmp/Biological_Sciences_Data_Extended_present_chll_tonhr_linear_regression,Biological_Sciences_Data_Extended.csv
xgboost,Aven Nelson,present_elec_kwh,lstm,lassocv,2,2,12,month,1768.174008511096,1556.23633986253,0.13156042937972987,./models/xgboost/Aven_Nelson_Data_Extended_present_elec_kwh_lstm_lassocv_2_2_12_month,./models/tmp/Aven_Nelson_Data_Extended_present_elec_kwh_lstm,Aven_Nelson_Data_Extended.csv
solos,Centennial Complex,present_elec_kwh,linear_regression,rfecv,6,1,12,month,2.9280637382369306,2.0277197623059604,0.024208057279872273,./models/solos/Centennial_Complex_Data_Extended_present_elec_kwh_linear_regression_rfecv_6_1_12_month,./models/tmp/Centennial_Complex_Data_Extended_present_elec_kwh_linear_regression,Centennial_Complex_Data_Extended.csv
solos,Education Annex,present_elec_kwh,lstm,rfecv,7,1,12,month,1192.7658350744734,834.3174776102223,0.05071956103778814,./models/solos/Education_Annex_Data_Extended_present_elec_kwh_lstm_rfecv_7_1_12_month,./models/tmp/Education_Annex_Data_Extended_present_elec_kwh_lstm,Education_Annex_Data_Extended.csv
xgboost,High Bay,present_elec_kwh,lstm,lassocv,1,1,12,month,8269.881984565067,7395.063626245573,0.044977619129368276,./models/xgboost/High_Bay_Data_Extended_present_elec_kwh_lstm_lassocv_1_1_12_month,./models/tmp/High_Bay_Data_Extended_present_elec_kwh_lstm,High_Bay_Data_Extended.csv
solos,Geology,present_elec_kwh,lstm,rfecv,2,1,12,month,1131.6561812952082,1051.2182738338852,0.0831129187995822,./models/solos/Geology_Data_Extended_present_elec_kwh_lstm_rfecv_2_1_12_month,./models/tmp/Geology_Data_Extended_present_elec_kwh_lstm,Geology_Data_Extended.csv
xgboost,Old Main,present_elec_kwh,prophet,lassocv,3,3,12,month,974.6318769424778,826.8838358959937,0.06213482771632206,./models/xgboost/Old_Main_Data_Extended_present_elec_kwh_prophet_lassocv_3_3_12_month,./models/tmp/Old_Main_Data_Extended_present_elec_kwh_prophet,Old_Main_Data_Extended.csv
xgboost,Arts and Sciences,present_elec_kwh,lstm,lassocv,1,1,12,month,1558.7952951867271,1037.4853618165407,0.05735440797172378,./models/xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_lstm_lassocv_1_1_12_month,./models/tmp/Arts_and_Sciences_Data_Extended_present_elec_kwh_lstm,Arts_and_Sciences_Data_Extended.csv
xgboost,Student Union,present_elec_kwh,prophet,lassocv,2,0,12,month,6800.016348030245,5611.502526519826,0.0645766294445153,./models/xgboost/Student_Union_Data_Extended_present_elec_kwh_prophet_lassocv_2_0_12_month,./models/tmp/Student_Union_Data_Extended_present_elec_kwh_prophet,Student_Union_Data_Extended.csv
solos,Student Union,present_elec_kwh,linear_regression,rfecv,7,1,12,month,5844.2822155390195,4774.63297433617,0.05530351103569693,./models/solos/Student_Union_Data_Extended_present_elec_kwh_linear_regression_rfecv_7_1_12_month,./models/tmp/Student_Union_Data_Extended_present_elec_kwh_linear_regression,Student_Union_Data_Extended.csv
xgboost,Biological Sciences,present_elec_kwh,lstm,rfecv,3,2,12,month,8783.540590029712,7221.322612514146,0.04847733302423284,./models/xgboost/Biological_Sciences_Data_Extended_present_elec_kwh_lstm_rfecv_3_2_12_month,./models/tmp/Biological_Sciences_Data_Extended_present_elec_kwh_lstm,Biological_Sciences_Data_Extended.csv
ensembles,Williams Conservatory,present_elec_kwh,lstm,lassocv,4,1,12,month,4513.972809850661,4109.5157371243085,0.3581310377769254,./models/ensembles/Williams_Conservatory_Data_Extended_present_elec_kwh_lstm_lassocv_4_1_12_month,./models/tmp/Williams_Conservatory_Data_Extended_present_elec_kwh_lstm,Williams_Conservatory_Data_Extended.csv
solos,Indoor Practice Facility,present_elec_kwh,lstm,lassocv,7,2,12,month,4312.333321367388,3683.697672751702,0.20346885724055758,./models/solos/Indoor_Practice_Facility_Data_Extended_present_elec_kwh_lstm_lassocv_7_2_12_month,./models/tmp/Indoor_Practice_Facility_Data_Extended_present_elec_kwh_lstm,Indoor_Practice_Facility_Data_Extended.csv
xgboost,Aven Nelson,present_elec_kwh,lstm,rfecv,7,1,12,month,1770.1786346590807,1559.2283771221455,0.13176526961520685,./models/xgboost/Aven_Nelson_Data_Extended_present_elec_kwh_lstm_rfecv_7_1_12_month,./models/tmp/Aven_Nelson_Data_Extended_present_elec_kwh_lstm,Aven_Nelson_Data_Extended.csv
ensembles,College of Education,present_elec_kwh,linear_interpolation,rfecv,7,4,12,month,3065.9548668510643,2483.706762607666,0.08831983394469757,./models/ensembles/College_of_Education_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_7_4_12_month,./models/tmp/College_of_Education_Data_Extended_present_elec_kwh_linear_interpolation,College_of_Education_Data_Extended.csv
xgboost,WTBC,present_elec_kwh,lstm,lassocv,1,1,12,month,2456.7531741478538,2046.9847500868636,0.05182157725210842,./models/xgboost/WTBC_Data_Extended_present_elec_kwh_lstm_lassocv_1_1_12_month,./models/tmp/WTBC_Data_Extended_present_elec_kwh_lstm,WTBC_Data_Extended.csv
solos,Energy Innovation Center,present_chll_tonhr,prophet,rfecv,5,2,12,month,146.1378615554427,128.18680065848264,0.31084050949065184,./models/solos/Energy_Innovation_Center_Data_Extended_present_chll_tonhr_prophet_rfecv_5_2_12_month,./models/tmp/Energy_Innovation_Center_Data_Extended_present_chll_tonhr_prophet,Energy_Innovation_Center_Data_Extended.csv
xgboost,College of Education,present_elec_kwh,linear_interpolation,rfecv,2,2,12,month,3070.3955378826895,2467.073768028846,0.08802496777465557,./models/xgboost/College_of_Education_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_2_2_12_month,./models/tmp/College_of_Education_Data_Extended_present_elec_kwh_linear_interpolation,College_of_Education_Data_Extended.csv
xgboost,Energy Innovation Center,present_htwt_mmbtu,linear_interpolation,rfecv,1,1,12,month,93585.25106516648,93584.87539845901,347.7635760966729,./models/xgboost/Energy_Innovation_Center_Data_Extended_present_htwt_mmbtu_linear_interpolation_rfecv_1_1_12_month,./models/tmp/Energy_Innovation_Center_Data_Extended_present_htwt_mmbtu_linear_interpolation,Energy_Innovation_Center_Data_Extended.csv
solos,Indoor Practice Facility,present_elec_kwh,prophet,lassocv,6,3,12,month,4582.7808188197005,3977.766613104585,0.21186921568418468,./models/solos/Indoor_Practice_Facility_Data_Extended_present_elec_kwh_prophet_lassocv_6_3_12_month,./models/tmp/Indoor_Practice_Facility_Data_Extended_present_elec_kwh_prophet,Indoor_Practice_Facility_Data_Extended.csv
ensembles,Aven Nelson,present_elec_kwh,prophet,lassocv,3,3,12,month,1642.6984209420204,1505.5196297877321,0.12051740954518023,./models/ensembles/Aven_Nelson_Data_Extended_present_elec_kwh_prophet_lassocv_3_3_12_month,./models/tmp/Aven_Nelson_Data_Extended_present_elec_kwh_prophet,Aven_Nelson_Data_Extended.csv
ensembles,Earth Sciences,present_chll_tonhr,lstm,rfecv,3,2,12,month,1846.3438208603256,1540.7975803768686,0.7822887923682373,./models/ensembles/Earth_Sciences_Data_Extended_present_chll_tonhr_lstm_rfecv_3_2_12_month,./models/tmp/Earth_Sciences_Data_Extended_present_chll_tonhr_lstm,Earth_Sciences_Data_Extended.csv
xgboost,Information Technology,present_elec_kwh,linear_interpolation,rfecv,3,1,12,month,25710.687336165072,21768.801923077266,0.07048922960765244,./models/xgboost/Information_Technology_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_3_1_12_month,./models/tmp/Information_Technology_Data_Extended_present_elec_kwh_linear_interpolation,Information_Technology_Data_Extended.csv
ensembles,Old Main,present_elec_kwh,lstm,rfecv,3,1,12,month,893.3907138988762,730.0966150637495,0.05538413911888343,./models/ensembles/Old_Main_Data_Extended_present_elec_kwh_lstm_rfecv_3_1_12_month,./models/tmp/Old_Main_Data_Extended_present_elec_kwh_lstm,Old_Main_Data_Extended.csv
xgboost,Earth Sciences,present_chll_tonhr,linear_regression,rfecv,5,2,12,month,1004.5753277195699,860.0200621602164,0.5207145539940117,./models/xgboost/Earth_Sciences_Data_Extended_present_chll_tonhr_linear_regression_rfecv_5_2_12_month,./models/tmp/Earth_Sciences_Data_Extended_present_chll_tonhr_linear_regression,Earth_Sciences_Data_Extended.csv
solos,Williams Conservatory,present_elec_kwh,lstm,rfecv,4,1,12,month,4195.778547084743,3915.184597682783,0.3485762911359178,./models/solos/Williams_Conservatory_Data_Extended_present_elec_kwh_lstm_rfecv_4_1_12_month,./models/tmp/Williams_Conservatory_Data_Extended_present_elec_kwh_lstm,Williams_Conservatory_Data_Extended.csv
ensembles,Centennial Complex,present_chll_tonhr,linear_regression,rfecv,3,2,12,month,5383.329697260977,4760.335219456583,0.1960154879377617,./models/ensembles/Centennial_Complex_Data_Extended_present_chll_tonhr_linear_regression_rfecv_3_2_12_month,./models/tmp/Centennial_Complex_Data_Extended_present_chll_tonhr_linear_regression,Centennial_Complex_Data_Extended.csv
xgboost,Biological Sciences,present_elec_kwh,linear_regression,lassocv,5,5,12,month,8678.610700199528,7527.4553951754415,0.050431607731135045,./models/xgboost/Biological_Sciences_Data_Extended_present_elec_kwh_linear_regression_lassocv_5_5_12_month,./models/tmp/Biological_Sciences_Data_Extended_present_elec_kwh_linear_regression,Biological_Sciences_Data_Extended.csv
ensembles,Stadium,present_elec_kwh,linear_interpolation,rfecv,1,1,12,month,33428.67157969555,28931.318098690368,0.3187503440098122,./models/ensembles/Stadium_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_1_1_12_month,./models/tmp/Stadium_Data_Extended_present_elec_kwh_linear_interpolation,Stadium_Data_Extended.csv
xgboost,Physical Science,present_chll_tonhr,linear_interpolation,rfecv,5,1,12,month,4358.33280568449,3850.814254359445,1.4315377860041858,./models/xgboost/Physical_Science_Data_Extended_present_chll_tonhr_linear_interpolation_rfecv_5_1_12_month,./models/tmp/Physical_Science_Data_Extended_present_chll_tonhr_linear_interpolation,Physical_Science_Data_Extended.csv
solos,Arts and Sciences,present_elec_kwh,linear_regression,lassocv,5,5,12,month,1670.5749135920923,1204.2445326296277,0.06754319276506826,./models/solos/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_regression_lassocv_5_5_12_month,./models/tmp/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_regression,Arts_and_Sciences_Data_Extended.csv
ensembles,Education Annex,present_elec_kwh,prophet,rfecv,6,2,12,month,1186.1658602112684,797.4666042254429,0.04789194170297213,./models/ensembles/Education_Annex_Data_Extended_present_elec_kwh_prophet_rfecv_6_2_12_month,./models/tmp/Education_Annex_Data_Extended_present_elec_kwh_prophet,Education_Annex_Data_Extended.csv
