model_type,bldgname,y_column,imputation_method,feature_method,n_feature,updated_n_feature,time_step,datelevel,rmse,mae,mape,model_file,model_data_path,building_file
xgboost,Visual Arts,present_elec_kwh,linear_interpolation,rfecv,6,1,1,year,123724.09022686149,122843.46250000014,0.17724011593305627,./models/xgboost/Visual_Arts_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_6_1_1_year,./models/tmp/Visual_Arts_Data_Extended_present_elec_kwh_linear_interpolation,Visual_Arts_Data_Extended.csv
xgboost,Visual Arts,present_elec_kwh,linear_interpolation,rfecv,7,1,1,year,123724.09022686149,122843.46250000014,0.17724011593305627,./models/xgboost/Visual_Arts_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_7_1_1_year,./models/tmp/Visual_Arts_Data_Extended_present_elec_kwh_linear_interpolation,Visual_Arts_Data_Extended.csv
xgboost,College of Education,present_elec_kwh,prophet,rfecv,3,1,1,year,56013.021441696605,55941.32688491797,0.15144702749190359,./models/xgboost/College_of_Education_Data_Extended_present_elec_kwh_prophet_rfecv_3_1_1_year,./models/tmp/College_of_Education_Data_Extended_present_elec_kwh_prophet,College_of_Education_Data_Extended.csv
xgboost,Earth Sciences,present_chll_tonhr,prophet,rfecv,1,1,1,year,4417.701620218474,4417.029622154723,0.17216695537169202,./models/xgboost/Earth_Sciences_Data_Extended_present_chll_tonhr_prophet_rfecv_1_1_1_year,./models/tmp/Earth_Sciences_Data_Extended_present_chll_tonhr_prophet,Earth_Sciences_Data_Extended.csv
xgboost,Visual Arts,present_elec_kwh,lstm,lassocv,6,2,1,year,121486.25673248155,120112.68958816538,0.1748361602923418,./models/xgboost/Visual_Arts_Data_Extended_present_elec_kwh_lstm_lassocv_6_2_1_year,./models/tmp/Visual_Arts_Data_Extended_present_elec_kwh_lstm,Visual_Arts_Data_Extended.csv
xgboost,Centennial Complex,present_chll_tonhr,lstm,lassocv,4,4,1,year,26222.823017119757,26206.38369033896,0.08427572067185167,./models/xgboost/Centennial_Complex_Data_Extended_present_chll_tonhr_lstm_lassocv_4_4_1_year,./models/tmp/Centennial_Complex_Data_Extended_present_chll_tonhr_lstm,Centennial_Complex_Data_Extended.csv
xgboost,WRI and Bureau of Mines,present_elec_kwh,linear_regression,lassocv,3,2,1,year,67166.12623836785,67148.03425064354,0.1442366398029264,./models/xgboost/WRI_and_Bureau_of_Mines_Data_Extended_present_elec_kwh_linear_regression_lassocv_3_2_1_year,./models/tmp/WRI_and_Bureau_of_Mines_Data_Extended_present_elec_kwh_linear_regression,WRI_and_Bureau_of_Mines_Data_Extended.csv
xgboost,WRI and Bureau of Mines,present_elec_kwh,linear_regression,lassocv,4,2,1,year,67166.12623836785,67148.03425064354,0.1442366398029264,./models/xgboost/WRI_and_Bureau_of_Mines_Data_Extended_present_elec_kwh_linear_regression_lassocv_4_2_1_year,./models/tmp/WRI_and_Bureau_of_Mines_Data_Extended_present_elec_kwh_linear_regression,WRI_and_Bureau_of_Mines_Data_Extended.csv
xgboost,Centennial Complex,present_elec_kwh,linear_interpolation,lassocv,3,3,1,year,153.8439607854002,152.47065986325453,0.14762271321543743,./models/xgboost/Centennial_Complex_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_3_3_1_year,./models/tmp/Centennial_Complex_Data_Extended_present_elec_kwh_linear_interpolation,Centennial_Complex_Data_Extended.csv
xgboost,College of Education,present_elec_kwh,prophet,rfecv,6,1,1,year,56013.021441696605,55941.32688491797,0.15144702749190359,./models/xgboost/College_of_Education_Data_Extended_present_elec_kwh_prophet_rfecv_6_1_1_year,./models/tmp/College_of_Education_Data_Extended_present_elec_kwh_prophet,College_of_Education_Data_Extended.csv
