model_type,bldgname,y_column,imputation_method,feature_method,n_feature,updated_n_feature,time_step,datelevel,rmse,mae,mape,model_file,model_data_path,building_file
xgboost,Service Building,present_elec_kwh,linear_regression,lassocv,5,5,24,hour,10.602846056505214,7.173084620454694,0.34752770582199044,./models/xgboost/Service_Building_Data_Extended_present_elec_kwh_linear_regression_lassocv_5_5_24_hour,./models/tmp/Service_Building_Data_Extended_present_elec_kwh_linear_regression,Service_Building_Data_Extended.csv
ensembles,Energy Innovation Center,present_htwt_mmbtu,lstm,lassocv,7,0,24,hour,4.805137839186356,1.5761362627485607,5.103252797058173,./models/ensembles/Energy_Innovation_Center_Data_Extended_present_htwt_mmbtu_lstm_lassocv_7_0_24_hour,./models/tmp/Energy_Innovation_Center_Data_Extended_present_htwt_mmbtu_lstm,Energy_Innovation_Center_Data_Extended.csv
solos,Arts and Sciences,present_elec_kwh,lstm,lassocv,4,2,24,hour,5.580644600862723,4.2982520830868856,0.2163544988886082,./models/solos/Arts_and_Sciences_Data_Extended_present_elec_kwh_lstm_lassocv_4_2_24_hour,./models/tmp/Arts_and_Sciences_Data_Extended_present_elec_kwh_lstm,Arts_and_Sciences_Data_Extended.csv
solos,Williams Conservatory,present_elec_kwh,lstm,rfecv,5,1,24,hour,5.014799246895329,4.061469428433895,0.2899026090724554,./models/solos/Williams_Conservatory_Data_Extended_present_elec_kwh_lstm_rfecv_5_1_24_hour,./models/tmp/Williams_Conservatory_Data_Extended_present_elec_kwh_lstm,Williams_Conservatory_Data_Extended.csv
ensembles,College of Education,present_elec_kwh,linear_regression,lassocv,4,4,24,hour,14.121717580910241,10.996676148380603,0.3520880260668196,./models/ensembles/College_of_Education_Data_Extended_present_elec_kwh_linear_regression_lassocv_4_4_24_hour,./models/tmp/College_of_Education_Data_Extended_present_elec_kwh_linear_regression,College_of_Education_Data_Extended.csv
ensembles,Indoor Practice Facility,present_elec_kwh,linear_interpolation,lassocv,7,6,24,hour,9.633731674556055,7.204780985131225,0.3586048784349003,./models/ensembles/Indoor_Practice_Facility_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_7_6_24_hour,./models/tmp/Indoor_Practice_Facility_Data_Extended_present_elec_kwh_linear_interpolation,Indoor_Practice_Facility_Data_Extended.csv
xgboost,Physical Science,present_chll_tonhr,linear_interpolation,lassocv,4,4,24,hour,2.84890635777058,1.6848247923933548,0.4490073879053362,./models/xgboost/Physical_Science_Data_Extended_present_chll_tonhr_linear_interpolation_lassocv_4_4_24_hour,./models/tmp/Physical_Science_Data_Extended_present_chll_tonhr_linear_interpolation,Physical_Science_Data_Extended.csv
solos,WRI and Bureau of Mines,present_elec_kwh,linear_interpolation,rfecv,4,2,24,hour,6.8321249553320325,5.3893678522363455,0.10356113268986272,./models/solos/WRI_and_Bureau_of_Mines_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_4_2_24_hour,./models/tmp/WRI_and_Bureau_of_Mines_Data_Extended_present_elec_kwh_linear_interpolation,WRI_and_Bureau_of_Mines_Data_Extended.csv
solos,High Bay,present_elec_kwh,prophet,rfecv,2,2,24,hour,27.22478161144702,23.618656230650917,0.10490605824584097,./models/solos/High_Bay_Data_Extended_present_elec_kwh_prophet_rfecv_2_2_24_hour,./models/tmp/High_Bay_Data_Extended_present_elec_kwh_prophet,High_Bay_Data_Extended.csv
solos,Centennial Complex,present_chll_tonhr,linear_interpolation,rfecv,4,3,24,hour,12.405291689459759,10.415457306289795,0.3531137927249006,./models/solos/Centennial_Complex_Data_Extended_present_chll_tonhr_linear_interpolation_rfecv_4_3_24_hour,./models/tmp/Centennial_Complex_Data_Extended_present_chll_tonhr_linear_interpolation,Centennial_Complex_Data_Extended.csv
