model_type,bldgname,y_column,imputation_method,feature_method,n_feature,updated_n_feature,time_step,datelevel,rmse,mae,mape,model_file,model_data_path,building_file
ensembles,Centennial Complex,present_elec_kwh,lstm,rfecv,5,1,30,day,0.286971640862181,0.2188122886517323,0.08605264106636092,./models/ensembles/Centennial_Complex_Data_Extended_present_elec_kwh_lstm_rfecv_5_1_30_day,./models/tmp/Centennial_Complex_Data_Extended_present_elec_kwh_lstm,Centennial_Complex_Data_Extended.csv
solos,College of Education,present_elec_kwh,linear_interpolation,rfecv,5,2,30,day,386.1937996725282,327.57607363434323,0.40591290787530077,./models/solos/College_of_Education_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_5_2_30_day,./models/tmp/College_of_Education_Data_Extended_present_elec_kwh_linear_interpolation,College_of_Education_Data_Extended.csv
solos,Stadium,present_elec_kwh,prophet,rfecv,6,4,30,day,897.5868886581981,702.1205588174306,0.21629605219274978,./models/solos/Stadium_Data_Extended_present_elec_kwh_prophet_rfecv_6_4_30_day,./models/tmp/Stadium_Data_Extended_present_elec_kwh_prophet,Stadium_Data_Extended.csv
ensembles,Stadium,present_elec_kwh,lstm,rfecv,3,3,30,day,956.3821837072422,747.0739157274135,0.23041615960351222,./models/ensembles/Stadium_Data_Extended_present_elec_kwh_lstm_rfecv_3_3_30_day,./models/tmp/Stadium_Data_Extended_present_elec_kwh_lstm,Stadium_Data_Extended.csv
solos,Physical Science,present_elec_kwh,linear_interpolation,rfecv,5,1,30,day,601.3657487657723,419.3602523495262,0.06763683114789654,./models/solos/Physical_Science_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_5_1_30_day,./models/tmp/Physical_Science_Data_Extended_present_elec_kwh_linear_interpolation,Physical_Science_Data_Extended.csv
solos,Information Technology,present_elec_kwh,lstm,rfecv,5,2,30,day,856.3709937673831,629.0512451469598,0.06916022414134221,./models/solos/Information_Technology_Data_Extended_present_elec_kwh_lstm_rfecv_5_2_30_day,./models/tmp/Information_Technology_Data_Extended_present_elec_kwh_lstm,Information_Technology_Data_Extended.csv
solos,WRI and Bureau of Mines,present_elec_kwh,lstm,lassocv,5,4,30,day,115.92470489931803,86.6209291686014,0.07241641581127714,./models/solos/WRI_and_Bureau_of_Mines_Data_Extended_present_elec_kwh_lstm_lassocv_5_4_30_day,./models/tmp/WRI_and_Bureau_of_Mines_Data_Extended_present_elec_kwh_lstm,WRI_and_Bureau_of_Mines_Data_Extended.csv
ensembles,Indoor Practice Facility,present_elec_kwh,prophet,rfecv,1,1,30,day,185.69662576841145,144.72077970158276,0.2602269670208384,./models/ensembles/Indoor_Practice_Facility_Data_Extended_present_elec_kwh_prophet_rfecv_1_1_30_day,./models/tmp/Indoor_Practice_Facility_Data_Extended_present_elec_kwh_prophet,Indoor_Practice_Facility_Data_Extended.csv
solos,Half Acre Gym,present_elec_kwh,linear_regression,lassocv,2,2,30,day,645.068286702047,537.1790999299005,0.25304453285291995,./models/solos/Half_Acre_Gym_Data_Extended_present_elec_kwh_linear_regression_lassocv_2_2_30_day,./models/tmp/Half_Acre_Gym_Data_Extended_present_elec_kwh_linear_regression,Half_Acre_Gym_Data_Extended.csv
xgboost,Half Acre Gym,present_elec_kwh,linear_interpolation,lassocv,2,2,30,day,726.8119690811794,602.9201307557405,0.3041242202009789,./models/xgboost/Half_Acre_Gym_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_2_2_30_day,./models/tmp/Half_Acre_Gym_Data_Extended_present_elec_kwh_linear_interpolation,Half_Acre_Gym_Data_Extended.csv
xgboost,General Storage,present_elec_kwh,prophet,rfecv,1,1,30,day,93.64787880363978,77.6114336395401,0.25793046303368844,./models/xgboost/General_Storage_Data_Extended_present_elec_kwh_prophet_rfecv_1_1_30_day,./models/tmp/General_Storage_Data_Extended_present_elec_kwh_prophet,General_Storage_Data_Extended.csv
xgboost,Half Acre Gym,present_elec_kwh,lstm,rfecv,7,2,30,day,656.7096012662435,541.9878094079712,0.2604499111563597,./models/xgboost/Half_Acre_Gym_Data_Extended_present_elec_kwh_lstm_rfecv_7_2_30_day,./models/tmp/Half_Acre_Gym_Data_Extended_present_elec_kwh_lstm,Half_Acre_Gym_Data_Extended.csv
ensembles,Williams Conservatory,present_elec_kwh,linear_interpolation,rfecv,1,1,30,day,92.76151946743462,71.95144959624868,0.2069691789254411,./models/ensembles/Williams_Conservatory_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_1_1_30_day,./models/tmp/Williams_Conservatory_Data_Extended_present_elec_kwh_linear_interpolation,Williams_Conservatory_Data_Extended.csv
ensembles,Coe Library,present_elec_kwh,linear_interpolation,rfecv,3,3,30,day,636.8937627830612,428.53000396541677,0.06226578440161027,./models/ensembles/Coe_Library_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_3_3_30_day,./models/tmp/Coe_Library_Data_Extended_present_elec_kwh_linear_interpolation,Coe_Library_Data_Extended.csv
xgboost,Arts and Sciences,present_elec_kwh,linear_interpolation,rfecv,2,1,30,day,106.8133784693949,80.62463257347818,0.1747670505968962,./models/xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_2_1_30_day,./models/tmp/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_interpolation,Arts_and_Sciences_Data_Extended.csv
ensembles,Coe Library,present_elec_kwh,linear_interpolation,lassocv,5,5,30,day,657.2313990597778,456.2402267982291,0.06581348586402859,./models/ensembles/Coe_Library_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_5_5_30_day,./models/tmp/Coe_Library_Data_Extended_present_elec_kwh_linear_interpolation,Coe_Library_Data_Extended.csv
solos,Education Annex,present_elec_kwh,prophet,lassocv,3,2,30,day,139.3922323852298,115.63172386395209,0.2514004928465654,./models/solos/Education_Annex_Data_Extended_present_elec_kwh_prophet_lassocv_3_2_30_day,./models/tmp/Education_Annex_Data_Extended_present_elec_kwh_prophet,Education_Annex_Data_Extended.csv
ensembles,Old Main,present_elec_kwh,linear_interpolation,rfecv,4,1,30,day,118.37181594514749,100.56398886144247,0.279737648703101,./models/ensembles/Old_Main_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_4_1_30_day,./models/tmp/Old_Main_Data_Extended_present_elec_kwh_linear_interpolation,Old_Main_Data_Extended.csv
ensembles,General Storage,present_elec_kwh,linear_interpolation,rfecv,5,2,30,day,95.40587596612997,79.82492155778995,0.26329535795519415,./models/ensembles/General_Storage_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_5_2_30_day,./models/tmp/General_Storage_Data_Extended_present_elec_kwh_linear_interpolation,General_Storage_Data_Extended.csv
xgboost,Physical Science,present_chll_tonhr,lstm,lassocv,2,2,30,day,96.31501308768722,67.29124526381155,0.9004439223417123,./models/xgboost/Physical_Science_Data_Extended_present_chll_tonhr_lstm_lassocv_2_2_30_day,./models/tmp/Physical_Science_Data_Extended_present_chll_tonhr_lstm,Physical_Science_Data_Extended.csv
ensembles,WTBC,present_elec_kwh,lstm,lassocv,6,2,30,day,137.60305177229196,101.49660153172631,0.08762672590123541,./models/ensembles/WTBC_Data_Extended_present_elec_kwh_lstm_lassocv_6_2_30_day,./models/tmp/WTBC_Data_Extended_present_elec_kwh_lstm,WTBC_Data_Extended.csv
xgboost,Enzi-STEM,present_elec_kwh,lstm,rfecv,4,2,30,day,342.6203032152753,243.23688309250596,0.06646164322153508,./models/xgboost/Enzi-STEM_Data_Extended_present_elec_kwh_lstm_rfecv_4_2_30_day,./models/tmp/Enzi-STEM_Data_Extended_present_elec_kwh_lstm,Enzi-STEM_Data_Extended.csv
ensembles,Stadium,present_elec_kwh,lstm,lassocv,4,4,30,day,947.5856364894752,737.5166137030172,0.22693786541737554,./models/ensembles/Stadium_Data_Extended_present_elec_kwh_lstm_lassocv_4_4_30_day,./models/tmp/Stadium_Data_Extended_present_elec_kwh_lstm,Stadium_Data_Extended.csv
ensembles,Visual Arts,present_elec_kwh,linear_interpolation,lassocv,2,2,30,day,310.54482006669974,242.07470818963674,0.1399805235910172,./models/ensembles/Visual_Arts_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_2_2_30_day,./models/tmp/Visual_Arts_Data_Extended_present_elec_kwh_linear_interpolation,Visual_Arts_Data_Extended.csv
xgboost,Arts and Sciences,present_elec_kwh,lstm,lassocv,4,3,30,day,87.63590762493014,67.72888237632425,0.13160832275814965,./models/xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_lstm_lassocv_4_3_30_day,./models/tmp/Arts_and_Sciences_Data_Extended_present_elec_kwh_lstm,Arts_and_Sciences_Data_Extended.csv
