campus,bldgname,ts,present_elec_kwh,historical_elec_kwh,present_htwt_mmbtu,historical_htwt_mmbtu,present_wtr_usgal,historical_wtr_usgal,present_chll_tonhr,historical_chll_tonhr,present_co2_tons,historical_co2_tons,latitude,longitude,year,month,day,hour,temp_c,rel_humidity_%,surface_pressure_hpa,cloud_cover_%,direct_radiation_w/m2,precipitation_mm,wind_speed_ground_km/h,wind_dir_ground_deg
East,Animal Science,2023-02-05T00:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,0,-3.6,54,772.8,1,0.0,0.0,24.4,261
East,Animal Science,2023-02-05T01:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,1,-4.0,54,772.5,61,0.0,0.0,21.1,261
East,Animal Science,2023-02-05T02:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,2,-4.3,55,771.4,84,0.0,0.0,18.3,260
East,Animal Science,2023-02-05T03:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,3,-4.4,55,770.6,88,0.0,0.0,17.6,255
East,Animal Science,2023-02-05T04:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,4,-4.4,55,770.1,79,0.0,0.0,14.9,250
East,Animal Science,2023-02-05T05:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,5,-4.6,55,769.5,49,0.0,0.0,13.7,243
East,Animal Science,2023-02-05T06:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,6,-5.3,57,768.9,55,0.0,0.0,12.8,238
East,Animal Science,2023-02-05T07:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,7,-6.7,61,767.2,35,0.0,0.0,10.9,224
East,Animal Science,2023-02-05T08:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,8,-8.1,65,765.9,32,13.0,0.0,10.9,197
East,Animal Science,2023-02-05T09:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,9,-6.7,64,766.9,27,66.0,0.0,10.1,174
East,Animal Science,2023-02-05T10:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,10,-3.8,59,768.5,25,179.0,0.0,11.6,173
East,Animal Science,2023-02-05T11:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,11,-0.6,53,770.3,17,309.0,0.0,12.4,172
East,Animal Science,2023-02-05T12:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,12,1.4,50,769.9,12,503.0,0.0,12.7,172
East,Animal Science,2023-02-05T13:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,13,2.7,49,769.2,9,534.0,0.0,13.4,185
East,Animal Science,2023-02-05T14:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,14,3.7,47,768.5,7,486.0,0.0,14.8,206
East,Animal Science,2023-02-05T15:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,15,3.9,45,768.2,14,392.0,0.0,15.1,205
East,Animal Science,2023-02-05T16:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,16,3.2,46,766.8,7,252.0,0.0,11.8,207
East,Animal Science,2023-02-05T17:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,17,1.5,50,765.6,1,91.0,0.0,11.6,216
East,Animal Science,2023-02-05T18:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,18,-0.4,54,764.4,1,3.0,0.0,11.5,231
East,Animal Science,2023-02-05T19:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,19,-1.8,56,763.8,2,0.0,0.0,14.7,253
East,Animal Science,2023-02-05T20:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,20,-2.6,58,764.3,1,0.0,0.0,19.4,260
East,Animal Science,2023-02-05T21:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,21,-3.4,61,764.8,2,0.0,0.0,19.2,262
East,Animal Science,2023-02-05T22:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,22,-4.2,68,765.1,3,0.0,0.0,16.7,263
East,Animal Science,2023-02-05T23:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,23,-5.0,75,764.6,4,0.0,0.0,14.2,263
East,Arena Auditorium,2023-02-05T00:00:00,,2650.0,,,,,,,,1.8285,41.313276,-105.569515,2023,2,5,0,-6.0,75,764.0,6,0.0,0.0,13.5,261
East,Arena Auditorium,2023-02-05T01:00:00,,2670.0,,,,,,,,1.8423,41.313276,-105.569515,2023,2,5,1,-5.7,78,764.6,60,0.0,0.1,17.7,268
East,Arena Auditorium,2023-02-05T02:00:00,,2660.0,,,,,,,,1.8354,41.313276,-105.569515,2023,2,5,2,-5.5,79,765.0,18,0.0,0.1,20.2,273
East,Arena Auditorium,2023-02-05T03:00:00,,3120.0,,,,,,,,2.1528,41.313276,-105.569515,2023,2,5,3,-6.0,78,763.6,16,0.0,0.0,22.6,287
East,Arena Auditorium,2023-02-05T04:00:00,,2240.0,,,,,,,,1.5456,41.313276,-105.569515,2023,2,5,4,-6.9,77,764.1,5,0.0,0.0,24.1,287
East,Arena Auditorium,2023-02-05T05:00:00,,3130.0,,,,,,,,2.1597,41.313276,-105.569515,2023,2,5,5,-7.5,76,764.1,35,0.0,0.0,23.9,282
East,Arena Auditorium,2023-02-05T06:00:00,,2240.0,,,,,,,,1.5456,41.313276,-105.569515,2023,2,5,6,-8.0,76,764.2,60,0.0,0.0,27.3,279
East,Arena Auditorium,2023-02-05T07:00:00,,3720.0,,,,,,,,2.5668,41.313276,-105.569515,2023,2,5,7,-8.0,76,764.6,30,0.0,0.0,31.2,277
East,Arena Auditorium,2023-02-05T08:00:00,,2780.0,,,,,,,,1.9182,41.313276,-105.569515,2023,2,5,8,-7.9,75,765.2,50,26.0,0.0,32.5,275
East,Arena Auditorium,2023-02-05T09:00:00,,4000.0,,,,,,,,2.76,41.313276,-105.569515,2023,2,5,9,-7.0,73,766.1,68,168.0,0.0,31.6,281
East,Arena Auditorium,2023-02-05T10:00:00,,2840.0,,,,,,,,1.9596,41.313276,-105.569515,2023,2,5,10,-5.8,71,767.7,61,267.0,0.0,26.0,284
East,Arena Auditorium,2023-02-05T11:00:00,,3930.0,,,,,,,,2.7117,41.313276,-105.569515,2023,2,5,11,-4.9,69,769.0,100,351.0,0.0,26.1,285
East,Arena Auditorium,2023-02-05T12:00:00,,2780.0,,,,,,,,1.9182,41.313276,-105.569515,2023,2,5,12,-4.3,70,769.3,100,185.0,0.1,25.0,285
East,Arena Auditorium,2023-02-05T13:00:00,,3900.0,,,,,,,,2.691,41.313276,-105.569515,2023,2,5,13,-4.1,71,769.5,100,79.0,0.2,27.7,295
East,Arena Auditorium,2023-02-05T14:00:00,,2790.0,,,,,,,,1.9251,41.313276,-105.569515,2023,2,5,14,-4.1,73,770.0,100,86.0,0.1,26.9,302
East,Arena Auditorium,2023-02-05T15:00:00,,3870.0,,,,,,,,2.6703,41.313276,-105.569515,2023,2,5,15,-4.3,77,770.8,100,33.0,0.1,24.3,308
East,Arena Auditorium,2023-02-05T16:00:00,,2810.0,,,,,,,,1.9389,41.313276,-105.569515,2023,2,5,16,-4.6,80,771.4,100,12.0,0.2,23.2,303
East,Arena Auditorium,2023-02-05T17:00:00,,3990.0,,,,,,,,2.7531,41.313276,-105.569515,2023,2,5,17,1.5,50,765.6,1,91.0,0.0,11.6,216
East,Arena Auditorium,2023-02-05T18:00:00,,2860.0,,,,,,,,1.9734,41.313276,-105.569515,2023,2,5,18,-0.4,54,764.4,1,3.0,0.0,11.5,231
East,Arena Auditorium,2023-02-05T19:00:00,,3960.0,,,,,,,,2.7324,41.313276,-105.569515,2023,2,5,19,-1.8,56,763.8,2,0.0,0.0,14.7,253
East,Arena Auditorium,2023-02-05T20:00:00,,2840.0,,,,,,,,1.9596,41.313276,-105.569515,2023,2,5,20,-2.6,58,764.3,1,0.0,0.0,19.4,260
East,Arena Auditorium,2023-02-05T21:00:00,,4000.0,,,,,,,,2.76,41.313276,-105.569515,2023,2,5,21,-3.4,61,764.8,2,0.0,0.0,19.2,262
East,Arena Auditorium,2023-02-05T22:00:00,,2590.0,,,,,,,,1.7871,41.313276,-105.569515,2023,2,5,22,-4.2,68,765.1,3,0.0,0.0,16.7,263
East,Arena Auditorium,2023-02-05T23:00:00,,2800.0,,,,,,,,1.932,41.313276,-105.569515,2023,2,5,23,-5.0,75,764.6,4,0.0,0.0,14.2,263
East,Beta House,2023-02-05T00:00:00,,,,,,,,,,,41.312713,-105.572931,2023,2,5,0,-6.0,75,764.0,6,0.0,0.0,13.5,261
East,Beta House,2023-02-05T01:00:00,,,,,,,,,,,41.312713,-105.572931,2023,2,5,1,-5.7,78,764.6,60,0.0,0.1,17.7,268
East,Beta House,2023-02-05T02:00:00,,,,,,,,,,,41.312713,-105.572931,2023,2,5,2,-5.5,79,765.0,18,0.0,0.1,20.2,273
East,Beta House,2023-02-05T03:00:00,,,,,,,,,,,41.312713,-105.572931,2023,2,5,3,-6.0,78,763.6,16,0.0,0.0,22.6,287
East,Beta House,2023-02-05T04:00:00,,,,,,,,,,,41.312713,-105.572931,2023,2,5,4,-6.9,77,764.1,5,0.0,0.0,24.1,287
East,Beta House,2023-02-05T05:00:00,,,,,,,,,,,41.312713,-105.572931,2023,2,5,5,-7.5,76,764.1,35,0.0,0.0,23.9,282
East,Beta House,2023-02-05T06:00:00,,,,,,,,,,,41.312713,-105.572931,2023,2,5,6,-8.0,76,764.2,60,0.0,0.0,27.3,279
East,Beta House,2023-02-05T07:00:00,,,,,,,,,,,41.312713,-105.572931,2023,2,5,7,-8.0,76,764.6,30,0.0,0.0,31.2,277
East,Beta House,2023-02-05T08:00:00,,,,,,,,,,,41.312713,-105.572931,2023,2,5,8,-7.9,75,765.2,50,26.0,0.0,32.5,275
East,Beta House,2023-02-05T09:00:00,,,,,,,,,,,41.312713,-105.572931,2023,2,5,9,-7.0,73,766.1,68,168.0,0.0,31.6,281
East,Beta House,2023-02-05T10:00:00,,,,,,,,,,,41.312713,-105.572931,2023,2,5,10,-5.8,71,767.7,61,267.0,0.0,26.0,284
East,Beta House,2023-02-05T11:00:00,,,,,,,,,,,41.312713,-105.572931,2023,2,5,11,-4.9,69,769.0,100,351.0,0.0,26.1,285
East,Beta House,2023-02-05T12:00:00,,,,,,,,,,,41.312713,-105.572931,2023,2,5,12,-4.3,70,769.3,100,185.0,0.1,25.0,285
East,Beta House,2023-02-05T13:00:00,,,,,,,,,,,41.312713,-105.572931,2023,2,5,13,-4.1,71,769.5,100,79.0,0.2,27.7,295
East,Beta House,2023-02-05T14:00:00,,,,,,,,,,,41.312713,-105.572931,2023,2,5,14,-4.1,73,770.0,100,86.0,0.1,26.9,302
East,Beta House,2023-02-05T15:00:00,,,,,,,,,,,41.312713,-105.572931,2023,2,5,15,-4.3,77,770.8,100,33.0,0.1,24.3,308
East,Beta House,2023-02-05T16:00:00,,,,,,,,,,,41.312713,-105.572931,2023,2,5,16,-4.6,80,771.4,100,12.0,0.2,23.2,303
East,Beta House,2023-02-05T17:00:00,,,,,,,,,,,41.312713,-105.572931,2023,2,5,17,1.5,50,765.6,1,91.0,0.0,11.6,216
East,Beta House,2023-02-05T18:00:00,,,,,,,,,,,41.312713,-105.572931,2023,2,5,18,-0.4,54,764.4,1,3.0,0.0,11.5,231
East,Beta House,2023-02-05T19:00:00,,,,,,,,,,,41.312713,-105.572931,2023,2,5,19,-1.8,56,763.8,2,0.0,0.0,14.7,253
East,Beta House,2023-02-05T20:00:00,,,,,,,,,,,41.312713,-105.572931,2023,2,5,20,-2.6,58,764.3,1,0.0,0.0,19.4,260
East,Beta House,2023-02-05T21:00:00,,,,,,,,,,,41.312713,-105.572931,2023,2,5,21,-3.4,61,764.8,2,0.0,0.0,19.2,262
East,Beta House,2023-02-05T22:00:00,,,,,,,,,,,41.312713,-105.572931,2023,2,5,22,-4.2,68,765.1,3,0.0,0.0,16.7,263
