campus,bldgname,ts,present_elec_kwh,historical_elec_kwh,present_htwt_mmbtuh,historical_htwt_mmbtuh,present_wtr_usgal,historical_wtr_usgal,present_chll_tonh,historical_chll_tonh,present_co2_tonh,historical_co2_tonh,latitude,longitude,year,month,day,hour
East,Fine Arts,2019-09-19T00:00:00,126.0,,,,,,,5.5375,0.08693999999999999,,41.311962,-105.572089,2019,9,19,0
East,Fine Arts,2019-09-19T01:00:00,124.0,,,,,,,5.5375,0.08556,,41.311962,-105.572089,2019,9,19,1
East,Fine Arts,2019-09-19T02:00:00,124.0,,,,,,,5.5375,0.08556,,41.311962,-105.572089,2019,9,19,2
East,Fine Arts,2019-09-19T03:00:00,134.0,,,,,,,5.5375,0.09246,,41.311962,-105.572089,2019,9,19,3
East,Fine Arts,2019-09-19T04:00:00,127.0,,,,,,,5.5375,0.08763,,41.311962,-105.572089,2019,9,19,4
East,Fine Arts,2019-09-19T05:00:00,143.0,,,,,,,5.5375,0.09867,,41.311962,-105.572089,2019,9,19,5
East,Fine Arts,2019-09-19T06:00:00,171.0,,,,,,,5.5375,0.11799,,41.311962,-105.572089,2019,9,19,6
East,Fine Arts,2019-09-19T07:00:00,184.0,,,,,,,5.5375,0.12696,,41.311962,-105.572089,2019,9,19,7
East,Fine Arts,2019-09-19T08:00:00,205.0,,,,,,,5.5375,0.14145,,41.311962,-105.572089,2019,9,19,8
East,Fine Arts,2019-09-19T09:00:00,216.0,,,,,,,5.5375,0.14904,,41.311962,-105.572089,2019,9,19,9
East,Fine Arts,2019-09-19T10:00:00,214.0,,,,,,,5.5375,0.14765999999999999,,41.311962,-105.572089,2019,9,19,10
East,Fine Arts,2019-09-19T11:00:00,195.0,,,,,,,5.5375,0.13455,,41.311962,-105.572089,2019,9,19,11
East,Fine Arts,2019-09-19T12:00:00,183.0,,,,,,,5.5375,0.12627,,41.311962,-105.572089,2019,9,19,12
East,Fine Arts,2019-09-19T13:00:00,182.0,,,,,,,5.5375,0.12558,,41.311962,-105.572089,2019,9,19,13
East,Fine Arts,2019-09-19T14:00:00,193.0,,,,,,,5.5375,0.13316999999999998,,41.311962,-105.572089,2019,9,19,14
East,Fine Arts,2019-09-19T15:00:00,200.0,,,,,,,5.5375,0.13799999999999998,,41.311962,-105.572089,2019,9,19,15
East,Fine Arts,2019-09-19T16:00:00,221.0,,,,,,,5.5375,0.15249,,41.311962,-105.572089,2019,9,19,16
East,Fine Arts,2019-09-19T17:00:00,185.0,,,,,,,5.5375,0.12764999999999999,,41.311962,-105.572089,2019,9,19,17
East,Fine Arts,2019-09-19T18:00:00,212.0,,,,,,,5.5375,0.14628,,41.311962,-105.572089,2019,9,19,18
East,Fine Arts,2019-09-19T19:00:00,205.0,,,,,,,5.5375,0.14145,,41.311962,-105.572089,2019,9,19,19
East,Fine Arts,2019-09-19T20:00:00,196.0,,,,,,,5.5375,0.13524,,41.311962,-105.572089,2019,9,19,20
East,Fine Arts,2019-09-19T21:00:00,146.0,,,,,,,5.5375,0.10074,,41.311962,-105.572089,2019,9,19,21
East,Fine Arts,2019-09-19T22:00:00,156.0,,,,,,,5.5375,0.10764,,41.311962,-105.572089,2019,9,19,22
East,Fine Arts,2019-09-19T23:00:00,129.0,,,,,,,5.5375,0.08900999999999999,,41.311962,-105.572089,2019,9,19,23
East,Fine Arts,2019-09-20T00:00:00,120.0,,,,,,,5.5375,0.0828,,41.311962,-105.572089,2019,9,20,0
East,Fine Arts,2019-09-20T01:00:00,121.0,,,,,,,5.5375,0.08349,,41.311962,-105.572089,2019,9,20,1
East,Fine Arts,2019-09-20T02:00:00,119.0,,,,,,,5.5375,0.08211,,41.311962,-105.572089,2019,9,20,2
East,Fine Arts,2019-09-20T03:00:00,125.0,,,,,,,5.5375,0.08625,,41.311962,-105.572089,2019,9,20,3
East,Fine Arts,2019-09-20T04:00:00,127.0,,,,,,,5.5375,0.08763,,41.311962,-105.572089,2019,9,20,4
East,Fine Arts,2019-09-20T05:00:00,139.0,,,,,,,5.5375,0.09591,,41.311962,-105.572089,2019,9,20,5
East,Fine Arts,2019-09-20T06:00:00,180.0,,,,,,,5.5375,0.12419999999999999,,41.311962,-105.572089,2019,9,20,6
East,Fine Arts,2019-09-20T07:00:00,171.0,,,,,,,5.5375,0.11799,,41.311962,-105.572089,2019,9,20,7
East,Fine Arts,2019-09-20T08:00:00,183.0,,,,,,,5.5375,0.12627,,41.311962,-105.572089,2019,9,20,8
East,Fine Arts,2019-09-20T09:00:00,188.0,,,,,,,5.5375,0.12972,,41.311962,-105.572089,2019,9,20,9
East,Fine Arts,2019-09-20T10:00:00,192.0,,,,,,,5.5375,0.13248,,41.311962,-105.572089,2019,9,20,10
East,Fine Arts,2019-09-20T11:00:00,182.0,,,,,,,5.5375,0.12558,,41.311962,-105.572089,2019,9,20,11
East,Fine Arts,2019-09-20T12:00:00,186.0,,,,,,,5.5375,0.12833999999999998,,41.311962,-105.572089,2019,9,20,12
East,Fine Arts,2019-09-20T13:00:00,194.0,,,,,,,5.5375,0.13386,,41.311962,-105.572089,2019,9,20,13
East,Fine Arts,2019-09-20T14:00:00,202.0,,,,,,,5.5375,0.13938,,41.311962,-105.572089,2019,9,20,14
East,Fine Arts,2019-09-20T15:00:00,199.0,,,,,,,5.5375,0.13731,,41.311962,-105.572089,2019,9,20,15
East,Fine Arts,2019-09-20T16:00:00,198.0,,,,,,,5.5375,0.13662,,41.311962,-105.572089,2019,9,20,16
East,Fine Arts,2019-09-20T17:00:00,195.0,,,,,,,5.5375,0.13455,,41.311962,-105.572089,2019,9,20,17
East,Fine Arts,2019-09-20T18:00:00,191.0,,,,,,,5.5375,0.13179,,41.311962,-105.572089,2019,9,20,18
East,Fine Arts,2019-09-20T19:00:00,185.0,,,,,,,5.5375,0.12764999999999999,,41.311962,-105.572089,2019,9,20,19
East,Fine Arts,2019-09-20T20:00:00,168.0,,,,,,,5.5375,0.11592,,41.311962,-105.572089,2019,9,20,20
East,Fine Arts,2019-09-20T21:00:00,157.0,,,,,,,5.5375,0.10833,,41.311962,-105.572089,2019,9,20,21
East,Fine Arts,2019-09-20T22:00:00,151.0,,,,,,,5.5375,0.10418999999999999,,41.311962,-105.572089,2019,9,20,22
East,Fine Arts,2019-09-20T23:00:00,133.0,,,,,,,5.5375,0.09176999999999999,,41.311962,-105.572089,2019,9,20,23
