campus,bldgname,ts,present_elec_kwh,historical_elec_kwh,present_htwt_mmbtuh,historical_htwt_mmbtuh,present_wtr_usgal,historical_wtr_usgal,present_chll_tonh,historical_chll_tonh,present_co2_tonh,historical_co2_tonh,latitude,longitude,year,month,day,hour
East,College of Law,2019-09-19T00:00:00,50.0,,,,,29.166668,2.0,1.0,0.034499999999999996,,41.312628,-105.571015,2019,9,19,0
East,College of Law,2019-09-19T01:00:00,50.0,,,,,29.166668,1.0,1.0,0.034499999999999996,,41.312628,-105.571015,2019,9,19,1
East,College of Law,2019-09-19T02:00:00,50.0,,,,,29.166668,1.0,1.0,0.034499999999999996,,41.312628,-105.571015,2019,9,19,2
East,College of Law,2019-09-19T03:00:00,40.0,,,,,29.166668,1.0,2.0,0.0276,,41.312628,-105.571015,2019,9,19,3
East,College of Law,2019-09-19T04:00:00,50.0,,,,,29.166668,2.0,1.0,0.034499999999999996,,41.312628,-105.571015,2019,9,19,4
East,College of Law,2019-09-19T05:00:00,60.0,,,,,29.166668,4.0,5.0,0.0414,,41.312628,-105.571015,2019,9,19,5
East,College of Law,2019-09-19T06:00:00,90.0,,,,,29.166668,2.0,8.0,0.062099999999999995,,41.312628,-105.571015,2019,9,19,6
East,College of Law,2019-09-19T07:00:00,80.0,,,,,29.166668,3.0,7.0,0.0552,,41.312628,-105.571015,2019,9,19,7
East,College of Law,2019-09-19T08:00:00,90.0,,,,,29.166668,4.0,11.0,0.062099999999999995,,41.312628,-105.571015,2019,9,19,8
East,College of Law,2019-09-19T09:00:00,100.0,,,,,29.166668,17.0,23.0,0.06899999999999999,,41.312628,-105.571015,2019,9,19,9
East,College of Law,2019-09-19T10:00:00,100.0,,,,,29.166668,29.0,36.0,0.06899999999999999,,41.312628,-105.571015,2019,9,19,10
East,College of Law,2019-09-19T11:00:00,100.0,,,,,29.166668,32.0,38.0,0.06899999999999999,,41.312628,-105.571015,2019,9,19,11
East,College of Law,2019-09-19T12:00:00,100.0,,,,,29.166668,32.0,38.0,0.06899999999999999,,41.312628,-105.571015,2019,9,19,12
East,College of Law,2019-09-19T13:00:00,100.0,,,,,29.166668,33.0,36.0,0.06899999999999999,,41.312628,-105.571015,2019,9,19,13
East,College of Law,2019-09-19T14:00:00,100.0,,,,,29.166668,36.0,34.0,0.06899999999999999,,41.312628,-105.571015,2019,9,19,14
East,College of Law,2019-09-19T15:00:00,110.0,,,,,29.166668,35.0,33.0,0.0759,,41.312628,-105.571015,2019,9,19,15
East,College of Law,2019-09-19T16:00:00,90.0,,,,,29.166668,34.0,24.0,0.062099999999999995,,41.312628,-105.571015,2019,9,19,16
East,College of Law,2019-09-19T17:00:00,70.0,,,,,29.166668,26.0,26.0,0.048299999999999996,,41.312628,-105.571015,2019,9,19,17
East,College of Law,2019-09-19T18:00:00,80.0,,,,,29.166668,30.0,24.0,0.0552,,41.312628,-105.571015,2019,9,19,18
East,College of Law,2019-09-19T19:00:00,70.0,,,,,29.166668,27.0,24.0,0.048299999999999996,,41.312628,-105.571015,2019,9,19,19
East,College of Law,2019-09-19T20:00:00,60.0,,,,,29.166668,5.0,6.0,0.0414,,41.312628,-105.571015,2019,9,19,20
East,College of Law,2019-09-19T21:00:00,40.0,,,,,29.166668,2.0,2.0,0.0276,,41.312628,-105.571015,2019,9,19,21
East,College of Law,2019-09-19T22:00:00,40.0,,,,,29.166668,1.0,2.0,0.0276,,41.312628,-105.571015,2019,9,19,22
East,College of Law,2019-09-19T23:00:00,40.0,,,,,29.166668,1.0,1.0,0.0276,,41.312628,-105.571015,2019,9,19,23
East,College of Law,2019-09-20T00:00:00,40.0,,,,,29.166668,2.0,2.0,0.0276,,41.312628,-105.571015,2019,9,20,0
East,College of Law,2019-09-20T01:00:00,40.0,,,,,29.166668,1.0,1.0,0.0276,,41.312628,-105.571015,2019,9,20,1
East,College of Law,2019-09-20T02:00:00,50.0,,,,,29.166668,1.0,1.0,0.034499999999999996,,41.312628,-105.571015,2019,9,20,2
East,College of Law,2019-09-20T03:00:00,40.0,,,,,29.166668,1.0,2.0,0.0276,,41.312628,-105.571015,2019,9,20,3
East,College of Law,2019-09-20T04:00:00,50.0,,,,,29.166668,1.0,2.0,0.034499999999999996,,41.312628,-105.571015,2019,9,20,4
East,College of Law,2019-09-20T05:00:00,60.0,,,,,29.166668,5.0,4.0,0.0414,,41.312628,-105.571015,2019,9,20,5
East,College of Law,2019-09-20T06:00:00,90.0,,,,,29.166668,4.0,10.0,0.062099999999999995,,41.312628,-105.571015,2019,9,20,6
East,College of Law,2019-09-20T07:00:00,80.0,,,,,29.166668,5.0,11.0,0.0552,,41.312628,-105.571015,2019,9,20,7
East,College of Law,2019-09-20T08:00:00,100.0,,,,,29.166668,11.0,10.0,0.06899999999999999,,41.312628,-105.571015,2019,9,20,8
East,College of Law,2019-09-20T09:00:00,90.0,,,,,29.166668,19.0,15.0,0.062099999999999995,,41.312628,-105.571015,2019,9,20,9
East,College of Law,2019-09-20T10:00:00,100.0,,,,,29.166668,30.0,23.0,0.06899999999999999,,41.312628,-105.571015,2019,9,20,10
East,College of Law,2019-09-20T11:00:00,90.0,,,,,29.166668,31.0,28.0,0.062099999999999995,,41.312628,-105.571015,2019,9,20,11
East,College of Law,2019-09-20T12:00:00,90.0,,,,,29.166668,30.0,30.0,0.062099999999999995,,41.312628,-105.571015,2019,9,20,12
East,College of Law,2019-09-20T13:00:00,100.0,,,,,29.166668,30.0,32.0,0.06899999999999999,,41.312628,-105.571015,2019,9,20,13
East,College of Law,2019-09-20T14:00:00,90.0,,,,,29.166668,30.0,32.0,0.062099999999999995,,41.312628,-105.571015,2019,9,20,14
East,College of Law,2019-09-20T15:00:00,90.0,,,,,29.166668,31.0,35.0,0.062099999999999995,,41.312628,-105.571015,2019,9,20,15
East,College of Law,2019-09-20T16:00:00,90.0,,,,,29.166668,31.0,24.0,0.062099999999999995,,41.312628,-105.571015,2019,9,20,16
East,College of Law,2019-09-20T17:00:00,60.0,,,,,29.166668,30.0,18.0,0.0414,,41.312628,-105.571015,2019,9,20,17
East,College of Law,2019-09-20T18:00:00,70.0,,,,,29.166668,27.0,17.0,0.048299999999999996,,41.312628,-105.571015,2019,9,20,18
East,College of Law,2019-09-20T19:00:00,80.0,,,,,29.166668,20.0,10.0,0.0552,,41.312628,-105.571015,2019,9,20,19
East,College of Law,2019-09-20T20:00:00,60.0,,,,,29.166668,3.0,4.0,0.0414,,41.312628,-105.571015,2019,9,20,20
East,College of Law,2019-09-20T21:00:00,40.0,,,,,29.166668,2.0,3.0,0.0276,,41.312628,-105.571015,2019,9,20,21
East,College of Law,2019-09-20T22:00:00,50.0,,,,,29.166668,1.0,2.0,0.034499999999999996,,41.312628,-105.571015,2019,9,20,22
East,College of Law,2019-09-20T23:00:00,50.0,,,,,29.166668,1.0,1.0,0.034499999999999996,,41.312628,-105.571015,2019,9,20,23
East,College of Law,2019-09-21T00:00:00,40.0,,,,,29.166668,1.0,2.0,0.0276,,41.312628,-105.571015,2019,9,21,0
East,College of Law,2019-09-21T01:00:00,50.0,,,,,29.166668,1.0,1.0,0.034499999999999996,,41.312628,-105.571015,2019,9,21,1
East,College of Law,2019-09-21T02:00:00,50.0,,,,,29.166668,2.0,2.0,0.034499999999999996,,41.312628,-105.571015,2019,9,21,2
East,College of Law,2019-09-21T03:00:00,50.0,,,,,29.166668,1.0,2.0,0.034499999999999996,,41.312628,-105.571015,2019,9,21,3
East,College of Law,2019-09-21T04:00:00,50.0,,,,,29.166668,1.0,1.0,0.034499999999999996,,41.312628,-105.571015,2019,9,21,4
