campus,bldgname,ts,present_elec_kwh,historical_elec_kwh,present_htwt_mmbtuh,historical_htwt_mmbtuh,present_wtr_usgal,historical_wtr_usgal,present_chll_tonh,historical_chll_tonh,present_co2_tonh,historical_co2_tonh,latitude,longitude,year,month,day,hour
East,,2019-09-19T00:00:00,1566.875,,,,,1306.944344,57.0,217.9632120002302,1.0811437499999998,,,,2019,9,19,0
East,,2019-09-19T01:00:00,1252.75,,,,,1306.944344,55.0,207.4126529996524,0.8643974999999999,,,,2019,9,19,1
East,,2019-09-19T02:00:00,1266.625,,,,,1306.944344,55.0,172.24412300021,0.87397125,,,,2019,9,19,2
East,,2019-09-19T03:00:00,1274.03125,,,,,1306.9443440000002,41.0,176.76097599978172,0.8790815624999999,,,,2019,9,19,3
East,,2019-09-19T04:00:00,1293.4375,,,,,1306.944344,41.0,172.24412300021,0.8924718749999999,,,,2019,9,19,4
East,,2019-09-19T05:00:00,1359.53125,,,,,1306.944344,45.0,193.8283879999312,0.9380765624999999,,,,2019,9,19,5
East,,2019-09-19T06:00:00,1552.8125,,,,,1306.944344,44.0,221.4463590001928,1.071440625,,,,2019,9,19,6
East,,2019-09-19T07:00:00,1527.59375,,,,,1306.944344,49.0,223.96321199976447,1.0540396875,,,,2019,9,19,7
East,,2019-09-19T08:00:00,1649.625,,,,,1306.9443440000002,63.0,242.030623999914,1.1382412499999999,,,,2019,9,19,8
East,,2019-09-19T09:00:00,1726.71875,,,,,1306.944344,,,1.1914359374999999,,,,2019,9,19,9
East,,2019-09-19T10:00:00,1969.8125,,,,,1306.944344,,,1.359170625,,,,2019,9,19,10
East,,2019-09-19T11:00:00,1729.875,,,,,1306.9443440000002,,,1.19361375,,,,2019,9,19,11
East,,2019-09-19T12:00:00,1715.21875,,,,,1306.944344,,,1.1835009374999998,,,,2019,9,19,12
East,,2019-09-19T13:00:00,1735.1875,,,,,1306.944344,,,1.197279375,,,,2019,9,19,13
East,,2019-09-19T14:00:00,1740.1875,,,,,1306.944344,,,1.2007293749999999,,,,2019,9,19,14
East,,2019-09-19T15:00:00,1783.28125,,,,,1306.9443440000002,,,1.2304640624999998,,,,2019,9,19,15
East,,2019-09-19T16:00:00,1722.09375,,,,,1306.9443440000002,,,1.1882446875,,,,2019,9,19,16
East,,2019-09-19T17:00:00,1481.1875,,,,,1306.9443440000002,,,1.022019375,,,,2019,9,19,17
East,,2019-09-19T18:00:00,1821.0625,,,,,1306.9443440000002,,,1.256533125,,,,2019,9,19,18
East,,2019-09-19T19:00:00,1610.75,,,,,1306.9443440000002,,,1.1114175,,,,2019,9,19,19
East,,2019-09-19T20:00:00,1512.40625,,,,,1306.944344,71.0,222.9632120002302,1.0435603125,,,,2019,9,19,20
East,,2019-09-19T21:00:00,1301.40625,,200.1953125,,,1306.944344,60.0,225.99691799983927,0.8979703124999999,,,,2019,9,19,21
East,,2019-09-19T22:00:00,1325.84375,,100.09765625,,,1306.9443440000002,70.0,218.96321199976447,0.9148321875,,,,2019,9,19,22
East,,2019-09-19T23:00:00,1255.1875,,,,,1306.944344,66.0,214.4463590001928,0.866079375,,,,2019,9,19,23
East,,2019-09-20T00:00:00,1276.25,,100.09765625,,,1306.9443440000002,57.0,190.8283879999312,0.8806124999999999,,,,2019,9,20,0
East,,2019-09-20T01:00:00,1236.0,,200.1953125,,,1306.944344,60.0,207.41265300011807,0.8528399999999999,,,,2019,9,20,1
East,,2019-09-20T02:00:00,1294.6875,,199.70703125,,,1306.9443440000002,59.0,210.92950600015544,0.8933343749999999,,,,2019,9,20,2
East,,2019-09-20T03:00:00,1269.03125,,300.29296875,,,1306.944344,57.0,215.44635899972715,0.8756315625,,,,2019,9,20,3
East,,2019-09-20T04:00:00,1350.40625,,300.29296875,,,1306.944344,54.0,208.41265300011807,0.9317803124999999,,,,2019,9,20,4
