campus,bldgname,ts,present_elec_kwh,historical_elec_kwh,present_htwt_mmbtu,historical_htwt_mmbtu,present_wtr_usgal,historical_wtr_usgal,present_chll_tonhr,historical_chll_tonhr,present_co2_tons,historical_co2_tons,latitude,longitude,year,month,day,hour
West,Half Acre Gym,2019-09-19T00:00:00,62.5,,,,,336.11112,,,0.043125,,41.313159,-105.578982,2019,9,19,0
West,Half Acre Gym,2019-09-19T01:00:00,63.0,,,,,336.11112,,,0.043469999999999995,,41.313159,-105.578982,2019,9,19,1
West,Half Acre Gym,2019-09-19T02:00:00,63.5,,,,,336.11112,,,0.043815,,41.313159,-105.578982,2019,9,19,2
West,Half Acre Gym,2019-09-19T03:00:00,63.5,,,,,336.11112,,,0.043815,,41.313159,-105.578982,2019,9,19,3
West,Half Acre Gym,2019-09-19T04:00:00,64.5,,,,,336.11112,,,0.044504999999999996,,41.313159,-105.578982,2019,9,19,4
West,Half Acre Gym,2019-09-19T05:00:00,122.0,,,,,336.11112,,,0.08417999999999999,,41.313159,-105.578982,2019,9,19,5
West,Half Acre Gym,2019-09-19T06:00:00,193.5,,,,,336.11112,,,0.133515,,41.313159,-105.578982,2019,9,19,6
West,Half Acre Gym,2019-09-19T07:00:00,196.0,,,,,336.11112,,,0.13524,,41.313159,-105.578982,2019,9,19,7
West,Half Acre Gym,2019-09-19T08:00:00,196.0,,,,,336.11112,,,0.13524,,41.313159,-105.578982,2019,9,19,8
West,Half Acre Gym,2019-09-19T09:00:00,200.0,,,,,336.11112,11.671875,,0.13799999999999998,,41.313159,-105.578982,2019,9,19,9
West,Half Acre Gym,2019-09-19T10:00:00,206.5,,,,,336.11112,3.33203125,,0.142485,,41.313159,-105.578982,2019,9,19,10
West,Half Acre Gym,2019-09-19T11:00:00,207.0,,,,,336.11112,,,0.14282999999999998,,41.313159,-105.578982,2019,9,19,11
West,Half Acre Gym,2019-09-19T12:00:00,210.0,,,,,336.11112,,,0.1449,,41.313159,-105.578982,2019,9,19,12
West,Half Acre Gym,2019-09-19T13:00:00,203.5,,,,,336.11112,3.33203125,,0.14041499999999998,,41.313159,-105.578982,2019,9,19,13
West,Half Acre Gym,2019-09-19T14:00:00,200.0,,,,,336.11112,,,0.13799999999999998,,41.313159,-105.578982,2019,9,19,14
West,Half Acre Gym,2019-09-19T15:00:00,205.5,,,,,336.11112,,,0.141795,,41.313159,-105.578982,2019,9,19,15
West,Half Acre Gym,2019-09-19T16:00:00,199.5,,,,,336.11112,2.49609375,,0.137655,,41.313159,-105.578982,2019,9,19,16
West,Half Acre Gym,2019-09-19T17:00:00,219.0,,,,,336.11112,0.83984375,,0.15111,,41.313159,-105.578982,2019,9,19,17
West,Half Acre Gym,2019-09-19T18:00:00,209.0,,,,,336.11112,,,0.14421,,41.313159,-105.578982,2019,9,19,18
West,Half Acre Gym,2019-09-19T19:00:00,208.5,,,,,336.11112,2.5,,0.143865,,41.313159,-105.578982,2019,9,19,19
West,Half Acre Gym,2019-09-19T20:00:00,204.0,,,,,336.11112,,,0.14076,,41.313159,-105.578982,2019,9,19,20
West,Half Acre Gym,2019-09-19T21:00:00,196.0,,,,,336.11112,,,0.13524,,41.313159,-105.578982,2019,9,19,21
West,Half Acre Gym,2019-09-19T22:00:00,81.5,,,,,336.11112,,,0.056235,,41.313159,-105.578982,2019,9,19,22
West,Half Acre Gym,2019-09-19T23:00:00,66.0,,,,,336.11112,,,0.04554,,41.313159,-105.578982,2019,9,19,23
West,Half Acre Gym,2019-09-20T00:00:00,67.5,,,,,336.11112,,,0.046575,,41.313159,-105.578982,2019,9,20,0
West,Half Acre Gym,2019-09-20T01:00:00,68.5,,,,,336.11112,,,0.047264999999999995,,41.313159,-105.578982,2019,9,20,1
West,Half Acre Gym,2019-09-20T02:00:00,69.0,,,,,336.11112,,,0.04761,,41.313159,-105.578982,2019,9,20,2
West,Half Acre Gym,2019-09-20T03:00:00,67.5,,,,,336.11112,,,0.046575,,41.313159,-105.578982,2019,9,20,3
West,Half Acre Gym,2019-09-20T04:00:00,101.0,,,,,336.11112,,,0.06969,,41.313159,-105.578982,2019,9,20,4
West,Half Acre Gym,2019-09-20T05:00:00,112.0,,,,,336.11112,,,0.07728,,41.313159,-105.578982,2019,9,20,5
West,Half Acre Gym,2019-09-20T06:00:00,191.0,,,,,336.11112,,,0.13179,,41.313159,-105.578982,2019,9,20,6
West,Half Acre Gym,2019-09-20T07:00:00,193.0,,,,,336.11112,,,0.13316999999999998,,41.313159,-105.578982,2019,9,20,7
West,Half Acre Gym,2019-09-20T08:00:00,197.5,,,,,336.11112,,,0.136275,,41.313159,-105.578982,2019,9,20,8
West,Half Acre Gym,2019-09-20T09:00:00,210.5,,,,,336.11112,12.49609375,,0.14524499999999999,,41.313159,-105.578982,2019,9,20,9
West,Half Acre Gym,2019-09-20T10:00:00,202.5,,,,,336.11112,0.8359375,,0.139725,,41.313159,-105.578982,2019,9,20,10
