campus,bldgname,ts,present_elec_kwh,historical_elec_kwh,present_htwt_mmbtuh,historical_htwt_mmbtuh,present_wtr_usgal,historical_wtr_usgal,present_chll_tonh,historical_chll_tonh,present_co2_tonh,historical_co2_tonh,latitude,longitude,year,month,day,hour
West,Physical Science,2019-09-19T00:00:00,270.0,,,,,259.72224,10.0,6.0,0.1863,,41.31366,-105.583581,2019,9,19,0
West,Physical Science,2019-09-19T01:00:00,280.0,,,,,259.72224,10.0,2.0,0.19319999999999998,,41.31366,-105.583581,2019,9,19,1
West,Physical Science,2019-09-19T02:00:00,280.0,,,,,259.72224,8.0,2.0,0.19319999999999998,,41.31366,-105.583581,2019,9,19,2
West,Physical Science,2019-09-19T03:00:00,280.0,,,,,259.72224,7.0,1.0,0.19319999999999998,,41.31366,-105.583581,2019,9,19,3
West,Physical Science,2019-09-19T04:00:00,280.0,,,,,259.72224,5.0,1.0,0.19319999999999998,,41.31366,-105.583581,2019,9,19,4
West,Physical Science,2019-09-19T05:00:00,290.0,,,,,259.72224,4.0,1.0,0.2001,,41.31366,-105.583581,2019,9,19,5
West,Physical Science,2019-09-19T06:00:00,300.0,,,,,259.72224,5.0,5.0,0.207,,41.31366,-105.583581,2019,9,19,6
West,Physical Science,2019-09-19T07:00:00,300.0,,,,,259.72224,4.0,6.0,0.207,,41.31366,-105.583581,2019,9,19,7
West,Physical Science,2019-09-19T08:00:00,320.0,,,,,259.72224,6.0,5.0,0.2208,,41.31366,-105.583581,2019,9,19,8
West,Physical Science,2019-09-19T09:00:00,330.0,,,,,259.72224,16.0,10.0,0.22769999999999999,,41.31366,-105.583581,2019,9,19,9
West,Physical Science,2019-09-19T10:00:00,350.0,,,,,259.72224,,13.0,0.2415,,41.31366,-105.583581,2019,9,19,10
West,Physical Science,2019-09-19T11:00:00,360.0,,,,,259.72224,,16.0,0.24839999999999998,,41.31366,-105.583581,2019,9,19,11
West,Physical Science,2019-09-19T12:00:00,350.0,,,,,259.72224,,17.0,0.2415,,41.31366,-105.583581,2019,9,19,12
West,Physical Science,2019-09-19T13:00:00,370.0,,,,,259.72224,,22.0,0.25529999999999997,,41.31366,-105.583581,2019,9,19,13
West,Physical Science,2019-09-19T14:00:00,360.0,,,,,259.72224,,19.0,0.24839999999999998,,41.31366,-105.583581,2019,9,19,14
West,Physical Science,2019-09-19T15:00:00,370.0,,,,,259.72224,,16.0,0.25529999999999997,,41.31366,-105.583581,2019,9,19,15
West,Physical Science,2019-09-19T16:00:00,360.0,,,,,259.72224,,13.0,0.24839999999999998,,41.31366,-105.583581,2019,9,19,16
West,Physical Science,2019-09-19T17:00:00,290.0,,,,,259.72224,22.0,16.0,0.2001,,41.31366,-105.583581,2019,9,19,17
West,Physical Science,2019-09-19T18:00:00,330.0,,,,,259.72224,,12.0,0.22769999999999999,,41.31366,-105.583581,2019,9,19,18
West,Physical Science,2019-09-19T19:00:00,330.0,,,,,259.72224,23.0,14.0,0.22769999999999999,,41.31366,-105.583581,2019,9,19,19
West,Physical Science,2019-09-19T20:00:00,300.0,,,,,259.72224,17.0,8.0,0.207,,41.31366,-105.583581,2019,9,19,20
West,Physical Science,2019-09-19T21:00:00,250.0,,,,,259.72224,12.0,4.0,0.1725,,41.31366,-105.583581,2019,9,19,21
