campus,bldgname,ts,present_elec_kwh,historical_elec_kwh,present_htwt_mmbtuh,historical_htwt_mmbtuh,present_wtr_usgal,historical_wtr_usgal,present_chll_tonh,historical_chll_tonh,present_co2_tonh,historical_co2_tonh,latitude,longitude,year,month,day,hour
East,Animal Science,2023-02-05T00:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,0
East,Animal Science,2023-02-05T01:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,1
East,Animal Science,2023-02-05T02:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,2
East,Animal Science,2023-02-05T03:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,3
East,Animal Science,2023-02-05T04:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,4
East,Animal Science,2023-02-05T05:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,5
East,Animal Science,2023-02-05T06:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,6
East,Animal Science,2023-02-05T07:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,7
East,Animal Science,2023-02-05T08:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,8
East,Animal Science,2023-02-05T09:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,9
East,Animal Science,2023-02-05T10:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,10
East,Animal Science,2023-02-05T11:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,11
East,Animal Science,2023-02-05T12:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,12
East,Animal Science,2023-02-05T13:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,13
East,Animal Science,2023-02-05T14:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,14
East,Animal Science,2023-02-05T15:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,15
East,Animal Science,2023-02-05T16:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,16
East,Animal Science,2023-02-05T17:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,17
East,Animal Science,2023-02-05T18:00:00,,,,,,,,,,,41.316133,-105.570351,2023,2,5,18
