campus,bldgname,ts,present_elec_kwh,historical_elec_kwh,present_htwt_mmbtuh,historical_htwt_mmbtuh,present_wtr_usgal,historical_wtr_usgal,present_chll_tonh,historical_chll_tonh,present_co2_tonh,historical_co2_tonh,latitude,longitude,year,month,day,hour
East,Visual Arts,2019-09-19T00:00:00,74.5,,,,,18.055556,,,0.051405,,41.314326,-105.565692,2019,9,19,0
East,Visual Arts,2019-09-19T01:00:00,73.5,,,,,18.055556,,,0.050714999999999996,,41.314326,-105.565692,2019,9,19,1
East,Visual Arts,2019-09-19T02:00:00,74.5,,,,,18.055556,,,0.051405,,41.314326,-105.565692,2019,9,19,2
East,Visual Arts,2019-09-19T03:00:00,76.0,,,,,18.055556,,,0.05244,,41.314326,-105.565692,2019,9,19,3
East,Visual Arts,2019-09-19T04:00:00,74.5,,,,,18.055556,,,0.051405,,41.314326,-105.565692,2019,9,19,4
East,Visual Arts,2019-09-19T05:00:00,81.5,,,,,18.055556,,,0.056235,,41.314326,-105.565692,2019,9,19,5
East,Visual Arts,2019-09-19T06:00:00,87.0,,,,,18.055556,,,0.06003,,41.314326,-105.565692,2019,9,19,6
East,Visual Arts,2019-09-19T07:00:00,82.0,,,,,18.055556,,,0.05658,,41.314326,-105.565692,2019,9,19,7
East,Visual Arts,2019-09-19T08:00:00,95.0,,,,,18.055556,,,0.06555,,41.314326,-105.565692,2019,9,19,8
East,Visual Arts,2019-09-19T09:00:00,101.5,,,,,18.055556,,,0.070035,,41.314326,-105.565692,2019,9,19,9
East,Visual Arts,2019-09-19T10:00:00,113.0,,,,,18.055556,,,0.07797,,41.314326,-105.565692,2019,9,19,10
East,Visual Arts,2019-09-19T11:00:00,106.5,,,,,18.055556,,,0.073485,,41.314326,-105.565692,2019,9,19,11
East,Visual Arts,2019-09-19T12:00:00,97.5,,,,,18.055556,,,0.067275,,41.314326,-105.565692,2019,9,19,12
East,Visual Arts,2019-09-19T13:00:00,101.0,,,,,18.055556,,,0.06969,,41.314326,-105.565692,2019,9,19,13
East,Visual Arts,2019-09-19T14:00:00,99.5,,,,,18.055556,,,0.068655,,41.314326,-105.565692,2019,9,19,14
East,Visual Arts,2019-09-19T15:00:00,101.0,,,,,18.055556,,,0.06969,,41.314326,-105.565692,2019,9,19,15
East,Visual Arts,2019-09-19T16:00:00,99.0,,,,,18.055556,,,0.06831,,41.314326,-105.565692,2019,9,19,16
East,Visual Arts,2019-09-19T17:00:00,92.0,,,,,18.055556,,,0.06348,,41.314326,-105.565692,2019,9,19,17
East,Visual Arts,2019-09-19T18:00:00,85.5,,,,,18.055556,,,0.058995,,41.314326,-105.565692,2019,9,19,18
East,Visual Arts,2019-09-19T19:00:00,89.5,,,,,18.055556,,,0.061755,,41.314326,-105.565692,2019,9,19,19
East,Visual Arts,2019-09-19T20:00:00,84.0,,,,,18.055556,,,0.05796,,41.314326,-105.565692,2019,9,19,20
East,Visual Arts,2019-09-19T21:00:00,81.0,,,,,18.055556,,,0.055889999999999995,,41.314326,-105.565692,2019,9,19,21
East,Visual Arts,2019-09-19T22:00:00,82.5,,,,,18.055556,,,0.056924999999999996,,41.314326,-105.565692,2019,9,19,22
East,Visual Arts,2019-09-19T23:00:00,78.0,,,,,18.055556,,,0.05382,,41.314326,-105.565692,2019,9,19,23
East,Visual Arts,2019-09-20T00:00:00,76.0,,,,,18.055556,,,0.05244,,41.314326,-105.565692,2019,9,20,0
East,Visual Arts,2019-09-20T01:00:00,72.5,,,,,18.055556,,,0.050025,,41.314326,-105.565692,2019,9,20,1
East,Visual Arts,2019-09-20T02:00:00,70.5,,,,,18.055556,,,0.048645,,41.314326,-105.565692,2019,9,20,2
East,Visual Arts,2019-09-20T03:00:00,72.0,,,,,18.055556,,,0.049679999999999995,,41.314326,-105.565692,2019,9,20,3
East,Visual Arts,2019-09-20T04:00:00,70.5,,,,,18.055556,,,0.048645,,41.314326,-105.565692,2019,9,20,4
East,Visual Arts,2019-09-20T05:00:00,74.0,,,,,18.055556,,,0.051059999999999994,,41.314326,-105.565692,2019,9,20,5
East,Visual Arts,2019-09-20T06:00:00,72.0,,,,,18.055556,,,0.049679999999999995,,41.314326,-105.565692,2019,9,20,6
East,Visual Arts,2019-09-20T07:00:00,71.0,,,,,18.055556,,,0.04899,,41.314326,-105.565692,2019,9,20,7
East,Visual Arts,2019-09-20T08:00:00,73.0,,,,,18.055556,,,0.05037,,41.314326,-105.565692,2019,9,20,8
East,Visual Arts,2019-09-20T09:00:00,79.0,,,,,18.055556,,,0.054509999999999996,,41.314326,-105.565692,2019,9,20,9
East,Visual Arts,2019-09-20T10:00:00,92.0,,,,,18.055556,,,0.06348,,41.314326,-105.565692,2019,9,20,10
East,Visual Arts,2019-09-20T11:00:00,101.5,,,,,18.055556,,,0.070035,,41.314326,-105.565692,2019,9,20,11
East,Visual Arts,2019-09-20T12:00:00,92.5,,,,,18.055556,,,0.06382499999999999,,41.314326,-105.565692,2019,9,20,12
East,Visual Arts,2019-09-20T13:00:00,97.0,,,,,18.055556,,,0.06693,,41.314326,-105.565692,2019,9,20,13
East,Visual Arts,2019-09-20T14:00:00,95.0,,,,,18.055556,,,0.06555,,41.314326,-105.565692,2019,9,20,14
East,Visual Arts,2019-09-20T15:00:00,88.5,,,,,18.055556,,,0.061064999999999994,,41.314326,-105.565692,2019,9,20,15
East,Visual Arts,2019-09-20T16:00:00,86.0,,,,,18.055556,,,0.05934,,41.314326,-105.565692,2019,9,20,16
East,Visual Arts,2019-09-20T17:00:00,79.5,,,,,18.055556,,,0.054854999999999994,,41.314326,-105.565692,2019,9,20,17
East,Visual Arts,2019-09-20T18:00:00,84.5,,,,,18.055556,,,0.058304999999999996,,41.314326,-105.565692,2019,9,20,18
East,Visual Arts,2019-09-20T19:00:00,82.5,,,,,18.055556,,,0.056924999999999996,,41.314326,-105.565692,2019,9,20,19
East,Visual Arts,2019-09-20T20:00:00,74.5,,,,,18.055556,,,0.051405,,41.314326,-105.565692,2019,9,20,20
East,Visual Arts,2019-09-20T21:00:00,69.5,,,,,18.055556,,,0.047955,,41.314326,-105.565692,2019,9,20,21
East,Visual Arts,2019-09-20T22:00:00,71.0,,,,,18.055556,,,0.04899,,41.314326,-105.565692,2019,9,20,22
East,Visual Arts,2019-09-20T23:00:00,72.5,,,,,18.055556,,,0.050025,,41.314326,-105.565692,2019,9,20,23
East,Visual Arts,2019-09-21T00:00:00,69.0,,,,,18.055556,,,0.04761,,41.314326,-105.565692,2019,9,21,0
East,Visual Arts,2019-09-21T01:00:00,64.0,,,,,18.055556,,,0.04416,,41.314326,-105.565692,2019,9,21,1
East,Visual Arts,2019-09-21T02:00:00,63.0,,,,,18.055556,,,0.043469999999999995,,41.314326,-105.565692,2019,9,21,2
East,Visual Arts,2019-09-21T03:00:00,71.5,,,,,18.055556,,,0.049335,,41.314326,-105.565692,2019,9,21,3
East,Visual Arts,2019-09-21T04:00:00,65.5,,,,,18.055556,,,0.045195,,41.314326,-105.565692,2019,9,21,4
East,Visual Arts,2019-09-21T05:00:00,65.0,,,,,18.055556,,,0.04485,,41.314326,-105.565692,2019,9,21,5
East,Visual Arts,2019-09-21T06:00:00,65.5,,,,,18.055556,,,0.045195,,41.314326,-105.565692,2019,9,21,6
East,Visual Arts,2019-09-21T07:00:00,64.5,,,,,18.055556,,,0.044504999999999996,,41.314326,-105.565692,2019,9,21,7
East,Visual Arts,2019-09-21T08:00:00,62.5,,,,,18.055556,,,0.043125,,41.314326,-105.565692,2019,9,21,8
East,Visual Arts,2019-09-21T09:00:00,65.5,,,,,18.055556,,,0.045195,,41.314326,-105.565692,2019,9,21,9
East,Visual Arts,2019-09-21T10:00:00,70.5,,,,,18.055556,,,0.048645,,41.314326,-105.565692,2019,9,21,10
East,Visual Arts,2019-09-21T11:00:00,79.0,,,,,18.055556,,,0.054509999999999996,,41.314326,-105.565692,2019,9,21,11
East,Visual Arts,2019-09-21T12:00:00,79.5,,,,,18.055556,,,0.054854999999999994,,41.314326,-105.565692,2019,9,21,12
East,Visual Arts,2019-09-21T13:00:00,84.5,,,,,18.055556,,,0.058304999999999996,,41.314326,-105.565692,2019,9,21,13
East,Visual Arts,2019-09-21T14:00:00,84.5,,,,,18.055556,,,0.058304999999999996,,41.314326,-105.565692,2019,9,21,14
East,Visual Arts,2019-09-21T15:00:00,86.0,,,,,18.055556,,,0.05934,,41.314326,-105.565692,2019,9,21,15
East,Visual Arts,2019-09-21T16:00:00,81.0,,,,,18.055556,,,0.055889999999999995,,41.314326,-105.565692,2019,9,21,16
East,Visual Arts,2019-09-21T17:00:00,79.5,,,,,18.055556,,,0.054854999999999994,,41.314326,-105.565692,2019,9,21,17
East,Visual Arts,2019-09-21T18:00:00,78.5,,,,,18.055556,,,0.054165,,41.314326,-105.565692,2019,9,21,18
East,Visual Arts,2019-09-21T19:00:00,77.5,,,,,18.055556,,,0.053474999999999995,,41.314326,-105.565692,2019,9,21,19
East,Visual Arts,2019-09-21T20:00:00,78.5,,,,,18.055556,,,0.054165,,41.314326,-105.565692,2019,9,21,20
East,Visual Arts,2019-09-21T21:00:00,70.0,,,,,18.055556,,,0.048299999999999996,,41.314326,-105.565692,2019,9,21,21
East,Visual Arts,2019-09-21T22:00:00,70.5,,,,,18.055556,,,0.048645,,41.314326,-105.565692,2019,9,21,22
East,Visual Arts,2019-09-21T23:00:00,74.0,,,,,18.055556,,,0.051059999999999994,,41.314326,-105.565692,2019,9,21,23
East,Visual Arts,2019-09-22T00:00:00,76.0,,,,,18.055556,,,0.05244,,41.314326,-105.565692,2019,9,22,0
East,Visual Arts,2019-09-22T01:00:00,72.0,,,,,18.055556,,,0.049679999999999995,,41.314326,-105.565692,2019,9,22,1
East,Visual Arts,2019-09-22T02:00:00,72.5,,,,,18.055556,,,0.050025,,41.314326,-105.565692,2019,9,22,2
East,Visual Arts,2019-09-22T03:00:00,68.0,,,,,18.055556,,,0.046919999999999996,,41.314326,-105.565692,2019,9,22,3
East,Visual Arts,2019-09-22T04:00:00,69.5,,,,,18.055556,,,0.047955,,41.314326,-105.565692,2019,9,22,4
East,Visual Arts,2019-09-22T05:00:00,63.5,,,,,18.055556,,,0.043815,,41.314326,-105.565692,2019,9,22,5
East,Visual Arts,2019-09-22T06:00:00,62.0,,,,,18.055556,,,0.04278,,41.314326,-105.565692,2019,9,22,6
East,Visual Arts,2019-09-22T07:00:00,62.0,,,,,18.055556,,,0.04278,,41.314326,-105.565692,2019,9,22,7
