bldgname,ts,chiller PowerScout.AV-9030 (Power factor),chiller PowerScout.AV-1030 (KW),powerScout 24.AV-69030 (Power factor),powerScout 24.AV-61030 (KW),HVAC Lab.CHWDP-SP (psi),HVAC Lab.CLG-O (%),HVAC Lab.CHWP-O (%),HVAC Lab.CHWR-T (F),HVAC Lab.CHWS-T (F),HVAC Lab.CHW-F (gpm),HVAC Lab.CHW-DP (psi),HVAC Lab.OA-T (F),Supply Air Ebtron.AI-2,Supply Air Ebtron.AI-1,HVAC Lab.DA1-P (in H2O),HVAC Lab.MA-T (F),VAV-7.ZN-T (F),HVAC Lab.DA-T (F),VAV-3.ZN-T (F),HVAC Lab.HWS-T (F),VAV-2.ZN-T (F),Relief Air Ebtron.AI-1,Relief Air Ebtron.AI-2,VAV-1.ZN-T (F),HVAC Lab.PH-T (F),Outside Air Ebtron.AI-1,Outside Air Ebtron.AI-2,VAV-5.ZN-T (F),HVAC Lab.PHWS-T (F),VAV-4.ZN-T (F),VAV-6.ZN-T (F),HVAC Lab.PHW-F (gpm),HVAC Lab.PHWR-T (F),VAV-7.HTG-O (%),VAV-4.DPR-O (%),HVAC Lab.STM-O (%),HVAC Lab.MAD-O (%),VAV-5.DPR-O (%),HVAC Lab.SF-O (%),VAV-1.HTG-O (%),VAV-3.HTG-O (%),HVAC Lab.PH-O (%),VAV-5.HTG-O (%),VAV-3.DPR-O (%),VAV-6.DPR-O (%),VAV-2.HTG-O (%),VAV-6.HTG-O (%),HVAC Lab.EAD-O (%),VAV-4.HTG-O (%),VAV-7.DPR-O (%),VAV-1.DPR-O (%),VAV-2.DPR-O (%),VAV-2.EFFHTG-SP (F),VAV-3.SA-F (cfm),VAV-3.ZN-SP (F),VAV-1.ZN-SP (F),VAV-4.CLG-MAXFLOW (cfm),VAV-4.EFFCLG-SP (F),VAV-5.EFFCLG-SP (F),VAV-7.EFFHTG-SP (F),VAV-7.EFFCLG-SP (F),VAV-4.SAFLOW-SP (cfm),VAV-4.ZN-SP (F),VAV-6.SAFLOW-SP (cfm),VAV-2.SAFLOW-SP (cfm),VAV-4.EFFHTG-SP (F),HVAC Lab.DAT-SP (F),VAV-2.SA-F (cfm),VAV-3.EFFHTG-SP (F),VAV-2.EFFCLG-SP (F),VAV-6.EFFCLG-SP (F),VAV-1.SA-F (cfm),HVAC Lab.DAP-SP (in. WC),VAV-5.EFFHTG-SP (F),VAV-4.SA-F (cfm),VAV-5.SAFLOW-SP (cfm),HVAC Lab.EFFDAT-SP (F),VAV-7.SAFLOW-SP (cfm),HVAC Lab.MOAFLOW-SP (cfm),VAV-6.ZN-SP (F),VAV-1.SAFLOW-SP (cfm),VAV-3.EFFCLG-SP (F),VAV-5.SA-F (cfm),VAV-4.HTGOCC-MINFLOW (cfm),VAV-1.EFFHTG-SP (F),HVAC Lab.HTGOATLOCKOUT-SP,HVAC Lab.ECONSWO-SP (F),VAV-6.SA-F (cfm),VAV-4.CLGOCC-MINFLOW (cfm),VAV-6.EFFHTG-SP (F),VAV-1.EFFCLG-SP (F),VAV-3.SAFLOW-SP (cfm),VAV-5.ZN-SP (F),VAV-7.SA-F (cfm),VAV-2.ZN-SP (cfm),PowerScout 24.AV-29030,PowerScout 24.AV-1030,PowerScout 24.AV-9030,PowerScout 24.AV-21030,PowerScout 24.AV-45030,PowerScout 24.AV-49150,PowerScout 24.AV-41160,PowerScout 24.AV-42000,HWS-kBTU (kBTU),HVAC Lab.OA-F (cfm),HVAC Lab.DA-F (cfm),HVAC Lab.HWS-DT (F),HVAC Lab.RLF-F (cfm),HVAC Lab.HWS-Q (Btuh),dif_PHT_DAT (F),HW_delta_T (F),Metasys-OAT(F),OperationStatus,OperationStatusHWPump,PHW-F,DA-F,VAV-2HTG-O,VAV-2DPR-O,total_heat (kw),total_ele (kw),HWP_power(kw),Fan_power(kw),Chiller_power(kw),CWPump_power(kw),NCDC_OAT
hvaclab,2/17/2020 17:01,0.776488125,1.479324698,0.340594053,0.213923082,10,0,99.68544006,71.49562836,71.63540649,-0.000253171,-3.119614601,23.60497093,71.13153076,873.5288696,2.251878023,72.71578217,72.07997894,69.98168182,69.58509827,154.097702,71.10277557,45.5701828,41.74650955,70.75230408,70.97640228,205.3286133,24.98565865,67.63883209,156.3627319,70.43125916,71.86278534,3.617536306,153.7932129,0.088694796,45.66827393,10.6960125,14.99276733,29.34389877,85.44011688,0,0,0.425564766,0,34.97283936,35.55571747,0,0,14.99276733,84.63273621,29.19460869,30.80251884,43.08559418,69.98999786,352.9428406,68.20005035,72,230,74,70,70,74,230,72,150,150,70,69.91880035,137.9701843,66.20005035,73.98999786,74,246.0753326,2.25,66,219.5823517,65,70,150,125,72,250,70.20005035,63.41276169,250,70,60,68,155.1165771,250,70,74,350,68,142.9677124,71.98999786,0.574543476,2.892305851,0.736057639,8.023805618,0.003521373,0.027937302,0.003853624,7838.342773,311086.625,200.711319,1914.949951,2.747680664,44.49623871,4472.925781,0.994720459,2.569519043,23.60497093,1,1,3.617536306,1914.949951,0,43.08559418,1.361765615,7.960467979,2.128903816,4.610025172,1.148678062,0.07286093,15
hvaclab,2/17/2020 18:01,0.777600527,1.458077312,0.349996924,0.225543946,10,0,99.68544006,71.49562836,71.63540649,-0.000253171,-3.119614601,22.92220116,71.44013977,0,0.001395989,66.40079498,72.68704987,69.98168182,69.28001404,155.7885895,71.10277557,51.41790009,36.01856995,70.75230408,70.67777252,40.13547134,23.75233269,67.63883209,158.8824921,70.73064423,71.86278534,-0.281030566,154.1065216,0.088694796,0,0,0,0,0,0,0,0.425564766,0,0,0,0,0,0,0,0,0,0,61,20.51936531,68.20005035,72,230,82,82,61,82,0,72,0,0,61,69.91880035,22.1420002,61,82,82,9.433355331,2.25,61,10.18250465,0,70,0,125,72,0,82,4.001249313,250,61,60,68,14.40773678,250,61,82,0,68,7.006379128,71.98999786,0.307093889,2.721120834,0.708812296,0.039284099,0.002958251,0.016424129,0.002721617,7838.879395,311096.6563,40.13547134,0,4.667098999,51.64734268,-590.2188721,0.696090698,4.775970459,22.92220116,0,0,-0.281030566,0,0,0,0,3.153569187,1.928763907,0.012063907,1.133801686,0.078939687,13
hvaclab,2/17/2020 19:01,0.776648819,1.466287017,0.351757348,0.207349479,10,0,99.68544006,71.49562836,71.93362427,-0.000253171,-3.119614601,31.14875603,73.1470871,0,0.001395989,50.15657806,73.28631592,72.07975769,67.15670013,142.7862244,71.10277557,69.80091095,35.47589874,70.75230408,68.58143616,48.36276245,29.57091141,67.63883209,149.7147064,69.52661133,72.16025543,-0.33800438,145.5667114,0.088694796,0,0,0,0,0,0,0,0.425564766,0,0,0,0,0,0,0,0,0,0,61,20.51936531,68.20005035,72,230,82,82,61,82,0,72,0,0,61,69.91880035,22.1420002,61,82,82,9.433355331,2.25,61,10.18250465,0,70,0,125,72,0,82,4.001249313,250,61,60,68,14.40773678,250,61,82,0,68,7.006379128,71.98999786,0.290332019,0.069721185,0.482572049,0.031493582,0.003925668,0.022973329,0.003163412,7839.395996,311096.6563,48.0553093,0,4.26335144,62.34827042,-648.4641724,-3.498321533,4.147994995,31.14875603,0,0,-0.33800438,0,0,0,0,1.254515874,0.033645495,0.009143595,1.138790081,0.072936703,13
hvaclab,2/17/2020 20:01,0.777062654,1.492587328,0.340161353,0.20772323,10,0,99.68544006,71.49562836,71.93362427,-0.000253171,-3.119614601,32.16564178,72.7403183,0,0.001395989,48.66810989,73.5840683,71.48121643,66.55209351,128.6342468,70.80503082,67.22554016,34.90570831,70.75230408,67.38874054,39.7412262,29.76460075,67.02949524,140.8971405,68.32106018,72.16025543,-0.34549731,137.0410919,0.088694796,0,0,0,0,0,0,0,0.425564766,0,0,0,0,0,0,0,0,0,0,61,20.51936531,68.20005035,72,230,82,82,61,82,0,72,0,0,61,69.91880035,22.1420002,61,82,82,22.12323189,2.25,61,10.18250465,0,70,0,125,72,0,82,4.001249313,250,61,60,68,14.40773678,250,61,82,0,68,7.006379128,71.98999786,0.287234843,0.066260614,0.477766752,0.030567067,0.002615733,0.028939957,0.003537169,7839.906738,311096.6563,41.74461746,0,3.890548706,67.11941528,-604.8783569,-4.092475891,3.856048584,32.16564178,0,0,-0.34549731,0,0,0,0,1.270930331,0.031657118,0.008779927,1.159833871,0.070659415,12
hvaclab,2/17/2020 21:01,0.775123119,1.49053061,0.331731856,0.202470839,10,0,99.68544006,71.49562836,71.93362427,-0.000253171,-3.119614601,32.18875122,72.24340057,0,0.001395989,47.77256012,73.8863678,70.88574982,66.25180817,116.2614365,70.5008316,66.11917877,34.53623962,69.83607483,66.49384308,33.40710449,30.14604568,66.7323761,132.9850006,67.7121048,72.16025543,-0.336555392,129.4615631,0.088694796,0,0,0,0,0,0,0,0.425564766,0,0,0,0,0,0,0,0,0,0,61,20.51936531,68.20005035,72,230,82,82,61,82,0,72,0,0,61,69.91880035,22.1420002,61,82,82,22.12323189,2.25,61,10.18250465,0,70,0,125,72,0,82,4.001249313,250,61,60,68,14.40773678,250,61,82,0,68,7.006379128,71.98999786,0.279928416,0.066584133,0.459594369,0.030917868,0.003152372,0.016733564,0.002328855,7840.425293,311096.6563,30.72286034,0,3.476837158,61.04955673,-526.5667114,-4.391906738,3.5234375,32.18875122,0,0,-0.336555392,0,0,0,0,1.261767245,0.030601692,0.00865479,1.155344736,0.067166027,11
hvaclab,2/17/2020 22:01,0.777308404,1.487975001,0.352226287,0.209208608,10,0,99.68544006,71.19850922,71.93362427,-0.000253171,-3.119614601,32.53071976,71.44216919,0,0.001395989,47.47471237,73.8863678,70.2904892,65.95024872,105.7718124,70.2003479,81.40746307,32.96211624,69.23405457,65.60070801,53.5065155,31.10399818,66.13311768,125.7150269,67.40653992,71.86304474,-0.334540933,122.7882996,0.088694796,0,0,0,0,0,0,0,0.425564766,0,0,0,0,0,0,0,0,0,0,61,20.51936531,68.20005035,72,230,82,82,61,82,0,72,0,0,61,69.91880035,22.1420002,61,82,82,22.12323189,2.25,61,10.18250465,0,70,0,125,72,0,82,4.001249313,250,61,60,68,14.40773678,250,61,82,0,68,7.006379128,71.98999786,0.258986652,0.067055985,0.465824217,0.031215843,0.002598339,0.020831935,0.002816244,7840.93457,311096.6563,51.43561935,0,3.121589661,81.20316315,-469.9347839,-4.689781189,2.926727295,32.53071976,0,0,-0.334540933,0,0,0,0,1.269625034,0.031236302,0.008084487,1.156615474,0.073688771,9
hvaclab,2/17/2020 23:01,0.776020348,1.50705409,0.341365755,0.222058415,10,0,99.68544006,70.60351563,71.63591766,-0.000253171,-3.119614601,31.51665306,70.87247467,0,0.001395989,46.87643814,73.8863678,69.69615173,65.35310364,98.35749054,69.59333038,91.53495026,31.21573067,68.93341064,65.0049057,41.89411163,30.05491447,65.53055573,119.6633987,66.810112,71.25405884,-0.327008843,116.7334137,0.088694796,0,0,0,0,0,0,0,0.425564766,0,0,0,0,0,0,0,0,0,0,61,20.51936531,68.20005035,72,230,82,82,61,82,0,72,0,0,61,69.91880035,22.1420002,61,82,82,22.12323189,2.25,61,10.18250465,0,70,0,125,72,0,82,4.001249313,250,61,60,68,14.40773678,250,61,82,0,68,7.006379128,71.98999786,0.237410635,0.070718572,0.469692022,0.034010433,0.002547152,0.026826313,0.003723717,7841.452148,311096.6563,41.50878906,0,2.788261414,91.44429016,-410.303772,-4.691246033,2.929985046,31.51665306,0,0,-0.327008843,0,0,0,0,1.286598166,0.033215949,0.008074438,1.16950464,0.075803139,10
hvaclab,2/18/2020 0:01,0.776415527,1.52318275,0.3534154,0.222716957,10,0,99.68544006,70.30541229,71.33662415,-0.000253171,-3.119614601,30.82257652,70.38924408,0,0.001395989,45.68435669,73.8863678,69.09973907,64.44582367,92.20417023,68.99449158,85.8667984,29.90176582,68.32894135,64.40883636,37.61245346,29.36678505,65.22562408,113.9483948,66.19966888,70.95606995,-0.290579647,111.3098373,0.088694796,0,0,0,0,0,0,0,0.425564766,0,0,0,0,0,0,0,0,0,0,61,20.51936531,68.20005035,72,230,82,82,61,82,0,72,0,0,61,69.91880035,22.1420002,61,82,82,22.12323189,2.25,61,10.18250465,0,70,0,125,72,0,82,4.001249313,250,61,60,68,14.40773678,250,61,82,0,68,7.006379128,71.98999786,0.262301028,0.067236334,0.462896824,0.032088235,0.003735699,0.018828243,0.002930537,7841.962402,311096.6563,32.40995026,0,2.548828125,90.99261475,-333.2868958,-4.69090271,2.638557434,30.82257652,0,0,-0.290579647,0,0,0,0,1.300874602,0.031123485,0.008416777,1.182622737,0.078711603,7
hvaclab,2/18/2020 1:01,0.774534702,1.461672306,0.352823943,0.218995944,10,0,99.68544006,69.71056366,71.03931427,-0.000253171,-3.119614601,29.83419609,69.91188812,0,0.001395989,45.08857727,73.8863678,68.50482941,64.14575195,87.68478394,68.6907196,65.75318146,30.75254631,68.02942657,64.11180115,43.39852142,27.67983437,64.62722015,108.8229523,65.59549713,70.65603638,-0.275551826,106.4856949,0.088694796,0,0,0,0,0,0,0,0.425564766,0,0,0,0,0,0,0,0,0,0,61,20.51936531,68.20005035,72,230,82,82,61,82,0,72,0,0,61,69.91880035,22.1420002,61,82,82,22.12323189,2.25,61,10.18250465,0,70,0,125,72,0,82,4.001249313,250,61,60,68,14.40773678,250,61,82,0,68,7.006379128,71.98999786,0.246655077,0.066527307,0.470134765,0.036951121,0.00354343,0.019762851,0.003327733,7842.482422,311096.6563,43.86530304,0,2.27016449,65.64766693,-281.496582,-4.393028259,2.337257385,29.83419609,0,0,-0.275551826,0,0,0,0,1.249773918,0.0312768,0.009114182,1.132115924,0.077267012,6
hvaclab,2/18/2020 2:01,0.77626425,1.48282516,0.342481256,0.213689327,10,0,99.68544006,69.41222382,70.74211121,-0.000253171,-3.119614601,28.86073875,69.65227509,0,0.001395989,44.19472885,73.8863678,68.20713043,63.84443665,84.35220337,68.3913269,73.98206329,30.78572464,67.72471619,63.51575851,29.38678932,26.86162758,64.32273865,103.9814835,65.29535675,70.35138702,-0.245199069,101.961647,0.088694796,0,0,0,0,0,0,0,0.425564766,0,0,0,0,0,0,0,0,0,0,61,20.51936531,68.20005035,72,230,82,82,61,82,0,72,0,0,61,69.91880035,22.1420002,61,82,82,22.12323189,2.25,61,10.18250465,0,70,0,125,72,0,82,4.001249313,250,61,60,68,14.40773678,250,61,82,0,68,7.006379128,71.98999786,0.254533529,0.069756299,0.478626758,0.041041613,0.002913125,0.017426252,0.002387949,7842.991211,311096.6563,42.24026871,0,1.961601257,68.30323792,-216.4422607,-4.691371918,2.019836426,28.86073875,0,0,-0.245199069,0,0,0,0,1.268082448,0.033387231,0.010446467,1.151064161,0.073184589,3
