model_type,bldgname,y_column,imputation_method,feature_method,n_feature,updated_n_feature,time_step,datelevel,rmse,mae,mape,model_file,model_data_path,building_file,selected_features_delimited
xgboost,Arts and Sciences,present_elec_kwh,linear_interpolation,rfecv,0,0,1,year,32355.470031693883,32173.829861111008,0.16442610477252073,./models/xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_0_0_1_year,./models/imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_interpolation,Arts_and_Sciences_Data_Extended.csv,
xgboost,Arts and Sciences,present_elec_kwh,linear_regression,rfecv,0,0,1,year,33413.07585048194,32946.23440045546,0.1661671770641313,./models/xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_regression_rfecv_0_0_1_year,./models/imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_regression,Arts_and_Sciences_Data_Extended.csv,
xgboost,Arts and Sciences,present_elec_kwh,prophet,rfecv,0,0,1,year,33701.33809878693,33178.03926924932,0.16691477433795643,./models/xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_prophet_rfecv_0_0_1_year,./models/imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_prophet,Arts_and_Sciences_Data_Extended.csv,
xgboost,Arts and Sciences,present_elec_kwh,lstm,rfecv,0,0,1,year,33151.32278791226,32719.041025055805,0.16524129871141174,./models/xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_lstm_rfecv_0_0_1_year,./models/imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_lstm,Arts_and_Sciences_Data_Extended.csv,
xgboost,Aven Nelson,present_elec_kwh,linear_interpolation,rfecv,0,0,1,year,20719.276450914353,19665.84375,0.12183017415034789,./models/xgboost/Aven_Nelson_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_0_0_1_year,./models/imp/Aven_Nelson_Data_Extended_present_elec_kwh_linear_interpolation,Aven_Nelson_Data_Extended.csv,
xgboost,Aven Nelson,present_elec_kwh,linear_regression,rfecv,0,0,1,year,21633.14137821328,21084.290669962764,0.1301970294851255,./models/xgboost/Aven_Nelson_Data_Extended_present_elec_kwh_linear_regression_rfecv_0_0_1_year,./models/imp/Aven_Nelson_Data_Extended_present_elec_kwh_linear_regression,Aven_Nelson_Data_Extended.csv,
xgboost,Aven Nelson,present_elec_kwh,prophet,rfecv,0,0,1,year,23680.623604166733,22853.410866867256,0.14162159310463818,./models/xgboost/Aven_Nelson_Data_Extended_present_elec_kwh_prophet_rfecv_0_0_1_year,./models/imp/Aven_Nelson_Data_Extended_present_elec_kwh_prophet,Aven_Nelson_Data_Extended.csv,
xgboost,Aven Nelson,present_elec_kwh,lstm,rfecv,0,0,1,year,21667.18567573977,20409.015201091766,0.12678576955623977,./models/xgboost/Aven_Nelson_Data_Extended_present_elec_kwh_lstm_rfecv_0_0_1_year,./models/imp/Aven_Nelson_Data_Extended_present_elec_kwh_lstm,Aven_Nelson_Data_Extended.csv,
xgboost,Biological Sciences,present_elec_kwh,linear_interpolation,rfecv,0,0,1,year,266834.2902844823,265897.21153846197,0.14655735909692102,./models/xgboost/Biological_Sciences_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_0_0_1_year,./models/imp/Biological_Sciences_Data_Extended_present_elec_kwh_linear_interpolation,Biological_Sciences_Data_Extended.csv,
xgboost,Biological Sciences,present_elec_kwh,linear_regression,rfecv,0,0,1,year,272380.2670334788,271394.3229697279,0.14927185294523299,./models/xgboost/Biological_Sciences_Data_Extended_present_elec_kwh_linear_regression_rfecv_0_0_1_year,./models/imp/Biological_Sciences_Data_Extended_present_elec_kwh_linear_regression,Biological_Sciences_Data_Extended.csv,
