model_type,bldgname,y_column,imputation_method,feature_method,n_feature,updated_n_feature,time_step,datelevel,rmse,mae,mape,model_file,model_data_path,building_file,selected_features_delimited
xgboost,Arena Auditorium,present_elec_kwh,zero_fill,rfecv,0,0,7,day,15532.041015625,7594.5888671875,1.0198631154110693e+19,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_zero_fill_rfecv_0_0_7_day,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_zero_fill,Arena_Auditorium_Data_Extended.csv,
xgboost,Arena Auditorium,present_elec_kwh,zero_fill,rfecv,1,1,7,day,15477.5859375,8365.3857421875,1.203831751703108e+19,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_zero_fill_rfecv_1_1_7_day,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_zero_fill,Arena_Auditorium_Data_Extended.csv,temp_c
xgboost,Arena Auditorium,present_elec_kwh,linear_interpolation,rfecv,0,0,7,day,10515.13671875,7432.830078125,0.16917017102241516,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_0_0_7_day,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_interpolation,Arena_Auditorium_Data_Extended.csv,
xgboost,Arena Auditorium,present_elec_kwh,linear_interpolation,rfecv,1,1,7,day,11282.2880859375,8780.958984375,0.1949135810136795,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_1_1_7_day,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_interpolation,Arena_Auditorium_Data_Extended.csv,temp_c
xgboost,Arena Auditorium,present_elec_kwh,linear_regression,rfecv,0,0,7,day,21648.970515750316,15937.833731996216,0.16611151073174713,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_regression_rfecv_0_0_7_day,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_regression,Arena_Auditorium_Data_Extended.csv,
xgboost,Arena Auditorium,present_elec_kwh,linear_regression,rfecv,1,1,7,day,20094.073251556525,14680.842293649293,0.15298339262674354,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_regression_rfecv_1_1_7_day,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_regression,Arena_Auditorium_Data_Extended.csv,surface_pressure_hpa|cloud_cover_%|direct_radiation_w/m2|precipitation_mm|wind_speed_ground_km/h|wind_dir_ground_deg
xgboost,Arena Auditorium,present_elec_kwh,linear_regression,rfecv,2,2,7,day,20341.148853057784,15008.476274194638,0.15669321882352338,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_regression_rfecv_2_2_7_day,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_regression,Arena_Auditorium_Data_Extended.csv,surface_pressure_hpa|cloud_cover_%|direct_radiation_w/m2|precipitation_mm|wind_speed_ground_km/h|wind_dir_ground_deg
xgboost,Arena Auditorium,present_elec_kwh,linear_regression,rfecv,3,3,7,day,20205.865438028177,14826.308083643677,0.15390304350408401,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_regression_rfecv_3_3_7_day,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_regression,Arena_Auditorium_Data_Extended.csv,surface_pressure_hpa|cloud_cover_%|direct_radiation_w/m2|precipitation_mm|wind_speed_ground_km/h|wind_dir_ground_deg
xgboost,Arena Auditorium,present_elec_kwh,linear_regression,rfecv,4,4,7,day,21368.557952242892,15733.240946118267,0.16255577082220543,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_regression_rfecv_4_4_7_day,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_regression,Arena_Auditorium_Data_Extended.csv,surface_pressure_hpa|cloud_cover_%|direct_radiation_w/m2|precipitation_mm|wind_speed_ground_km/h|wind_dir_ground_deg
xgboost,Arena Auditorium,present_elec_kwh,linear_regression,rfecv,5,5,7,day,21268.700396172855,15799.482303704299,0.1641197026819936,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_regression_rfecv_5_5_7_day,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_regression,Arena_Auditorium_Data_Extended.csv,surface_pressure_hpa|cloud_cover_%|direct_radiation_w/m2|precipitation_mm|wind_speed_ground_km/h|wind_dir_ground_deg
xgboost,Arena Auditorium,present_elec_kwh,linear_regression,rfecv,6,6,7,day,21350.954037342726,15883.748401183626,0.16496983416270175,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_regression_rfecv_6_6_7_day,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_regression,Arena_Auditorium_Data_Extended.csv,surface_pressure_hpa|cloud_cover_%|direct_radiation_w/m2|precipitation_mm|wind_speed_ground_km/h|wind_dir_ground_deg
xgboost,Arena Auditorium,present_elec_kwh,linear_regression,lassocv,1,1,7,day,20382.058434201317,15219.8147991301,0.15949228664284068,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_regression_lassocv_1_1_7_day,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_regression,Arena_Auditorium_Data_Extended.csv,wind_dir_ground_deg
xgboost,Arena Auditorium,present_elec_kwh,prophet,rfecv,0,0,7,day,7157.453424828217,4319.429787457173,0.06526123817765335,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_prophet_rfecv_0_0_7_day,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_prophet,Arena_Auditorium_Data_Extended.csv,
xgboost,Arena Auditorium,present_elec_kwh,prophet,rfecv,1,1,7,day,7279.291562808521,4836.224127655786,0.07314962654546844,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_prophet_rfecv_1_1_7_day,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_prophet,Arena_Auditorium_Data_Extended.csv,temp_c
xgboost,Arena Auditorium,present_elec_kwh,lstm,rfecv,0,0,7,day,15663.685546875,12023.8369140625,0.28601303696632385,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_lstm_rfecv_0_0_7_day,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_lstm,Arena_Auditorium_Data_Extended.csv,
xgboost,Arena Auditorium,present_elec_kwh,lstm,rfecv,1,1,7,day,15627.703125,11916.130859375,0.28506529331207275,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_lstm_rfecv_1_1_7_day,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_lstm,Arena_Auditorium_Data_Extended.csv,rel_humidity_%
xgboost,Arts and Sciences,present_elec_kwh,zero_fill,rfecv,0,0,7,day,118.10095977783203,71.56437683105469,8.18153645974487e+16,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_zero_fill_rfecv_0_0_7_day,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_zero_fill,Arts_and_Sciences_Data_Extended.csv,
xgboost,Arts and Sciences,present_elec_kwh,zero_fill,rfecv,1,1,7,day,115.33250427246094,73.33527374267578,7.045046881537229e+16,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_zero_fill_rfecv_1_1_7_day,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_zero_fill,Arts_and_Sciences_Data_Extended.csv,surface_pressure_hpa
xgboost,Arts and Sciences,present_elec_kwh,zero_fill,lassocv,1,1,7,day,121.55431365966797,72.49735260009766,9.10358089784361e+16,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_zero_fill_lassocv_1_1_7_day,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_zero_fill,Arts_and_Sciences_Data_Extended.csv,temp_c|surface_pressure_hpa
xgboost,Arts and Sciences,present_elec_kwh,zero_fill,lassocv,2,2,7,day,114.88139343261719,73.47346496582031,7.82218771300352e+16,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_zero_fill_lassocv_2_2_7_day,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_zero_fill,Arts_and_Sciences_Data_Extended.csv,temp_c|surface_pressure_hpa
xgboost,Arts and Sciences,present_elec_kwh,linear_interpolation,rfecv,0,0,7,day,76.80927276611328,56.83998489379883,0.1161167174577713,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_0_0_7_day,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_interpolation,Arts_and_Sciences_Data_Extended.csv,
xgboost,Arts and Sciences,present_elec_kwh,linear_interpolation,rfecv,1,1,7,day,80.36592102050781,60.14157485961914,0.12276184558868408,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_1_1_7_day,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_interpolation,Arts_and_Sciences_Data_Extended.csv,surface_pressure_hpa
xgboost,Arts and Sciences,present_elec_kwh,linear_interpolation,lassocv,1,1,7,day,80.8017807006836,60.47842025756836,0.12199234962463379,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_1_1_7_day,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_interpolation,Arts_and_Sciences_Data_Extended.csv,temp_c|surface_pressure_hpa|cloud_cover_%
xgboost,Arts and Sciences,present_elec_kwh,linear_interpolation,lassocv,2,2,7,day,81.29288482666016,60.74077606201172,0.12322332710027695,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_2_2_7_day,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_interpolation,Arts_and_Sciences_Data_Extended.csv,temp_c|surface_pressure_hpa|cloud_cover_%
xgboost,Arts and Sciences,present_elec_kwh,linear_interpolation,lassocv,3,3,7,day,82.71698760986328,61.95355987548828,0.1246500238776207,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_3_3_7_day,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_interpolation,Arts_and_Sciences_Data_Extended.csv,temp_c|surface_pressure_hpa|cloud_cover_%
xgboost,Arts and Sciences,present_elec_kwh,linear_regression,rfecv,0,0,7,day,68.00180653409126,50.171733227955734,0.09647375694068049,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_regression_rfecv_0_0_7_day,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_regression,Arts_and_Sciences_Data_Extended.csv,
xgboost,Arts and Sciences,present_elec_kwh,linear_regression,rfecv,1,1,7,day,74.77610793593867,55.56436636099991,0.10513575068822079,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_regression_rfecv_1_1_7_day,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_regression,Arts_and_Sciences_Data_Extended.csv,temp_c|surface_pressure_hpa
xgboost,Arts and Sciences,present_elec_kwh,linear_regression,rfecv,2,2,7,day,71.41131052236793,54.31909481541302,0.1028056584723322,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_regression_rfecv_2_2_7_day,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_regression,Arts_and_Sciences_Data_Extended.csv,temp_c|surface_pressure_hpa
xgboost,Arts and Sciences,present_elec_kwh,linear_regression,lassocv,1,1,7,day,71.05783246526236,52.81634109279843,0.09996097451348117,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_regression_lassocv_1_1_7_day,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_regression,Arts_and_Sciences_Data_Extended.csv,temp_c|surface_pressure_hpa|cloud_cover_%
xgboost,Arts and Sciences,present_elec_kwh,linear_regression,lassocv,2,2,7,day,72.47160158932927,54.54358104879484,0.10400680788289365,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_regression_lassocv_2_2_7_day,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_regression,Arts_and_Sciences_Data_Extended.csv,temp_c|surface_pressure_hpa|cloud_cover_%
xgboost,Arts and Sciences,present_elec_kwh,linear_regression,lassocv,3,3,7,day,73.03932961748131,54.534015513483396,0.10288098384406928,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_regression_lassocv_3_3_7_day,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_regression,Arts_and_Sciences_Data_Extended.csv,temp_c|surface_pressure_hpa|cloud_cover_%
xgboost,Arts and Sciences,present_elec_kwh,prophet,rfecv,0,0,7,day,69.25431869805006,50.988697297334404,0.09810718106731693,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_prophet_rfecv_0_0_7_day,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_prophet,Arts_and_Sciences_Data_Extended.csv,
xgboost,Arts and Sciences,present_elec_kwh,prophet,rfecv,1,1,7,day,73.41861725211037,55.68589937115201,0.10473645766831682,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_prophet_rfecv_1_1_7_day,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_prophet,Arts_and_Sciences_Data_Extended.csv,surface_pressure_hpa
xgboost,Arts and Sciences,present_elec_kwh,prophet,lassocv,1,1,7,day,76.3456118488872,57.94850790214187,0.10904001618405353,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_prophet_lassocv_1_1_7_day,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_prophet,Arts_and_Sciences_Data_Extended.csv,temp_c|surface_pressure_hpa|cloud_cover_%
xgboost,Arts and Sciences,present_elec_kwh,prophet,lassocv,2,2,7,day,75.21204142447066,56.274775031807366,0.10680506687603669,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_prophet_lassocv_2_2_7_day,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_prophet,Arts_and_Sciences_Data_Extended.csv,temp_c|surface_pressure_hpa|cloud_cover_%
xgboost,Arts and Sciences,present_elec_kwh,prophet,lassocv,3,3,7,day,75.45426319149513,57.41160290514374,0.1071067802522881,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_prophet_lassocv_3_3_7_day,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_prophet,Arts_and_Sciences_Data_Extended.csv,temp_c|surface_pressure_hpa|cloud_cover_%
