model_type,bldgname,y_column,imputation_method,feature_method,n_feature,updated_n_feature,time_step,datelevel,rmse,mae,mape,model_file,model_data_path,building_file,selected_features_delimited
xgboost,Biological Sciences,present_chll_tonh,lstm,rfecv,1,1,24,hour,2.793208360671997,1.7826789617538452,0.4324630796909332,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_lstm_rfecv_1_1_24_hour,./models/spaces_imp/Biological_Sciences_Data_Extended_present_chll_tonh_lstm,Biological_Sciences_Data_Extended.csv,temp_c
xgboost,Biological Sciences,present_chll_tonh,lstm,lassocv,5,5,24,hour,2.780752182006836,1.8104372024536133,0.4580971598625183,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_lstm_lassocv_5_5_24_hour,./models/spaces_imp/Biological_Sciences_Data_Extended_present_chll_tonh_lstm,Biological_Sciences_Data_Extended.csv,temp_c|rel_humidity_%|surface_pressure_hpa|cloud_cover_%|direct_radiation_w/m2|precipitation_mm|wind_speed_ground_km/h|wind_dir_ground_deg
xgboost,Biological Sciences,present_chll_tonh,zero_fill,rfecv,5,2,24,hour,3.371227979660034,2.0744571685791016,0.4563711881637573,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_zero_fill_rfecv_5_2_24_hour,./models/spaces_imp/Biological_Sciences_Data_Extended_present_chll_tonh_zero_fill,Biological_Sciences_Data_Extended.csv,temp_c|direct_radiation_w/m2
xgboost,Biological Sciences,present_chll_tonh,lstm,lassocv,2,2,24,hour,2.7588157653808594,1.7766075134277344,0.4511277973651886,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_lstm_lassocv_2_2_24_hour,./models/spaces_imp/Biological_Sciences_Data_Extended_present_chll_tonh_lstm,Biological_Sciences_Data_Extended.csv,temp_c|rel_humidity_%|surface_pressure_hpa|cloud_cover_%|direct_radiation_w/m2|precipitation_mm|wind_speed_ground_km/h|wind_dir_ground_deg
xgboost,Biological Sciences,present_chll_tonh,prophet,lassocv,2,2,24,hour,2.637495458589897,1.7465224005151578,0.4608094055840646,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_prophet_lassocv_2_2_24_hour,./models/spaces_imp/Biological_Sciences_Data_Extended_present_chll_tonh_prophet,Biological_Sciences_Data_Extended.csv,temp_c|surface_pressure_hpa|direct_radiation_w/m2|precipitation_mm|wind_speed_ground_km/h|wind_dir_ground_deg
xgboost,Biological Sciences,present_chll_tonh,linear_interpolation,lassocv,2,2,24,hour,2.7153265476226807,1.758015513420105,0.4646646976470947,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_linear_interpolation_lassocv_2_2_24_hour,./models/spaces_imp/Biological_Sciences_Data_Extended_present_chll_tonh_linear_interpolation,Biological_Sciences_Data_Extended.csv,temp_c|surface_pressure_hpa|cloud_cover_%|direct_radiation_w/m2|precipitation_mm|wind_speed_ground_km/h|wind_dir_ground_deg
xgboost,Biological Sciences,present_chll_tonh,linear_interpolation,lassocv,5,5,24,hour,2.6478617191314697,1.718543291091919,0.4588160812854767,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_linear_interpolation_lassocv_5_5_24_hour,./models/spaces_imp/Biological_Sciences_Data_Extended_present_chll_tonh_linear_interpolation,Biological_Sciences_Data_Extended.csv,temp_c|surface_pressure_hpa|cloud_cover_%|direct_radiation_w/m2|precipitation_mm|wind_speed_ground_km/h|wind_dir_ground_deg
xgboost,Biological Sciences,present_chll_tonh,linear_interpolation,lassocv,1,1,24,hour,2.651771068572998,1.7266322374343872,0.46809113025665283,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_linear_interpolation_lassocv_1_1_24_hour,./models/spaces_imp/Biological_Sciences_Data_Extended_present_chll_tonh_linear_interpolation,Biological_Sciences_Data_Extended.csv,temp_c|surface_pressure_hpa|cloud_cover_%|direct_radiation_w/m2|precipitation_mm|wind_speed_ground_km/h|wind_dir_ground_deg
xgboost,Biological Sciences,present_chll_tonh,linear_interpolation,lassocv,4,4,24,hour,2.6637513637542725,1.7301095724105835,0.4635869264602661,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_linear_interpolation_lassocv_4_4_24_hour,./models/spaces_imp/Biological_Sciences_Data_Extended_present_chll_tonh_linear_interpolation,Biological_Sciences_Data_Extended.csv,temp_c|surface_pressure_hpa|cloud_cover_%|direct_radiation_w/m2|precipitation_mm|wind_speed_ground_km/h|wind_dir_ground_deg
xgboost,Biological Sciences,present_chll_tonh,linear_interpolation,lassocv,7,7,24,hour,2.6677515506744385,1.7397243976593018,0.46280649304389954,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_linear_interpolation_lassocv_7_7_24_hour,./models/spaces_imp/Biological_Sciences_Data_Extended_present_chll_tonh_linear_interpolation,Biological_Sciences_Data_Extended.csv,temp_c|surface_pressure_hpa|cloud_cover_%|direct_radiation_w/m2|precipitation_mm|wind_speed_ground_km/h|wind_dir_ground_deg
