model_type,bldgname,y_column,imputation_method,feature_method,n_feature,updated_n_feature,time_step,datelevel,rmse,mae,mape,model_file,model_data_path,building_file,selected_features_delimited
xgboost,Arena Auditorium,present_elec_kwh,zero_fill,rfecv,0,0,12,month,1257808.5,1101714.25,1.3340786588803368e+21,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_zero_fill_rfecv_0_0_12_month,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_zero_fill,Arena_Auditorium_Data_Extended.csv,
xgboost,Arena Auditorium,present_elec_kwh,zero_fill,rfecv,1,2,12,month,1303742.0,1141201.0,1.335415524282224e+21,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_zero_fill_rfecv_1_2_12_month,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_zero_fill,Arena_Auditorium_Data_Extended.csv,rel_humidity_%|cloud_cover_%
xgboost,Arts and Sciences,present_elec_kwh,zero_fill,rfecv,0,0,12,month,2689.68408203125,2047.7857666015625,0.1418280154466629,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_zero_fill_rfecv_0_0_12_month,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_zero_fill,Arts_and_Sciences_Data_Extended.csv,
xgboost,Arts and Sciences,present_elec_kwh,zero_fill,rfecv,1,1,12,month,2708.88623046875,2058.555419921875,0.14229753613471985,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_zero_fill_rfecv_1_1_12_month,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_zero_fill,Arts_and_Sciences_Data_Extended.csv,surface_pressure_hpa
xgboost,Aven Nelson,present_elec_kwh,zero_fill,rfecv,0,0,12,month,5590.6357421875,3828.413330078125,0.47567054629325867,./models/spaces_xgboost/Aven_Nelson_Data_Extended_present_elec_kwh_zero_fill_rfecv_0_0_12_month,./models/spaces_imp/Aven_Nelson_Data_Extended_present_elec_kwh_zero_fill,Aven_Nelson_Data_Extended.csv,
xgboost,Aven Nelson,present_elec_kwh,zero_fill,rfecv,1,1,12,month,6103.39599609375,4219.2822265625,0.5034129023551941,./models/spaces_xgboost/Aven_Nelson_Data_Extended_present_elec_kwh_zero_fill_rfecv_1_1_12_month,./models/spaces_imp/Aven_Nelson_Data_Extended_present_elec_kwh_zero_fill,Aven_Nelson_Data_Extended.csv,rel_humidity_%
xgboost,Aven Nelson,present_elec_kwh,zero_fill,lassocv,1,3,12,month,3852.088134765625,2292.142822265625,0.36154794692993164,./models/spaces_xgboost/Aven_Nelson_Data_Extended_present_elec_kwh_zero_fill_lassocv_1_3_12_month,./models/spaces_imp/Aven_Nelson_Data_Extended_present_elec_kwh_zero_fill,Aven_Nelson_Data_Extended.csv,temp_c|rel_humidity_%|precipitation_mm
xgboost,Biological Sciences,present_elec_kwh,zero_fill,rfecv,0,0,12,month,20363.892578125,13622.1171875,0.1282161921262741,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_elec_kwh_zero_fill_rfecv_0_0_12_month,./models/spaces_imp/Biological_Sciences_Data_Extended_present_elec_kwh_zero_fill,Biological_Sciences_Data_Extended.csv,
xgboost,Biological Sciences,present_elec_kwh,zero_fill,rfecv,1,4,12,month,20778.638671875,13479.7412109375,0.12813298404216766,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_elec_kwh_zero_fill_rfecv_1_4_12_month,./models/spaces_imp/Biological_Sciences_Data_Extended_present_elec_kwh_zero_fill,Biological_Sciences_Data_Extended.csv,temp_c|direct_radiation_w/m2|precipitation_mm|wind_dir_ground_deg
xgboost,Biological Sciences,present_elec_kwh,zero_fill,lassocv,1,5,12,month,20020.93359375,13481.4580078125,0.12664176523685455,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_elec_kwh_zero_fill_lassocv_1_5_12_month,./models/spaces_imp/Biological_Sciences_Data_Extended_present_elec_kwh_zero_fill,Biological_Sciences_Data_Extended.csv,rel_humidity_%|surface_pressure_hpa|cloud_cover_%|precipitation_mm|wind_dir_ground_deg
