campus,bldgname,ts,present_elec_kwh,historical_elec_kwh,present_htwt_mmbtuh,historical_htwt_mmbtuh,present_wtr_usgal,historical_wtr_usgal,present_chll_tonh,historical_chll_tonh,present_co2_tonh,historical_co2_tonh,latitude,longitude,year,month,day,hour
East,Information Technology,2019-09-19T00:00:00,360.0,,,,,,,,0.24839999999999998,,41.311315,-105.573954,2019,9,19,0
East,Information Technology,2019-09-19T01:00:00,360.0,,,,,,,,0.24839999999999998,,41.311315,-105.573954,2019,9,19,1
East,Information Technology,2019-09-19T02:00:00,360.0,,,,,,,,0.24839999999999998,,41.311315,-105.573954,2019,9,19,2
East,Information Technology,2019-09-19T03:00:00,352.0,,,,,,,,0.24287999999999998,,41.311315,-105.573954,2019,9,19,3
East,Information Technology,2019-09-19T04:00:00,354.0,,,,,,,,0.24425999999999998,,41.311315,-105.573954,2019,9,19,4
East,Information Technology,2019-09-19T05:00:00,358.0,,,,,,,,0.24702,,41.311315,-105.573954,2019,9,19,5
East,Information Technology,2019-09-19T06:00:00,368.0,,,,,,,,0.25392,,41.311315,-105.573954,2019,9,19,6
East,Information Technology,2019-09-19T07:00:00,380.0,,,,,,,,0.2622,,41.311315,-105.573954,2019,9,19,7
East,Information Technology,2019-09-19T08:00:00,388.0,,,,,,,,0.26772,,41.311315,-105.573954,2019,9,19,8
East,Information Technology,2019-09-19T09:00:00,448.0,,,,,,,,0.30912,,41.311315,-105.573954,2019,9,19,9
East,Information Technology,2019-09-19T10:00:00,480.0,,,,,,,,0.3312,,41.311315,-105.573954,2019,9,19,10
East,Information Technology,2019-09-19T11:00:00,476.0,,,,,,,,0.32844,,41.311315,-105.573954,2019,9,19,11
East,Information Technology,2019-09-19T12:00:00,468.0,,,,,,,,0.32292,,41.311315,-105.573954,2019,9,19,12
East,Information Technology,2019-09-19T13:00:00,464.0,,,,,,,,0.32016,,41.311315,-105.573954,2019,9,19,13
East,Information Technology,2019-09-19T14:00:00,446.0,,,,,,,,0.30773999999999996,,41.311315,-105.573954,2019,9,19,14
East,Information Technology,2019-09-19T15:00:00,498.0,,,,,,,,0.34362,,41.311315,-105.573954,2019,9,19,15
East,Information Technology,2019-09-19T16:00:00,472.0,,,,,,,,0.32567999999999997,,41.311315,-105.573954,2019,9,19,16
East,Information Technology,2019-09-19T17:00:00,370.0,,,,,,,,0.25529999999999997,,41.311315,-105.573954,2019,9,19,17
East,Information Technology,2019-09-19T18:00:00,422.0,,,,,,,,0.29118,,41.311315,-105.573954,2019,9,19,18
East,Information Technology,2019-09-19T19:00:00,414.0,,,,,,,,0.28565999999999997,,41.311315,-105.573954,2019,9,19,19
East,Information Technology,2019-09-19T20:00:00,418.0,,,,,,,,0.28842,,41.311315,-105.573954,2019,9,19,20
East,Information Technology,2019-09-19T21:00:00,334.0,,200.1953125,,,,,,0.23046,,41.311315,-105.573954,2019,9,19,21
East,Information Technology,2019-09-19T22:00:00,364.0,,100.09765625,,,,,,0.25116,,41.311315,-105.573954,2019,9,19,22
East,Information Technology,2019-09-19T23:00:00,358.0,,,,,,,,0.24702,,41.311315,-105.573954,2019,9,19,23
East,Information Technology,2019-09-20T00:00:00,344.0,,100.09765625,,,,,,0.23736,,41.311315,-105.573954,2019,9,20,0
East,Information Technology,2019-09-20T01:00:00,344.0,,200.1953125,,,,,,0.23736,,41.311315,-105.573954,2019,9,20,1
East,Information Technology,2019-09-20T02:00:00,344.0,,199.70703125,,,,,,0.23736,,41.311315,-105.573954,2019,9,20,2
East,Information Technology,2019-09-20T03:00:00,344.0,,300.29296875,,,,,,0.23736,,41.311315,-105.573954,2019,9,20,3
East,Information Technology,2019-09-20T04:00:00,348.0,,300.29296875,,,,,,0.24012,,41.311315,-105.573954,2019,9,20,4
East,Information Technology,2019-09-20T05:00:00,344.0,,399.90234375,,,,,,0.23736,,41.311315,-105.573954,2019,9,20,5
East,Information Technology,2019-09-20T06:00:00,346.0,,300.29296875,,,,,,0.23873999999999998,,41.311315,-105.573954,2019,9,20,6
East,Information Technology,2019-09-20T07:00:00,362.0,,400.390625,,,,,,0.24977999999999997,,41.311315,-105.573954,2019,9,20,7
East,Information Technology,2019-09-20T08:00:00,394.0,,300.29296875,,,,,,0.27186,,41.311315,-105.573954,2019,9,20,8
East,Information Technology,2019-09-20T09:00:00,426.0,,299.8046875,,,,,,0.29394,,41.311315,-105.573954,2019,9,20,9
East,Information Technology,2019-09-20T10:00:00,456.0,,200.1953125,,,,,,0.31464,,41.311315,-105.573954,2019,9,20,10
East,Information Technology,2019-09-20T11:00:00,466.0,,200.1953125,,,,,,0.32154,,41.311315,-105.573954,2019,9,20,11
East,Information Technology,2019-09-20T12:00:00,476.0,,199.70703125,,,,,,0.32844,,41.311315,-105.573954,2019,9,20,12
East,Information Technology,2019-09-20T13:00:00,484.0,,,,,,,,0.33396,,41.311315,-105.573954,2019,9,20,13
East,Information Technology,2019-09-20T14:00:00,490.0,,,,,,,,0.33809999999999996,,41.311315,-105.573954,2019,9,20,14
East,Information Technology,2019-09-20T15:00:00,492.0,,,,,,,,0.33948,,41.311315,-105.573954,2019,9,20,15
East,Information Technology,2019-09-20T16:00:00,478.0,,,,,,,,0.32982,,41.311315,-105.573954,2019,9,20,16
East,Information Technology,2019-09-20T17:00:00,434.0,,,,,,,,0.29946,,41.311315,-105.573954,2019,9,20,17
East,Information Technology,2019-09-20T18:00:00,408.0,,,,,,,,0.28152,,41.311315,-105.573954,2019,9,20,18
East,Information Technology,2019-09-20T19:00:00,394.0,,,,,,,,0.27186,,41.311315,-105.573954,2019,9,20,19
East,Information Technology,2019-09-20T20:00:00,378.0,,,,,,,,0.26082,,41.311315,-105.573954,2019,9,20,20
East,Information Technology,2019-09-20T21:00:00,348.0,,,,,,,,0.24012,,41.311315,-105.573954,2019,9,20,21
East,Information Technology,2019-09-20T22:00:00,326.0,,,,,,,,0.22494,,41.311315,-105.573954,2019,9,20,22
East,Information Technology,2019-09-20T23:00:00,314.0,,,,,,,,0.21666,,41.311315,-105.573954,2019,9,20,23
East,Information Technology,2019-09-21T00:00:00,312.0,,,,,,,,0.21528,,41.311315,-105.573954,2019,9,21,0
East,Information Technology,2019-09-21T01:00:00,324.0,,,,,,,,0.22355999999999998,,41.311315,-105.573954,2019,9,21,1
East,Information Technology,2019-09-21T02:00:00,316.0,,,,,,,,0.21803999999999998,,41.311315,-105.573954,2019,9,21,2
East,Information Technology,2019-09-21T03:00:00,306.0,,,,,,,,0.21114,,41.311315,-105.573954,2019,9,21,3
East,Information Technology,2019-09-21T04:00:00,312.0,,,,,,,,0.21528,,41.311315,-105.573954,2019,9,21,4
East,Information Technology,2019-09-21T05:00:00,318.0,,,,,,,,0.21941999999999998,,41.311315,-105.573954,2019,9,21,5
East,Information Technology,2019-09-21T06:00:00,324.0,,,,,,,,0.22355999999999998,,41.311315,-105.573954,2019,9,21,6
East,Information Technology,2019-09-21T07:00:00,332.0,,,,,,,,0.22907999999999998,,41.311315,-105.573954,2019,9,21,7
East,Information Technology,2019-09-21T08:00:00,356.0,,,,,,,,0.24564,,41.311315,-105.573954,2019,9,21,8
East,Information Technology,2019-09-21T09:00:00,346.0,,,,,,,,0.23873999999999998,,41.311315,-105.573954,2019,9,21,9
East,Information Technology,2019-09-21T10:00:00,338.0,,,,,,,,0.23321999999999998,,41.311315,-105.573954,2019,9,21,10
East,Information Technology,2019-09-21T11:00:00,344.0,,,,,,,,0.23736,,41.311315,-105.573954,2019,9,21,11
East,Information Technology,2019-09-21T12:00:00,354.0,,,,,,,,0.24425999999999998,,41.311315,-105.573954,2019,9,21,12
East,Information Technology,2019-09-21T13:00:00,356.0,,,,,,,,0.24564,,41.311315,-105.573954,2019,9,21,13
East,Information Technology,2019-09-21T14:00:00,362.0,,,,,,,,0.24977999999999997,,41.311315,-105.573954,2019,9,21,14
East,Information Technology,2019-09-21T15:00:00,372.0,,,,,,,,0.25667999999999996,,41.311315,-105.573954,2019,9,21,15
East,Information Technology,2019-09-21T16:00:00,348.0,,,,,,,,0.24012,,41.311315,-105.573954,2019,9,21,16
East,Information Technology,2019-09-21T17:00:00,334.0,,,,,,,,0.23046,,41.311315,-105.573954,2019,9,21,17
East,Information Technology,2019-09-21T18:00:00,328.0,,,,,,,,0.22632,,41.311315,-105.573954,2019,9,21,18
East,Information Technology,2019-09-21T19:00:00,322.0,,,,,,,,0.22218,,41.311315,-105.573954,2019,9,21,19
East,Information Technology,2019-09-21T20:00:00,308.0,,,,,,,,0.21252,,41.311315,-105.573954,2019,9,21,20
East,Information Technology,2019-09-21T21:00:00,314.0,,,,,,,,0.21666,,41.311315,-105.573954,2019,9,21,21
East,Information Technology,2019-09-21T22:00:00,308.0,,,,,,,,0.21252,,41.311315,-105.573954,2019,9,21,22
East,Information Technology,2019-09-21T23:00:00,320.0,,,,,,,,0.2208,,41.311315,-105.573954,2019,9,21,23
East,Information Technology,2019-09-22T00:00:00,312.0,,,,,,,,0.21528,,41.311315,-105.573954,2019,9,22,0
East,Information Technology,2019-09-22T01:00:00,310.0,,,,,,,,0.21389999999999998,,41.311315,-105.573954,2019,9,22,1
East,Information Technology,2019-09-22T02:00:00,304.0,,,,,,,,0.20976,,41.311315,-105.573954,2019,9,22,2
East,Information Technology,2019-09-22T03:00:00,308.0,,,,,,,,0.21252,,41.311315,-105.573954,2019,9,22,3
East,Information Technology,2019-09-22T04:00:00,306.0,,,,,,,,0.21114,,41.311315,-105.573954,2019,9,22,4
East,Information Technology,2019-09-22T05:00:00,302.0,,,,,,,,0.20837999999999998,,41.311315,-105.573954,2019,9,22,5
East,Information Technology,2019-09-22T06:00:00,306.0,,,,,,,,0.21114,,41.311315,-105.573954,2019,9,22,6
East,Information Technology,2019-09-22T07:00:00,350.0,,,,,,,,0.2415,,41.311315,-105.573954,2019,9,22,7
East,Information Technology,2019-09-22T08:00:00,350.0,,,,,,,,0.2415,,41.311315,-105.573954,2019,9,22,8
East,Information Technology,2019-09-22T09:00:00,338.0,,,,,,,,0.23321999999999998,,41.311315,-105.573954,2019,9,22,9
East,Information Technology,2019-09-22T10:00:00,340.0,,,,,,,,0.23459999999999998,,41.311315,-105.573954,2019,9,22,10
East,Information Technology,2019-09-22T11:00:00,342.0,,,,,,,,0.23598,,41.311315,-105.573954,2019,9,22,11
East,Information Technology,2019-09-22T12:00:00,344.0,,,,,,,,0.23736,,41.311315,-105.573954,2019,9,22,12
East,Information Technology,2019-09-22T13:00:00,358.0,,,,,,,,0.24702,,41.311315,-105.573954,2019,9,22,13
East,Information Technology,2019-09-22T14:00:00,366.0,,,,,,,,0.25254,,41.311315,-105.573954,2019,9,22,14
East,Information Technology,2019-09-22T15:00:00,370.0,,,,,,,,0.25529999999999997,,41.311315,-105.573954,2019,9,22,15
East,Information Technology,2019-09-22T16:00:00,382.0,,,,,,,,0.26358,,41.311315,-105.573954,2019,9,22,16
East,Information Technology,2019-09-22T17:00:00,370.0,,,,,,,,0.25529999999999997,,41.311315,-105.573954,2019,9,22,17
East,Information Technology,2019-09-22T18:00:00,360.0,,,,,,,,0.24839999999999998,,41.311315,-105.573954,2019,9,22,18
East,Information Technology,2019-09-22T19:00:00,338.0,,,,,,,,0.23321999999999998,,41.311315,-105.573954,2019,9,22,19
East,Information Technology,2019-09-22T20:00:00,318.0,,,,,,,,0.21941999999999998,,41.311315,-105.573954,2019,9,22,20
East,Information Technology,2019-09-22T21:00:00,312.0,,,,,,,,0.21528,,41.311315,-105.573954,2019,9,22,21
East,Information Technology,2019-09-22T22:00:00,316.0,,,,,,,,0.21803999999999998,,41.311315,-105.573954,2019,9,22,22
East,Information Technology,2019-09-22T23:00:00,318.0,,,,,,,,0.21941999999999998,,41.311315,-105.573954,2019,9,22,23
East,Information Technology,2019-09-23T00:00:00,322.0,,,,,,,,0.22218,,41.311315,-105.573954,2019,9,23,0
East,Information Technology,2019-09-23T01:00:00,344.0,,,,,,,,0.23736,,41.311315,-105.573954,2019,9,23,1
East,Information Technology,2019-09-23T02:00:00,340.0,,,,,,,,0.23459999999999998,,41.311315,-105.573954,2019,9,23,2
East,Information Technology,2019-09-23T03:00:00,332.0,,,,,,,,0.22907999999999998,,41.311315,-105.573954,2019,9,23,3
East,Information Technology,2019-09-23T04:00:00,348.0,,,,,,,,0.24012,,41.311315,-105.573954,2019,9,23,4
East,Information Technology,2019-09-23T05:00:00,352.0,,,,,,,,0.24287999999999998,,41.311315,-105.573954,2019,9,23,5
East,Information Technology,2019-09-23T06:00:00,352.0,,,,,,,,0.24287999999999998,,41.311315,-105.573954,2019,9,23,6
East,Information Technology,2019-09-23T07:00:00,352.0,,,,,,,,0.24287999999999998,,41.311315,-105.573954,2019,9,23,7
East,Information Technology,2019-09-23T08:00:00,368.0,,,,,,,,0.25392,,41.311315,-105.573954,2019,9,23,8
East,Information Technology,2019-09-23T09:00:00,372.0,,,,,,,,0.25667999999999996,,41.311315,-105.573954,2019,9,23,9
East,Information Technology,2019-09-23T10:00:00,408.0,,,,,,,,0.28152,,41.311315,-105.573954,2019,9,23,10
East,Information Technology,2019-09-23T11:00:00,416.0,,,,,,,,0.28703999999999996,,41.311315,-105.573954,2019,9,23,11
East,Information Technology,2019-09-23T12:00:00,420.0,,200.1953125,,,,,,0.2898,,41.311315,-105.573954,2019,9,23,12
East,Information Technology,2019-09-23T13:00:00,436.0,,,,,,,,0.30084,,41.311315,-105.573954,2019,9,23,13
East,Information Technology,2019-09-23T14:00:00,460.0,,,,,,,,0.31739999999999996,,41.311315,-105.573954,2019,9,23,14
East,Information Technology,2019-09-23T15:00:00,476.0,,,,,,,,0.32844,,41.311315,-105.573954,2019,9,23,15
East,Information Technology,2019-09-23T16:00:00,456.0,,,,,,,,0.31464,,41.311315,-105.573954,2019,9,23,16
East,Information Technology,2019-09-23T17:00:00,440.0,,,,,,,,0.3036,,41.311315,-105.573954,2019,9,23,17
East,Information Technology,2019-09-23T18:00:00,426.0,,,,,,,,0.29394,,41.311315,-105.573954,2019,9,23,18
East,Information Technology,2019-09-23T19:00:00,406.0,,,,,,,,0.28014,,41.311315,-105.573954,2019,9,23,19
East,Information Technology,2019-09-23T20:00:00,392.0,,,,,,,,0.27048,,41.311315,-105.573954,2019,9,23,20
East,Information Technology,2019-09-23T21:00:00,370.0,,400.390625,,,,,,0.25529999999999997,,41.311315,-105.573954,2019,9,23,21
East,Information Technology,2019-09-23T22:00:00,344.0,,,,,,,,0.23736,,41.311315,-105.573954,2019,9,23,22
East,Information Technology,2019-09-23T23:00:00,338.0,,199.70703125,,,,,,0.23321999999999998,,41.311315,-105.573954,2019,9,23,23
East,Information Technology,2019-09-24T00:00:00,340.0,,100.09765625,,,,,,0.23459999999999998,,41.311315,-105.573954,2019,9,24,0
East,Information Technology,2019-09-24T01:00:00,360.0,,300.29296875,,,,,,0.24839999999999998,,41.311315,-105.573954,2019,9,24,1
East,Information Technology,2019-09-24T02:00:00,360.0,,400.390625,,,,,,0.24839999999999998,,41.311315,-105.573954,2019,9,24,2
East,Information Technology,2019-09-24T03:00:00,348.0,,299.8046875,,,,,,0.24012,,41.311315,-105.573954,2019,9,24,3
East,Information Technology,2019-09-24T04:00:00,358.0,,,,,,,,0.24702,,41.311315,-105.573954,2019,9,24,4
East,Information Technology,2019-09-24T05:00:00,368.0,,,,,,,,0.25392,,41.311315,-105.573954,2019,9,24,5
East,Information Technology,2019-09-24T06:00:00,368.0,,,,,,,,0.25392,,41.311315,-105.573954,2019,9,24,6
East,Information Technology,2019-09-24T07:00:00,376.0,,399.90234375,,,,,,0.25944,,41.311315,-105.573954,2019,9,24,7
East,Information Technology,2019-09-24T08:00:00,404.0,,200.1953125,,,,,,0.27876,,41.311315,-105.573954,2019,9,24,8
East,Information Technology,2019-09-24T09:00:00,422.0,,300.29296875,,,,,,0.29118,,41.311315,-105.573954,2019,9,24,9
East,Information Technology,2019-09-24T10:00:00,450.0,,199.70703125,,,,,,0.3105,,41.311315,-105.573954,2019,9,24,10
East,Information Technology,2019-09-24T11:00:00,466.0,,300.29296875,,,,,,0.32154,,41.311315,-105.573954,2019,9,24,11
East,Information Technology,2019-09-24T12:00:00,486.0,,200.1953125,,,,,,0.33533999999999997,,41.311315,-105.573954,2019,9,24,12
East,Information Technology,2019-09-24T13:00:00,482.0,,299.8046875,,,,,,0.33258,,41.311315,-105.573954,2019,9,24,13
East,Information Technology,2019-09-24T14:00:00,486.0,,200.1953125,,,,,,0.33533999999999997,,41.311315,-105.573954,2019,9,24,14
East,Information Technology,2019-09-24T15:00:00,488.0,,200.1953125,,,,,,0.33671999999999996,,41.311315,-105.573954,2019,9,24,15
East,Information Technology,2019-09-24T16:00:00,486.0,,200.1953125,,,,,,0.33533999999999997,,41.311315,-105.573954,2019,9,24,16
East,Information Technology,2019-09-24T17:00:00,452.0,,199.70703125,,,,,,0.31188,,41.311315,-105.573954,2019,9,24,17
East,Information Technology,2019-09-24T18:00:00,442.0,,200.1953125,,,,,,0.30498,,41.311315,-105.573954,2019,9,24,18
East,Information Technology,2019-09-24T19:00:00,410.0,,300.29296875,,,,,,0.2829,,41.311315,-105.573954,2019,9,24,19
East,Information Technology,2019-09-24T20:00:00,384.0,,299.8046875,,,,,,0.26496,,41.311315,-105.573954,2019,9,24,20
East,Information Technology,2019-09-24T21:00:00,370.0,,300.29296875,,,,,,0.25529999999999997,,41.311315,-105.573954,2019,9,24,21
East,Information Technology,2019-09-24T22:00:00,358.0,,,,,,,,0.24702,,41.311315,-105.573954,2019,9,24,22
East,Information Technology,2019-09-24T23:00:00,374.0,,,,,,,,0.25806,,41.311315,-105.573954,2019,9,24,23
East,Information Technology,2019-09-25T00:00:00,362.0,,100.09765625,,,,,,0.24977999999999997,,41.311315,-105.573954,2019,9,25,0
East,Information Technology,2019-09-25T01:00:00,372.0,,199.70703125,,,,,,0.25667999999999996,,41.311315,-105.573954,2019,9,25,1
East,Information Technology,2019-09-25T02:00:00,364.0,,200.1953125,,,,,,0.25116,,41.311315,-105.573954,2019,9,25,2
East,Information Technology,2019-09-25T03:00:00,360.0,,200.1953125,,,,,,0.24839999999999998,,41.311315,-105.573954,2019,9,25,3
East,Information Technology,2019-09-25T04:00:00,364.0,,399.90234375,,,,,,0.25116,,41.311315,-105.573954,2019,9,25,4
East,Information Technology,2019-09-25T05:00:00,360.0,,400.390625,,,,,,0.24839999999999998,,41.311315,-105.573954,2019,9,25,5
