model_type,bldgname,y,preprocessing_method,feature_mode,time_step,rmse,mae,r2,model_file
solos,Stadium,present_elec_kwh,linear regression,standard,1,39.63825873548006,29.673034022728135,0.6045093746528346,./models/solos/stadium_present_elec_kwh_linear_regression_standard_1_model.pkl
solos,Stadium,present_elec_kwh,linear regression,standard,8,28.567626304155343,17.835834392199548,0.7946483986381186,./models/solos/stadium_present_elec_kwh_linear_regression_standard_8_model.pkl
solos,Stadium,present_elec_kwh,linear regression,standard,12,26.861112359375085,16.574663055431095,0.818506523701749,./models/solos/stadium_present_elec_kwh_linear_regression_standard_12_model.pkl
solos,Stadium,present_elec_kwh,linear regression,standard,24,27.02861084449617,17.390555294753113,0.8163197405859511,./models/solos/stadium_present_elec_kwh_linear_regression_standard_24_model.pkl
solos,Stadium,present_elec_kwh,linear regression,feature complete,1,49.246340779139125,35.967204290695,0.6286510889040471,./models/solos/stadium_present_elec_kwh_linear_regression_feature_complete_1_model.pkl
solos,Stadium,present_elec_kwh,linear regression,feature complete,8,36.43062279513946,23.552882242033093,0.7968531284807778,./models/solos/stadium_present_elec_kwh_linear_regression_feature_complete_8_model.pkl
solos,Stadium,present_elec_kwh,linear regression,feature complete,12,57.69057725612993,43.644664749345644,0.49072780339620214,./models/solos/stadium_present_elec_kwh_linear_regression_feature_complete_12_model.pkl
solos,Stadium,present_elec_kwh,linear regression,feature complete,24,73.81104247738445,62.346378592587314,0.16673166759725988,./models/solos/stadium_present_elec_kwh_linear_regression_feature_complete_24_model.pkl
solos,Stadium,present_elec_kwh,linear interpolation,standard,1,39.021279415748545,29.924642103465477,0.6448364043927586,./models/solos/stadium_present_elec_kwh_linear_interpolation_standard_1_model.pkl
solos,Stadium,present_elec_kwh,linear interpolation,standard,8,24.75536674006927,16.087673234936705,0.8571203919241456,./models/solos/stadium_present_elec_kwh_linear_interpolation_standard_8_model.pkl
solos,Stadium,present_elec_kwh,linear interpolation,standard,12,26.125264119149065,16.711139052191083,0.8409252108515449,./models/solos/stadium_present_elec_kwh_linear_interpolation_standard_12_model.pkl
solos,Stadium,present_elec_kwh,linear interpolation,standard,24,24.327597183369,15.974557978893921,0.8621461822628733,./models/solos/stadium_present_elec_kwh_linear_interpolation_standard_24_model.pkl
solos,Stadium,present_elec_kwh,linear interpolation,feature complete,1,49.24213652403516,36.638142878260986,0.6559461866137637,./models/solos/stadium_present_elec_kwh_linear_interpolation_feature_complete_1_model.pkl
solos,Stadium,present_elec_kwh,linear interpolation,feature complete,8,32.75049961383452,21.68383601682021,0.8478771175859225,./models/solos/stadium_present_elec_kwh_linear_interpolation_feature_complete_8_model.pkl
solos,Stadium,present_elec_kwh,linear interpolation,feature complete,12,61.36598900411105,45.366381809054054,0.46609668409478144,./models/solos/stadium_present_elec_kwh_linear_interpolation_feature_complete_12_model.pkl
solos,Stadium,present_elec_kwh,linear interpolation,feature complete,24,76.52738011851936,66.7675854095719,0.1701851115111921,./models/solos/stadium_present_elec_kwh_linear_interpolation_feature_complete_24_model.pkl
solos,Stadium,present_elec_kwh,prophet,standard,1,38.994076067416174,29.08873224075055,0.6241102340505668,./models/solos/stadium_present_elec_kwh_prophet_standard_1_model.pkl
solos,Stadium,present_elec_kwh,prophet,standard,8,27.505722156561493,17.242182306420904,0.81303701681853,./models/solos/stadium_present_elec_kwh_prophet_standard_8_model.pkl
solos,Stadium,present_elec_kwh,prophet,standard,12,25.752697855973302,16.37292471879051,0.8361605254465425,./models/solos/stadium_present_elec_kwh_prophet_standard_12_model.pkl
solos,Stadium,present_elec_kwh,prophet,standard,24,25.6894187239758,16.775564525103313,0.8370395765763472,./models/solos/stadium_present_elec_kwh_prophet_standard_24_model.pkl
