model_type,bldgname,y_column,imputation_method,feature_method,n_feature,updated_n_feature,time_step,datelevel,rmse,mae,mape,model_file,model_data_path,building_file,selected_features_delimited
xgboost,Biological Sciences,present_chll_tonh,lstm,rfecv,1,5,48,hour,2.7033670502148843,1.8227315246704998,0.4766575163982392,./models/xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_lstm_rfecv_1_5_48_hour,./models/imp/Biological_Sciences_Data_Extended_present_chll_tonh_lstm,Biological_Sciences_Data_Extended.csv,temp_c|rel_humidity_%|surface_pressure_hpa|direct_radiation_w/m2|wind_speed_ground_km/h
xgboost,Biological Sciences,present_chll_tonh,linear_interpolation,rfecv,1,4,48,hour,2.7056348394466982,1.8491039239581737,0.4935763652830556,./models/xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_linear_interpolation_rfecv_1_4_48_hour,./models/imp/Biological_Sciences_Data_Extended_present_chll_tonh_linear_interpolation,Biological_Sciences_Data_Extended.csv,temp_c|surface_pressure_hpa|direct_radiation_w/m2|wind_speed_ground_km/h
xgboost,Biological Sciences,present_chll_tonh,linear_regression,lassocv,1,7,48,hour,2.7309191744354058,1.8616639342668595,0.48947506990018597,./models/xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_linear_regression_lassocv_1_7_48_hour,./models/imp/Biological_Sciences_Data_Extended_present_chll_tonh_linear_regression,Biological_Sciences_Data_Extended.csv,temp_c|rel_humidity_%|surface_pressure_hpa|direct_radiation_w/m2|precipitation_mm|wind_speed_ground_km/h|wind_dir_ground_deg
xgboost,Biological Sciences,present_chll_tonh,linear_interpolation,rfecv,0,0,48,hour,2.583047652850008,1.795822030956912,0.5086481818024812,./models/xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_linear_interpolation_rfecv_0_0_48_hour,./models/imp/Biological_Sciences_Data_Extended_present_chll_tonh_linear_interpolation,Biological_Sciences_Data_Extended.csv,
xgboost,Biological Sciences,present_chll_tonh,prophet,rfecv,1,1,48,hour,2.7257921664295317,1.8634201869372835,0.4868426906115509,./models/xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_prophet_rfecv_1_1_48_hour,./models/imp/Biological_Sciences_Data_Extended_present_chll_tonh_prophet,Biological_Sciences_Data_Extended.csv,temp_c
xgboost,Biological Sciences,present_chll_tonh,lstm,rfecv,0,0,48,hour,2.6757444081361546,1.8497889793690798,0.5113491436513404,./models/xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_lstm_rfecv_0_0_48_hour,./models/imp/Biological_Sciences_Data_Extended_present_chll_tonh_lstm,Biological_Sciences_Data_Extended.csv,
xgboost,Biological Sciences,present_chll_tonh,prophet,rfecv,0,0,48,hour,2.596424965893654,1.8293297536256727,0.5310665999583954,./models/xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_prophet_rfecv_0_0_48_hour,./models/imp/Biological_Sciences_Data_Extended_present_chll_tonh_prophet,Biological_Sciences_Data_Extended.csv,
xgboost,Biological Sciences,present_chll_tonh,linear_regression,rfecv,0,0,48,hour,2.93060093661868,2.000185922392715,0.5325934349614988,./models/xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_linear_regression_rfecv_0_0_48_hour,./models/imp/Biological_Sciences_Data_Extended_present_chll_tonh_linear_regression,Biological_Sciences_Data_Extended.csv,
xgboost,Centennial Complex,present_chll_tonh,prophet,lassocv,1,5,48,hour,11.05930558215506,8.675622687153878,0.29342009351931664,./models/xgboost/Centennial_Complex_Data_Extended_present_chll_tonh_prophet_lassocv_1_5_48_hour,./models/imp/Centennial_Complex_Data_Extended_present_chll_tonh_prophet,Centennial_Complex_Data_Extended.csv,temp_c|rel_humidity_%|cloud_cover_%|direct_radiation_w/m2|wind_speed_ground_km/h
xgboost,Centennial Complex,present_chll_tonh,lstm,lassocv,1,5,48,hour,11.225025683212898,8.778637587854854,0.2941941808074114,./models/xgboost/Centennial_Complex_Data_Extended_present_chll_tonh_lstm_lassocv_1_5_48_hour,./models/imp/Centennial_Complex_Data_Extended_present_chll_tonh_lstm,Centennial_Complex_Data_Extended.csv,temp_c|rel_humidity_%|cloud_cover_%|direct_radiation_w/m2|wind_speed_ground_km/h
