model_type,bldgname,y_column,imputation_method,feature_method,n_feature,updated_n_feature,time_step,datelevel,rmse,mae,mape,model_file,model_data_path,building_file,selected_features_delimited
xgboost,Anthropology,present_elec_kwh,zero_fill,rfecv,0,0,24,hour,5.224123477935791,3.5708181858062744,0.08790601044893265,./models/science_xgboost/Anthropology_Data_Extended_present_elec_kwh_zero_fill_rfecv_0_0_24_hour,./models/science_imp/Anthropology_Data_Extended_present_elec_kwh_zero_fill,Anthropology_Data_Extended.csv,
xgboost,Anthropology,present_elec_kwh,zero_fill,rfecv,1,2,24,hour,5.306185245513916,3.898401975631714,0.0966644138097763,./models/science_xgboost/Anthropology_Data_Extended_present_elec_kwh_zero_fill_rfecv_1_2_24_hour,./models/science_imp/Anthropology_Data_Extended_present_elec_kwh_zero_fill,Anthropology_Data_Extended.csv,temp_c|wind_speed_ground_km/h
xgboost,Anthropology,present_elec_kwh,zero_fill,lassocv,1,3,24,hour,5.606324195861816,3.97780704498291,0.09691938757896423,./models/science_xgboost/Anthropology_Data_Extended_present_elec_kwh_zero_fill_lassocv_1_3_24_hour,./models/science_imp/Anthropology_Data_Extended_present_elec_kwh_zero_fill,Anthropology_Data_Extended.csv,temp_c|rel_humidity_%|wind_speed_ground_km/h
xgboost,Anthropology,present_elec_kwh,linear_interpolation,rfecv,0,0,24,hour,4.601991653442383,3.3152711391448975,0.0834599956870079,./models/science_xgboost/Anthropology_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_0_0_24_hour,./models/science_imp/Anthropology_Data_Extended_present_elec_kwh_linear_interpolation,Anthropology_Data_Extended.csv,
xgboost,Anthropology,present_elec_kwh,linear_interpolation,rfecv,1,5,24,hour,4.843926429748535,3.650421619415283,0.09188805520534515,./models/science_xgboost/Anthropology_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_1_5_24_hour,./models/science_imp/Anthropology_Data_Extended_present_elec_kwh_linear_interpolation,Anthropology_Data_Extended.csv,temp_c|rel_humidity_%|surface_pressure_hpa|cloud_cover_%|direct_radiation_w/m2
xgboost,Anthropology,present_elec_kwh,linear_interpolation,lassocv,1,6,24,hour,5.044478893280029,3.992077350616455,0.09971580654382706,./models/science_xgboost/Anthropology_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_1_6_24_hour,./models/science_imp/Anthropology_Data_Extended_present_elec_kwh_linear_interpolation,Anthropology_Data_Extended.csv,temp_c|rel_humidity_%|surface_pressure_hpa|cloud_cover_%|direct_radiation_w/m2|precipitation_mm
xgboost,Anthropology,present_elec_kwh,linear_regression,rfecv,0,0,24,hour,4.698893823891984,3.4208330393206023,0.08604892818243558,./models/science_xgboost/Anthropology_Data_Extended_present_elec_kwh_linear_regression_rfecv_0_0_24_hour,./models/science_imp/Anthropology_Data_Extended_present_elec_kwh_linear_regression,Anthropology_Data_Extended.csv,
xgboost,Anthropology,present_elec_kwh,linear_regression,rfecv,1,5,24,hour,4.903410042893336,3.7412248166303916,0.09394763060253213,./models/science_xgboost/Anthropology_Data_Extended_present_elec_kwh_linear_regression_rfecv_1_5_24_hour,./models/science_imp/Anthropology_Data_Extended_present_elec_kwh_linear_regression,Anthropology_Data_Extended.csv,temp_c|rel_humidity_%|surface_pressure_hpa|cloud_cover_%|direct_radiation_w/m2
xgboost,Anthropology,present_elec_kwh,linear_regression,lassocv,1,8,24,hour,4.749229789105903,3.636779030471165,0.09211067107384856,./models/science_xgboost/Anthropology_Data_Extended_present_elec_kwh_linear_regression_lassocv_1_8_24_hour,./models/science_imp/Anthropology_Data_Extended_present_elec_kwh_linear_regression,Anthropology_Data_Extended.csv,temp_c|rel_humidity_%|surface_pressure_hpa|cloud_cover_%|direct_radiation_w/m2|precipitation_mm|wind_speed_ground_km/h|wind_dir_ground_deg
xgboost,Anthropology,present_elec_kwh,prophet,rfecv,0,0,24,hour,4.766090599514233,3.469792850971959,0.08749936621005674,./models/science_xgboost/Anthropology_Data_Extended_present_elec_kwh_prophet_rfecv_0_0_24_hour,./models/science_imp/Anthropology_Data_Extended_present_elec_kwh_prophet,Anthropology_Data_Extended.csv,
