model_type,bldgname,y_column,imputation_method,feature_method,n_feature,updated_n_feature,time_step,datelevel,rmse,mae,mape,model_file,model_data_path,building_file,selected_features_delimited
xgboost,Arena Auditorium,present_elec_kwh,zero_fill,rfecv,1,1,1,hour,701.9894409179688,530.2476196289062,0.17208348214626312,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_zero_fill_rfecv_1_1_1_hour,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_zero_fill,Arena_Auditorium_Data_Extended.csv,temp_c
xgboost,Arts and Sciences,present_elec_kwh,linear_regression,lassocv,1,3,1,hour,7.110079121373748,5.140487965832057,0.24235636426454593,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_regression_lassocv_1_3_1_hour,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_regression,Arts_and_Sciences_Data_Extended.csv,temp_c|surface_pressure_hpa|direct_radiation_w/m2
xgboost,Aven Nelson,present_elec_kwh,zero_fill,rfecv,1,2,1,hour,6.381661415100098,5.164917945861816,0.3534136414527893,./models/spaces_xgboost/Aven_Nelson_Data_Extended_present_elec_kwh_zero_fill_rfecv_1_2_1_hour,./models/spaces_imp/Aven_Nelson_Data_Extended_present_elec_kwh_zero_fill,Aven_Nelson_Data_Extended.csv,temp_c|direct_radiation_w/m2
xgboost,Biological Sciences,present_elec_kwh,linear_interpolation,rfecv,1,8,1,hour,44.41423770268859,35.20964683727837,0.17817067039535095,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_1_8_1_hour,./models/spaces_imp/Biological_Sciences_Data_Extended_present_elec_kwh_linear_interpolation,Biological_Sciences_Data_Extended.csv,temp_c|rel_humidity_%|surface_pressure_hpa|cloud_cover_%|direct_radiation_w/m2|precipitation_mm|wind_speed_ground_km/h|wind_dir_ground_deg
xgboost,Biological Sciences,present_chll_tonh,linear_interpolation,rfecv,0,0,1,hour,2.382308091003638,1.604550296077101,0.4347699348946985,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_linear_interpolation_rfecv_0_0_1_hour,./models/spaces_imp/Biological_Sciences_Data_Extended_present_chll_tonh_linear_interpolation,Biological_Sciences_Data_Extended.csv,
xgboost,Centennial Complex,present_elec_kwh,prophet,rfecv,1,1,1,hour,0.0064012260134522535,0.004127172167180577,0.03410465694697614,./models/spaces_xgboost/Centennial_Complex_Data_Extended_present_elec_kwh_prophet_rfecv_1_1_1_hour,./models/spaces_imp/Centennial_Complex_Data_Extended_present_elec_kwh_prophet,Centennial_Complex_Data_Extended.csv,direct_radiation_w/m2
xgboost,Centennial Complex,present_chll_tonh,linear_interpolation,rfecv,1,3,1,hour,8.657640244563167,6.829190194863506,0.22903076239766573,./models/spaces_xgboost/Centennial_Complex_Data_Extended_present_chll_tonh_linear_interpolation_rfecv_1_3_1_hour,./models/spaces_imp/Centennial_Complex_Data_Extended_present_chll_tonh_linear_interpolation,Centennial_Complex_Data_Extended.csv,temp_c|rel_humidity_%|direct_radiation_w/m2
xgboost,Cheney Center,present_chll_tonh,linear_interpolation,rfecv,1,2,1,hour,0.5894970573084862,0.4799517803707634,0.35160904805407783,./models/spaces_xgboost/Cheney_Center_Data_Extended_present_chll_tonh_linear_interpolation_rfecv_1_2_1_hour,./models/spaces_imp/Cheney_Center_Data_Extended_present_chll_tonh_linear_interpolation,Cheney_Center_Data_Extended.csv,temp_c|direct_radiation_w/m2
xgboost,Classroom Building,present_elec_kwh,linear_interpolation,rfecv,1,4,1,hour,18.359085712773847,14.635302012640501,0.2242332902368697,./models/spaces_xgboost/Classroom_Building_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_1_4_1_hour,./models/spaces_imp/Classroom_Building_Data_Extended_present_elec_kwh_linear_interpolation,Classroom_Building_Data_Extended.csv,temp_c|rel_humidity_%|cloud_cover_%|direct_radiation_w/m2
xgboost,Coe Library,present_elec_kwh,linear_regression,rfecv,1,5,1,hour,65.3992275509423,50.01617114803124,0.1658274709086067,./models/spaces_xgboost/Coe_Library_Data_Extended_present_elec_kwh_linear_regression_rfecv_1_5_1_hour,./models/spaces_imp/Coe_Library_Data_Extended_present_elec_kwh_linear_regression,Coe_Library_Data_Extended.csv,temp_c|rel_humidity_%|cloud_cover_%|direct_radiation_w/m2|wind_speed_ground_km/h
xgboost,College of Business,present_elec_kwh,zero_fill,rfecv,0,0,1,hour,33.044471740722656,23.941247940063477,0.21755599975585938,./models/spaces_xgboost/College_of_Business_Data_Extended_present_elec_kwh_zero_fill_rfecv_0_0_1_hour,./models/spaces_imp/College_of_Business_Data_Extended_present_elec_kwh_zero_fill,College_of_Business_Data_Extended.csv,
xgboost,College of Education,present_elec_kwh,prophet,rfecv,0,0,1,hour,11.59478850090096,8.439937960900105,0.243685240873944,./models/spaces_xgboost/College_of_Education_Data_Extended_present_elec_kwh_prophet_rfecv_0_0_1_hour,./models/spaces_imp/College_of_Education_Data_Extended_present_elec_kwh_prophet,College_of_Education_Data_Extended.csv,
xgboost,College of Law,present_elec_kwh,prophet,rfecv,1,5,1,hour,16.01851117878216,12.628453359372521,0.23544650144890605,./models/spaces_xgboost/College_of_Law_Data_Extended_present_elec_kwh_prophet_rfecv_1_5_1_hour,./models/spaces_imp/College_of_Law_Data_Extended_present_elec_kwh_prophet,College_of_Law_Data_Extended.csv,temp_c|rel_humidity_%|cloud_cover_%|direct_radiation_w/m2|wind_speed_ground_km/h
xgboost,Corbett,present_elec_kwh,zero_fill,rfecv,0,0,1,hour,7.966986656188965,6.518747806549072,0.11189235746860504,./models/spaces_xgboost/Corbett_Data_Extended_present_elec_kwh_zero_fill_rfecv_0_0_1_hour,./models/spaces_imp/Corbett_Data_Extended_present_elec_kwh_zero_fill,Corbett_Data_Extended.csv,
xgboost,Earth Sciences,present_chll_tonh,lstm,rfecv,0,0,1,hour,1.2338278885203213,0.7707378340757017,0.30474963511257425,./models/spaces_xgboost/Earth_Sciences_Data_Extended_present_chll_tonh_lstm_rfecv_0_0_1_hour,./models/spaces_imp/Earth_Sciences_Data_Extended_present_chll_tonh_lstm,Earth_Sciences_Data_Extended.csv,
xgboost,Education Annex,present_elec_kwh,linear_interpolation,rfecv,1,3,1,hour,8.114775906395668,6.371371797045367,0.3732066901440542,./models/spaces_xgboost/Education_Annex_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_1_3_1_hour,./models/spaces_imp/Education_Annex_Data_Extended_present_elec_kwh_linear_interpolation,Education_Annex_Data_Extended.csv,temp_c|cloud_cover_%|direct_radiation_w/m2
xgboost,Energy Innovation Center,present_elec_kwh,lstm,lassocv,1,4,1,hour,9.747828728927871,6.501636892598229,0.061058522003820136,./models/spaces_xgboost/Energy_Innovation_Center_Data_Extended_present_elec_kwh_lstm_lassocv_1_4_1_hour,./models/spaces_imp/Energy_Innovation_Center_Data_Extended_present_elec_kwh_lstm,Energy_Innovation_Center_Data_Extended.csv,temp_c|surface_pressure_hpa|cloud_cover_%|direct_radiation_w/m2
xgboost,Energy Innovation Center,present_htwt_mmbtuh,linear_regression,rfecv,1,5,1,hour,37.93333981383184,15.125815089069667,164.0830045501022,./models/spaces_xgboost/Energy_Innovation_Center_Data_Extended_present_htwt_mmbtuh_linear_regression_rfecv_1_5_1_hour,./models/spaces_imp/Energy_Innovation_Center_Data_Extended_present_htwt_mmbtuh_linear_regression,Energy_Innovation_Center_Data_Extended.csv,temp_c|rel_humidity_%|surface_pressure_hpa|direct_radiation_w/m2|wind_dir_ground_deg
xgboost,Energy Innovation Center,present_chll_tonh,linear_interpolation,rfecv,1,1,1,hour,0.13427253219471028,0.10597014409839907,0.24123348189989974,./models/spaces_xgboost/Energy_Innovation_Center_Data_Extended_present_chll_tonh_linear_interpolation_rfecv_1_1_1_hour,./models/spaces_imp/Energy_Innovation_Center_Data_Extended_present_chll_tonh_linear_interpolation,Energy_Innovation_Center_Data_Extended.csv,rel_humidity_%
xgboost,Engineering,present_elec_kwh,linear_interpolation,rfecv,0,0,1,hour,55.333115748853544,43.34370814815643,0.18932311524178377,./models/spaces_xgboost/Engineering_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_0_0_1_hour,./models/spaces_imp/Engineering_Data_Extended_present_elec_kwh_linear_interpolation,Engineering_Data_Extended.csv,
xgboost,Enzi-STEM,present_elec_kwh,linear_regression,lassocv,1,8,1,hour,36.15472783781552,28.608658225108794,0.1750177120766185,./models/spaces_xgboost/Enzi-STEM_Data_Extended_present_elec_kwh_linear_regression_lassocv_1_8_1_hour,./models/spaces_imp/Enzi-STEM_Data_Extended_present_elec_kwh_linear_regression,Enzi-STEM_Data_Extended.csv,temp_c|rel_humidity_%|surface_pressure_hpa|cloud_cover_%|direct_radiation_w/m2|precipitation_mm|wind_speed_ground_km/h|wind_dir_ground_deg
xgboost,Fieldhouse,present_elec_kwh,linear_interpolation,rfecv,0,0,1,hour,0.014127052219661953,0.014126373148725436,0.0014126373148725438,./models/spaces_xgboost/Fieldhouse_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_0_0_1_hour,./models/spaces_imp/Fieldhouse_Data_Extended_present_elec_kwh_linear_interpolation,Fieldhouse_Data_Extended.csv,
xgboost,Fine Arts,present_elec_kwh,prophet,rfecv,1,4,1,hour,37.007025617646796,30.243804974078543,0.21009886849654538,./models/spaces_xgboost/Fine_Arts_Data_Extended_present_elec_kwh_prophet_rfecv_1_4_1_hour,./models/spaces_imp/Fine_Arts_Data_Extended_present_elec_kwh_prophet,Fine_Arts_Data_Extended.csv,temp_c|rel_humidity_%|cloud_cover_%|direct_radiation_w/m2
