model_type,bldgname,y_column,imputation_method,feature_method,n_feature,updated_n_feature,time_step,datelevel,rmse,mae,mape,model_file,model_data_path,building_file,selected_features_delimited
xgboost,Arena Auditorium,present_elec_kwh,zero_fill,rfecv,0,0,12,month,1040926.0625,959315.6875,0.4377979636192322,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_zero_fill_rfecv_0_0_12_month,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_zero_fill,Arena_Auditorium_Data_Extended.csv,
xgboost,Arena Auditorium,present_elec_kwh,linear_interpolation,rfecv,0,0,12,month,1017630.6351567986,968035.4846103673,0.4357186672022226,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_0_0_12_month,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_interpolation,Arena_Auditorium_Data_Extended.csv,
xgboost,Arena Auditorium,present_elec_kwh,linear_regression,rfecv,0,0,12,month,948221.0301857829,896672.5255415367,0.40543379427270904,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_regression_rfecv_0_0_12_month,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_linear_regression,Arena_Auditorium_Data_Extended.csv,
xgboost,Arena Auditorium,present_elec_kwh,prophet,rfecv,0,0,12,month,962501.7267233721,914131.8038230672,0.41032854094861665,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_prophet_rfecv_0_0_12_month,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_prophet,Arena_Auditorium_Data_Extended.csv,
xgboost,Arena Auditorium,present_elec_kwh,lstm,rfecv,0,0,12,month,6006408.556566018,3944217.8086111885,1.743030688591632,./models/spaces_xgboost/Arena_Auditorium_Data_Extended_present_elec_kwh_lstm_rfecv_0_0_12_month,./models/spaces_imp/Arena_Auditorium_Data_Extended_present_elec_kwh_lstm,Arena_Auditorium_Data_Extended.csv,
xgboost,Arts and Sciences,present_elec_kwh,zero_fill,rfecv,0,0,12,month,2091.792724609375,1514.314697265625,0.09062235057353973,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_zero_fill_rfecv_0_0_12_month,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_zero_fill,Arts_and_Sciences_Data_Extended.csv,
xgboost,Arts and Sciences,present_elec_kwh,linear_interpolation,rfecv,0,0,12,month,2119.535085000817,1543.111049107143,0.09239509384768588,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_0_0_12_month,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_interpolation,Arts_and_Sciences_Data_Extended.csv,
xgboost,Arts and Sciences,present_elec_kwh,linear_regression,rfecv,0,0,12,month,2072.67596014521,1500.1293616286964,0.0899942602703705,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_regression_rfecv_0_0_12_month,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_regression,Arts_and_Sciences_Data_Extended.csv,
xgboost,Arts and Sciences,present_elec_kwh,prophet,rfecv,0,0,12,month,2099.8154383525853,1523.7833361534394,0.09130775785170805,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_prophet_rfecv_0_0_12_month,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_prophet,Arts_and_Sciences_Data_Extended.csv,
xgboost,Arts and Sciences,present_elec_kwh,lstm,rfecv,0,0,12,month,2112.214438303306,1533.2730690411158,0.09179321966081354,./models/spaces_xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_lstm_rfecv_0_0_12_month,./models/spaces_imp/Arts_and_Sciences_Data_Extended_present_elec_kwh_lstm,Arts_and_Sciences_Data_Extended.csv,
xgboost,Aven Nelson,present_elec_kwh,zero_fill,rfecv,0,0,12,month,4558.9697265625,3397.379150390625,0.24961109459400177,./models/spaces_xgboost/Aven_Nelson_Data_Extended_present_elec_kwh_zero_fill_rfecv_0_0_12_month,./models/spaces_imp/Aven_Nelson_Data_Extended_present_elec_kwh_zero_fill,Aven_Nelson_Data_Extended.csv,
xgboost,Aven Nelson,present_elec_kwh,zero_fill,rfecv,1,1,12,month,3604.390380859375,2789.169189453125,0.20422227680683136,./models/spaces_xgboost/Aven_Nelson_Data_Extended_present_elec_kwh_zero_fill_rfecv_1_1_12_month,./models/spaces_imp/Aven_Nelson_Data_Extended_present_elec_kwh_zero_fill,Aven_Nelson_Data_Extended.csv,rel_humidity_%
xgboost,Aven Nelson,present_elec_kwh,linear_interpolation,rfecv,0,0,12,month,663.4094912770684,491.412109375,0.03679137806265432,./models/spaces_xgboost/Aven_Nelson_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_0_0_12_month,./models/spaces_imp/Aven_Nelson_Data_Extended_present_elec_kwh_linear_interpolation,Aven_Nelson_Data_Extended.csv,
xgboost,Aven Nelson,present_elec_kwh,linear_interpolation,rfecv,1,2,12,month,760.9494470312732,587.1745256696429,0.04389905298349396,./models/spaces_xgboost/Aven_Nelson_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_1_2_12_month,./models/spaces_imp/Aven_Nelson_Data_Extended_present_elec_kwh_linear_interpolation,Aven_Nelson_Data_Extended.csv,temp_c|surface_pressure_hpa
xgboost,Aven Nelson,present_elec_kwh,linear_regression,rfecv,0,0,12,month,637.4599899723282,468.1650613448055,0.034925468499819985,./models/spaces_xgboost/Aven_Nelson_Data_Extended_present_elec_kwh_linear_regression_rfecv_0_0_12_month,./models/spaces_imp/Aven_Nelson_Data_Extended_present_elec_kwh_linear_regression,Aven_Nelson_Data_Extended.csv,
xgboost,Aven Nelson,present_elec_kwh,linear_regression,rfecv,1,2,12,month,652.4364696526949,496.85828121087695,0.03704888173942467,./models/spaces_xgboost/Aven_Nelson_Data_Extended_present_elec_kwh_linear_regression_rfecv_1_2_12_month,./models/spaces_imp/Aven_Nelson_Data_Extended_present_elec_kwh_linear_regression,Aven_Nelson_Data_Extended.csv,surface_pressure_hpa|wind_speed_ground_km/h
xgboost,Aven Nelson,present_elec_kwh,prophet,rfecv,0,0,12,month,742.092600174572,624.9834052817254,0.045378210063102886,./models/spaces_xgboost/Aven_Nelson_Data_Extended_present_elec_kwh_prophet_rfecv_0_0_12_month,./models/spaces_imp/Aven_Nelson_Data_Extended_present_elec_kwh_prophet,Aven_Nelson_Data_Extended.csv,
xgboost,Aven Nelson,present_elec_kwh,prophet,rfecv,1,8,12,month,770.1028945197974,679.2014326851507,0.049383058854643565,./models/spaces_xgboost/Aven_Nelson_Data_Extended_present_elec_kwh_prophet_rfecv_1_8_12_month,./models/spaces_imp/Aven_Nelson_Data_Extended_present_elec_kwh_prophet,Aven_Nelson_Data_Extended.csv,temp_c|rel_humidity_%|surface_pressure_hpa|cloud_cover_%|direct_radiation_w/m2|precipitation_mm|wind_speed_ground_km/h|wind_dir_ground_deg
xgboost,Aven Nelson,present_elec_kwh,lstm,rfecv,0,0,12,month,672.7118731589934,490.9006130354745,0.0368143296845977,./models/spaces_xgboost/Aven_Nelson_Data_Extended_present_elec_kwh_lstm_rfecv_0_0_12_month,./models/spaces_imp/Aven_Nelson_Data_Extended_present_elec_kwh_lstm,Aven_Nelson_Data_Extended.csv,
xgboost,Aven Nelson,present_elec_kwh,lstm,lassocv,1,3,12,month,748.7527406076424,546.1432888167245,0.04095958782804233,./models/spaces_xgboost/Aven_Nelson_Data_Extended_present_elec_kwh_lstm_lassocv_1_3_12_month,./models/spaces_imp/Aven_Nelson_Data_Extended_present_elec_kwh_lstm,Aven_Nelson_Data_Extended.csv,surface_pressure_hpa|cloud_cover_%|wind_speed_ground_km/h
xgboost,Biological Sciences,present_elec_kwh,zero_fill,rfecv,0,0,12,month,12507.1025390625,10175.1806640625,0.07103744894266129,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_elec_kwh_zero_fill_rfecv_0_0_12_month,./models/spaces_imp/Biological_Sciences_Data_Extended_present_elec_kwh_zero_fill,Biological_Sciences_Data_Extended.csv,
xgboost,Biological Sciences,present_elec_kwh,linear_interpolation,rfecv,0,0,12,month,8508.33855239527,6327.837053571428,0.04029087525726233,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_0_0_12_month,./models/spaces_imp/Biological_Sciences_Data_Extended_present_elec_kwh_linear_interpolation,Biological_Sciences_Data_Extended.csv,
xgboost,Biological Sciences,present_elec_kwh,linear_regression,rfecv,0,0,12,month,8379.976194385878,5867.73158072114,0.03708565870260525,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_elec_kwh_linear_regression_rfecv_0_0_12_month,./models/spaces_imp/Biological_Sciences_Data_Extended_present_elec_kwh_linear_regression,Biological_Sciences_Data_Extended.csv,
xgboost,Biological Sciences,present_elec_kwh,prophet,rfecv,0,0,12,month,8377.311722543554,6004.706434764516,0.03796185502520406,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_elec_kwh_prophet_rfecv_0_0_12_month,./models/spaces_imp/Biological_Sciences_Data_Extended_present_elec_kwh_prophet,Biological_Sciences_Data_Extended.csv,
xgboost,Biological Sciences,present_elec_kwh,lstm,rfecv,0,0,12,month,8361.575851152587,5855.052171979632,0.03693892672516264,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_elec_kwh_lstm_rfecv_0_0_12_month,./models/spaces_imp/Biological_Sciences_Data_Extended_present_elec_kwh_lstm,Biological_Sciences_Data_Extended.csv,
xgboost,Biological Sciences,present_chll_tonh,zero_fill,rfecv,0,0,12,month,744.5258178710938,497.41461181640625,0.15822044014930725,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_zero_fill_rfecv_0_0_12_month,./models/spaces_imp/Biological_Sciences_Data_Extended_present_chll_tonh_zero_fill,Biological_Sciences_Data_Extended.csv,
xgboost,Biological Sciences,present_chll_tonh,zero_fill,rfecv,1,1,12,month,744.2959594726562,493.0604553222656,0.15634392201900482,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_zero_fill_rfecv_1_1_12_month,./models/spaces_imp/Biological_Sciences_Data_Extended_present_chll_tonh_zero_fill,Biological_Sciences_Data_Extended.csv,temp_c
xgboost,Biological Sciences,present_chll_tonh,linear_interpolation,rfecv,0,0,12,month,2125.5509573863783,1630.2402866908483,0.4338624704578336,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_linear_interpolation_rfecv_0_0_12_month,./models/spaces_imp/Biological_Sciences_Data_Extended_present_chll_tonh_linear_interpolation,Biological_Sciences_Data_Extended.csv,
xgboost,Biological Sciences,present_chll_tonh,linear_interpolation,rfecv,1,1,12,month,2094.8872299158725,1565.7392752511162,0.40644322277949263,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_linear_interpolation_rfecv_1_1_12_month,./models/spaces_imp/Biological_Sciences_Data_Extended_present_chll_tonh_linear_interpolation,Biological_Sciences_Data_Extended.csv,temp_c
xgboost,Biological Sciences,present_chll_tonh,linear_interpolation,lassocv,1,4,12,month,2110.9585759832667,1597.989780970982,0.42041355230943245,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_linear_interpolation_lassocv_1_4_12_month,./models/spaces_imp/Biological_Sciences_Data_Extended_present_chll_tonh_linear_interpolation,Biological_Sciences_Data_Extended.csv,temp_c|surface_pressure_hpa|direct_radiation_w/m2|precipitation_mm
xgboost,Biological Sciences,present_chll_tonh,linear_regression,rfecv,0,0,12,month,1174.874836638246,867.7708107660676,0.2533795683260177,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_linear_regression_rfecv_0_0_12_month,./models/spaces_imp/Biological_Sciences_Data_Extended_present_chll_tonh_linear_regression,Biological_Sciences_Data_Extended.csv,
xgboost,Biological Sciences,present_chll_tonh,linear_regression,rfecv,1,1,12,month,1166.2712659607237,840.8188018374962,0.2419609019321972,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_linear_regression_rfecv_1_1_12_month,./models/spaces_imp/Biological_Sciences_Data_Extended_present_chll_tonh_linear_regression,Biological_Sciences_Data_Extended.csv,temp_c
xgboost,Biological Sciences,present_chll_tonh,prophet,rfecv,0,0,12,month,1523.823963950254,1130.754507387653,0.3150438419846423,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_prophet_rfecv_0_0_12_month,./models/spaces_imp/Biological_Sciences_Data_Extended_present_chll_tonh_prophet,Biological_Sciences_Data_Extended.csv,
xgboost,Biological Sciences,present_chll_tonh,prophet,rfecv,1,1,12,month,1507.8441404541743,1084.9026658697956,0.2955738143429757,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_prophet_rfecv_1_1_12_month,./models/spaces_imp/Biological_Sciences_Data_Extended_present_chll_tonh_prophet,Biological_Sciences_Data_Extended.csv,temp_c
xgboost,Biological Sciences,present_chll_tonh,lstm,rfecv,0,0,12,month,1389.5737072230736,1039.1849178842135,0.2969561619503288,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_lstm_rfecv_0_0_12_month,./models/spaces_imp/Biological_Sciences_Data_Extended_present_chll_tonh_lstm,Biological_Sciences_Data_Extended.csv,
xgboost,Biological Sciences,present_chll_tonh,lstm,rfecv,1,1,12,month,1377.155211347699,1005.4241408194814,0.28261238061459254,./models/spaces_xgboost/Biological_Sciences_Data_Extended_present_chll_tonh_lstm_rfecv_1_1_12_month,./models/spaces_imp/Biological_Sciences_Data_Extended_present_chll_tonh_lstm,Biological_Sciences_Data_Extended.csv,temp_c
xgboost,Centennial Complex,present_elec_kwh,zero_fill,rfecv,0,0,12,month,12.517942428588867,11.603073120117188,0.1340722143650055,./models/spaces_xgboost/Centennial_Complex_Data_Extended_present_elec_kwh_zero_fill_rfecv_0_0_12_month,./models/spaces_imp/Centennial_Complex_Data_Extended_present_elec_kwh_zero_fill,Centennial_Complex_Data_Extended.csv,
xgboost,Centennial Complex,present_elec_kwh,linear_interpolation,rfecv,0,0,12,month,6.3885753554467195,3.9712202776226713,0.043152410058365794,./models/spaces_xgboost/Centennial_Complex_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_0_0_12_month,./models/spaces_imp/Centennial_Complex_Data_Extended_present_elec_kwh_linear_interpolation,Centennial_Complex_Data_Extended.csv,
xgboost,Centennial Complex,present_elec_kwh,linear_interpolation,rfecv,1,3,12,month,6.413224827314023,4.109765722656154,0.04479008243077542,./models/spaces_xgboost/Centennial_Complex_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_1_3_12_month,./models/spaces_imp/Centennial_Complex_Data_Extended_present_elec_kwh_linear_interpolation,Centennial_Complex_Data_Extended.csv,temp_c|rel_humidity_%|surface_pressure_hpa
xgboost,Centennial Complex,present_elec_kwh,linear_regression,rfecv,0,0,12,month,5.118273458859848,3.4366130304001863,0.038663583952566236,./models/spaces_xgboost/Centennial_Complex_Data_Extended_present_elec_kwh_linear_regression_rfecv_0_0_12_month,./models/spaces_imp/Centennial_Complex_Data_Extended_present_elec_kwh_linear_regression,Centennial_Complex_Data_Extended.csv,
xgboost,Centennial Complex,present_elec_kwh,prophet,rfecv,0,0,12,month,5.927874723216888,3.764473146855166,0.04162325212215018,./models/spaces_xgboost/Centennial_Complex_Data_Extended_present_elec_kwh_prophet_rfecv_0_0_12_month,./models/spaces_imp/Centennial_Complex_Data_Extended_present_elec_kwh_prophet,Centennial_Complex_Data_Extended.csv,
xgboost,Centennial Complex,present_elec_kwh,lstm,rfecv,0,0,12,month,5.754867917578557,3.6473515329960313,0.040432110850301725,./models/spaces_xgboost/Centennial_Complex_Data_Extended_present_elec_kwh_lstm_rfecv_0_0_12_month,./models/spaces_imp/Centennial_Complex_Data_Extended_present_elec_kwh_lstm,Centennial_Complex_Data_Extended.csv,
xgboost,Centennial Complex,present_elec_kwh,lstm,rfecv,1,1,12,month,5.7664477768228855,3.6820472945403955,0.04084108604167532,./models/spaces_xgboost/Centennial_Complex_Data_Extended_present_elec_kwh_lstm_rfecv_1_1_12_month,./models/spaces_imp/Centennial_Complex_Data_Extended_present_elec_kwh_lstm,Centennial_Complex_Data_Extended.csv,surface_pressure_hpa
xgboost,Centennial Complex,present_chll_tonh,zero_fill,rfecv,0,0,12,month,3893.157958984375,3210.650390625,0.14773860573768616,./models/spaces_xgboost/Centennial_Complex_Data_Extended_present_chll_tonh_zero_fill_rfecv_0_0_12_month,./models/spaces_imp/Centennial_Complex_Data_Extended_present_chll_tonh_zero_fill,Centennial_Complex_Data_Extended.csv,
xgboost,Centennial Complex,present_chll_tonh,zero_fill,rfecv,1,1,12,month,3931.37109375,3255.526611328125,0.14970619976520538,./models/spaces_xgboost/Centennial_Complex_Data_Extended_present_chll_tonh_zero_fill_rfecv_1_1_12_month,./models/spaces_imp/Centennial_Complex_Data_Extended_present_chll_tonh_zero_fill,Centennial_Complex_Data_Extended.csv,direct_radiation_w/m2
xgboost,Centennial Complex,present_chll_tonh,linear_interpolation,rfecv,0,0,12,month,7285.621515900668,6346.140764508928,0.25413447347608675,./models/spaces_xgboost/Centennial_Complex_Data_Extended_present_chll_tonh_linear_interpolation_rfecv_0_0_12_month,./models/spaces_imp/Centennial_Complex_Data_Extended_present_chll_tonh_linear_interpolation,Centennial_Complex_Data_Extended.csv,
xgboost,Centennial Complex,present_chll_tonh,linear_regression,rfecv,0,0,12,month,5272.5792722018,4724.120532140862,0.19425041435445145,./models/spaces_xgboost/Centennial_Complex_Data_Extended_present_chll_tonh_linear_regression_rfecv_0_0_12_month,./models/spaces_imp/Centennial_Complex_Data_Extended_present_chll_tonh_linear_regression,Centennial_Complex_Data_Extended.csv,
xgboost,Centennial Complex,present_chll_tonh,prophet,rfecv,0,0,12,month,6570.325285104327,5768.421289404451,0.23127055991344309,./models/spaces_xgboost/Centennial_Complex_Data_Extended_present_chll_tonh_prophet_rfecv_0_0_12_month,./models/spaces_imp/Centennial_Complex_Data_Extended_present_chll_tonh_prophet,Centennial_Complex_Data_Extended.csv,
xgboost,Centennial Complex,present_chll_tonh,lstm,rfecv,0,0,12,month,6745.742784746866,5963.719555105482,0.24048264135551678,./models/spaces_xgboost/Centennial_Complex_Data_Extended_present_chll_tonh_lstm_rfecv_0_0_12_month,./models/spaces_imp/Centennial_Complex_Data_Extended_present_chll_tonh_lstm,Centennial_Complex_Data_Extended.csv,
xgboost,Cheney Center,present_chll_tonh,zero_fill,rfecv,0,0,12,month,381.1025390625,313.72064208984375,0.405441015958786,./models/spaces_xgboost/Cheney_Center_Data_Extended_present_chll_tonh_zero_fill_rfecv_0_0_12_month,./models/spaces_imp/Cheney_Center_Data_Extended_present_chll_tonh_zero_fill,Cheney_Center_Data_Extended.csv,
xgboost,Cheney Center,present_chll_tonh,zero_fill,rfecv,1,1,12,month,316.38189697265625,262.222900390625,0.36725690960884094,./models/spaces_xgboost/Cheney_Center_Data_Extended_present_chll_tonh_zero_fill_rfecv_1_1_12_month,./models/spaces_imp/Cheney_Center_Data_Extended_present_chll_tonh_zero_fill,Cheney_Center_Data_Extended.csv,temp_c
xgboost,Cheney Center,present_chll_tonh,linear_interpolation,rfecv,0,0,12,month,137.40055229090882,109.96542794363839,0.08861100323560564,./models/spaces_xgboost/Cheney_Center_Data_Extended_present_chll_tonh_linear_interpolation_rfecv_0_0_12_month,./models/spaces_imp/Cheney_Center_Data_Extended_present_chll_tonh_linear_interpolation,Cheney_Center_Data_Extended.csv,
xgboost,Cheney Center,present_chll_tonh,linear_regression,rfecv,0,0,12,month,143.85237384156423,105.6898155908634,0.08452564166190062,./models/spaces_xgboost/Cheney_Center_Data_Extended_present_chll_tonh_linear_regression_rfecv_0_0_12_month,./models/spaces_imp/Cheney_Center_Data_Extended_present_chll_tonh_linear_regression,Cheney_Center_Data_Extended.csv,
xgboost,Cheney Center,present_chll_tonh,linear_regression,rfecv,1,1,12,month,131.02780272062563,98.99520935481429,0.07977403594272714,./models/spaces_xgboost/Cheney_Center_Data_Extended_present_chll_tonh_linear_regression_rfecv_1_1_12_month,./models/spaces_imp/Cheney_Center_Data_Extended_present_chll_tonh_linear_regression,Cheney_Center_Data_Extended.csv,surface_pressure_hpa
xgboost,Cheney Center,present_chll_tonh,linear_regression,lassocv,1,1,12,month,121.76181941461807,92.30060311876518,0.07470455004489077,./models/spaces_xgboost/Cheney_Center_Data_Extended_present_chll_tonh_linear_regression_lassocv_1_1_12_month,./models/spaces_imp/Cheney_Center_Data_Extended_present_chll_tonh_linear_regression,Cheney_Center_Data_Extended.csv,wind_dir_ground_deg
xgboost,Cheney Center,present_chll_tonh,prophet,rfecv,0,0,12,month,151.30517391593028,108.3458053641073,0.08562170642847418,./models/spaces_xgboost/Cheney_Center_Data_Extended_present_chll_tonh_prophet_rfecv_0_0_12_month,./models/spaces_imp/Cheney_Center_Data_Extended_present_chll_tonh_prophet,Cheney_Center_Data_Extended.csv,
xgboost,Cheney Center,present_chll_tonh,lstm,rfecv,0,0,12,month,175.73446652123087,133.91592524732863,0.11095639478214783,./models/spaces_xgboost/Cheney_Center_Data_Extended_present_chll_tonh_lstm_rfecv_0_0_12_month,./models/spaces_imp/Cheney_Center_Data_Extended_present_chll_tonh_lstm,Cheney_Center_Data_Extended.csv,
xgboost,Classroom Building,present_elec_kwh,zero_fill,rfecv,0,0,12,month,12360.6328125,8771.2724609375,0.17793723940849304,./models/spaces_xgboost/Classroom_Building_Data_Extended_present_elec_kwh_zero_fill_rfecv_0_0_12_month,./models/spaces_imp/Classroom_Building_Data_Extended_present_elec_kwh_zero_fill,Classroom_Building_Data_Extended.csv,
