model_type,bldgname,y_column,imputation_method,feature_method,n_feature,updated_n_feature,time_step,datelevel,rmse,mae,mape,model_file,model_data_path,building_file
ensembles,Physical Science,present_elec_kwh,linear_regression,lassocv,5,5,24,hour,44.14366389923664,36.82828709925241,0.1356197105048769,./models/ensembles/Physical_Science_Data_Extended_present_elec_kwh_linear_regression_lassocv_5_5_24_hour,./models/tmp/Physical_Science_Data_Extended_present_elec_kwh_linear_regression,Physical_Science_Data_Extended.csv
ensembles,Student Union,present_elec_kwh,lstm,lassocv,2,2,24,hour,40.76077862999391,34.08611628303508,0.32452216752666474,./models/ensembles/Student_Union_Data_Extended_present_elec_kwh_lstm_lassocv_2_2_24_hour,./models/tmp/Student_Union_Data_Extended_present_elec_kwh_lstm,Student_Union_Data_Extended.csv
xgboost,Energy Innovation Center,present_elec_kwh,prophet,lassocv,7,4,24,hour,6.0078909943242405,4.540727712317223,0.042921871039120776,./models/xgboost/Energy_Innovation_Center_Data_Extended_present_elec_kwh_prophet_lassocv_7_4_24_hour,./models/tmp/Energy_Innovation_Center_Data_Extended_present_elec_kwh_prophet,Energy_Innovation_Center_Data_Extended.csv
xgboost,Engineering,present_elec_kwh,prophet,lassocv,5,5,24,hour,30.97400138426567,23.503116323528502,0.09758629719996219,./models/xgboost/Engineering_Data_Extended_present_elec_kwh_prophet_lassocv_5_5_24_hour,./models/tmp/Engineering_Data_Extended_present_elec_kwh_prophet,Engineering_Data_Extended.csv
ensembles,Education Annex,present_elec_kwh,prophet,rfecv,1,1,24,hour,6.403951563874031,4.990438864461812,0.2879429067465531,./models/ensembles/Education_Annex_Data_Extended_present_elec_kwh_prophet_rfecv_1_1_24_hour,./models/tmp/Education_Annex_Data_Extended_present_elec_kwh_prophet,Education_Annex_Data_Extended.csv
ensembles,Half Acre Gym,present_elec_kwh,linear_regression,rfecv,3,3,24,hour,40.930538077403426,35.3654561541946,0.592736469507446,./models/ensembles/Half_Acre_Gym_Data_Extended_present_elec_kwh_linear_regression_rfecv_3_3_24_hour,./models/tmp/Half_Acre_Gym_Data_Extended_present_elec_kwh_linear_regression,Half_Acre_Gym_Data_Extended.csv
ensembles,Information Technology,present_elec_kwh,prophet,lassocv,2,2,24,hour,69.6868442628403,56.143485217122574,0.13788655519237114,./models/ensembles/Information_Technology_Data_Extended_present_elec_kwh_prophet_lassocv_2_2_24_hour,./models/tmp/Information_Technology_Data_Extended_present_elec_kwh_prophet,Information_Technology_Data_Extended.csv
xgboost,Education Annex,present_elec_kwh,linear_regression,lassocv,7,4,24,hour,6.642377145558654,5.080333542062115,0.2948815534357218,./models/xgboost/Education_Annex_Data_Extended_present_elec_kwh_linear_regression_lassocv_7_4_24_hour,./models/tmp/Education_Annex_Data_Extended_present_elec_kwh_linear_regression,Education_Annex_Data_Extended.csv
xgboost,Centennial Complex,present_elec_kwh,prophet,rfecv,4,1,24,hour,0.011988488597489,0.006995485424808422,0.05867998574650587,./models/xgboost/Centennial_Complex_Data_Extended_present_elec_kwh_prophet_rfecv_4_1_24_hour,./models/tmp/Centennial_Complex_Data_Extended_present_elec_kwh_prophet,Centennial_Complex_Data_Extended.csv
xgboost,Education Annex,present_elec_kwh,linear_regression,rfecv,5,3,24,hour,6.655606710374534,5.087321306074476,0.29704297754420755,./models/xgboost/Education_Annex_Data_Extended_present_elec_kwh_linear_regression_rfecv_5_3_24_hour,./models/tmp/Education_Annex_Data_Extended_present_elec_kwh_linear_regression,Education_Annex_Data_Extended.csv
solos,Centennial Complex,present_chll_tonhr,lstm,lassocv,6,4,24,hour,8.47753348843939,5.75779547886257,0.16143000650181055,./models/solos/Centennial_Complex_Data_Extended_present_chll_tonhr_lstm_lassocv_6_4_24_hour,./models/tmp/Centennial_Complex_Data_Extended_present_chll_tonhr_lstm,Centennial_Complex_Data_Extended.csv
ensembles,Physical Science,present_elec_kwh,prophet,lassocv,3,3,24,hour,43.38390841205707,36.50080941469221,0.13329149927461934,./models/ensembles/Physical_Science_Data_Extended_present_elec_kwh_prophet_lassocv_3_3_24_hour,./models/tmp/Physical_Science_Data_Extended_present_elec_kwh_prophet,Physical_Science_Data_Extended.csv
ensembles,Physical Science,present_chll_tonhr,linear_regression,rfecv,6,4,24,hour,3.4330755339157317,2.039008449702687,0.3021545811704246,./models/ensembles/Physical_Science_Data_Extended_present_chll_tonhr_linear_regression_rfecv_6_4_24_hour,./models/tmp/Physical_Science_Data_Extended_present_chll_tonhr_linear_regression,Physical_Science_Data_Extended.csv
ensembles,Energy Innovation Center,present_elec_kwh,linear_regression,lassocv,4,4,24,hour,11.661872263557019,9.748841752340718,0.09682064154527717,./models/ensembles/Energy_Innovation_Center_Data_Extended_present_elec_kwh_linear_regression_lassocv_4_4_24_hour,./models/tmp/Energy_Innovation_Center_Data_Extended_present_elec_kwh_linear_regression,Energy_Innovation_Center_Data_Extended.csv
solos,Service Building,present_elec_kwh,linear_interpolation,lassocv,3,3,24,hour,12.469810190007026,10.602714291169171,0.54225022907444,./models/solos/Service_Building_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_3_3_24_hour,./models/tmp/Service_Building_Data_Extended_present_elec_kwh_linear_interpolation,Service_Building_Data_Extended.csv
xgboost,Visual Arts,present_elec_kwh,lstm,lassocv,4,4,24,hour,9.973815584055357,7.651588372274936,0.10732450901463021,./models/xgboost/Visual_Arts_Data_Extended_present_elec_kwh_lstm_lassocv_4_4_24_hour,./models/tmp/Visual_Arts_Data_Extended_present_elec_kwh_lstm,Visual_Arts_Data_Extended.csv
ensembles,High Bay,present_elec_kwh,lstm,lassocv,6,5,24,hour,20.193691619751203,17.526130281380276,0.07894556906143306,./models/ensembles/High_Bay_Data_Extended_present_elec_kwh_lstm_lassocv_6_5_24_hour,./models/tmp/High_Bay_Data_Extended_present_elec_kwh_lstm,High_Bay_Data_Extended.csv
ensembles,Visual Arts,present_elec_kwh,linear_interpolation,lassocv,1,1,24,hour,15.771749351888117,12.844855457423158,0.18897314915174673,./models/ensembles/Visual_Arts_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_1_1_24_hour,./models/tmp/Visual_Arts_Data_Extended_present_elec_kwh_linear_interpolation,Visual_Arts_Data_Extended.csv
solos,Arts and Sciences,present_elec_kwh,lstm,rfecv,7,1,24,hour,5.4342213525383825,4.239672732743795,0.2064114326000216,./models/solos/Arts_and_Sciences_Data_Extended_present_elec_kwh_lstm_rfecv_7_1_24_hour,./models/tmp/Arts_and_Sciences_Data_Extended_present_elec_kwh_lstm,Arts_and_Sciences_Data_Extended.csv
ensembles,Stadium,present_elec_kwh,linear_regression,lassocv,3,3,24,hour,27.578386362137564,18.6483181463337,0.14775792165021745,./models/ensembles/Stadium_Data_Extended_present_elec_kwh_linear_regression_lassocv_3_3_24_hour,./models/tmp/Stadium_Data_Extended_present_elec_kwh_linear_regression,Stadium_Data_Extended.csv
xgboost,High Bay,present_elec_kwh,prophet,rfecv,4,4,24,hour,19.825566380344487,15.758007043844897,0.07114990961970835,./models/xgboost/High_Bay_Data_Extended_present_elec_kwh_prophet_rfecv_4_4_24_hour,./models/tmp/High_Bay_Data_Extended_present_elec_kwh_prophet,High_Bay_Data_Extended.csv
xgboost,Engineering,present_elec_kwh,lstm,rfecv,3,3,24,hour,31.52218417277098,23.793761605506088,0.09916005418180648,./models/xgboost/Engineering_Data_Extended_present_elec_kwh_lstm_rfecv_3_3_24_hour,./models/tmp/Engineering_Data_Extended_present_elec_kwh_lstm,Engineering_Data_Extended.csv
xgboost,Visual Arts,present_elec_kwh,linear_regression,lassocv,2,2,24,hour,10.066092241165768,7.752001977372152,0.10832405382124807,./models/xgboost/Visual_Arts_Data_Extended_present_elec_kwh_linear_regression_lassocv_2_2_24_hour,./models/tmp/Visual_Arts_Data_Extended_present_elec_kwh_linear_regression,Visual_Arts_Data_Extended.csv
ensembles,Visual Arts,present_elec_kwh,prophet,lassocv,4,4,24,hour,15.759892449269243,12.804428448221287,0.1877451522816759,./models/ensembles/Visual_Arts_Data_Extended_present_elec_kwh_prophet_lassocv_4_4_24_hour,./models/tmp/Visual_Arts_Data_Extended_present_elec_kwh_prophet,Visual_Arts_Data_Extended.csv
solos,Coe Library,present_elec_kwh,linear_regression,lassocv,6,6,24,hour,26.1737983366841,19.99378201898748,0.06416706092133376,./models/solos/Coe_Library_Data_Extended_present_elec_kwh_linear_regression_lassocv_6_6_24_hour,./models/tmp/Coe_Library_Data_Extended_present_elec_kwh_linear_regression,Coe_Library_Data_Extended.csv
xgboost,Coe Library,present_elec_kwh,linear_interpolation,lassocv,1,1,24,hour,28.343322043420873,21.723581615143015,0.0703607796966004,./models/xgboost/Coe_Library_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_1_1_24_hour,./models/tmp/Coe_Library_Data_Extended_present_elec_kwh_linear_interpolation,Coe_Library_Data_Extended.csv
xgboost,Information Technology,present_elec_kwh,linear_regression,rfecv,2,2,24,hour,44.79373675007963,35.14079088486313,0.08858082366981915,./models/xgboost/Information_Technology_Data_Extended_present_elec_kwh_linear_regression_rfecv_2_2_24_hour,./models/tmp/Information_Technology_Data_Extended_present_elec_kwh_linear_regression,Information_Technology_Data_Extended.csv
solos,Centennial Complex,present_chll_tonhr,linear_regression,lassocv,7,4,24,hour,7.950277968381579,5.644432221783395,0.17198237246754353,./models/solos/Centennial_Complex_Data_Extended_present_chll_tonhr_linear_regression_lassocv_7_4_24_hour,./models/tmp/Centennial_Complex_Data_Extended_present_chll_tonhr_linear_regression,Centennial_Complex_Data_Extended.csv
ensembles,Enzi-STEM,present_elec_kwh,linear_interpolation,lassocv,3,3,24,hour,25.99382597247141,21.527175184018425,0.13155794680118424,./models/ensembles/Enzi-STEM_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_3_3_24_hour,./models/tmp/Enzi-STEM_Data_Extended_present_elec_kwh_linear_interpolation,Enzi-STEM_Data_Extended.csv
xgboost,Arts and Sciences,present_elec_kwh,prophet,lassocv,4,2,24,hour,5.496205107189715,4.264215082098761,0.21213482973896033,./models/xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_prophet_lassocv_4_2_24_hour,./models/tmp/Arts_and_Sciences_Data_Extended_present_elec_kwh_prophet,Arts_and_Sciences_Data_Extended.csv
xgboost,Half Acre Gym,present_elec_kwh,linear_regression,rfecv,3,3,24,hour,27.37002209261929,18.628051973301194,0.29249580652330354,./models/xgboost/Half_Acre_Gym_Data_Extended_present_elec_kwh_linear_regression_rfecv_3_3_24_hour,./models/tmp/Half_Acre_Gym_Data_Extended_present_elec_kwh_linear_regression,Half_Acre_Gym_Data_Extended.csv
solos,Visual Arts,present_elec_kwh,lstm,lassocv,7,7,24,hour,15.734444269216723,12.771019007730066,0.18703102965438834,./models/solos/Visual_Arts_Data_Extended_present_elec_kwh_lstm_lassocv_7_7_24_hour,./models/tmp/Visual_Arts_Data_Extended_present_elec_kwh_lstm,Visual_Arts_Data_Extended.csv
xgboost,Old Main,present_elec_kwh,linear_regression,rfecv,2,2,24,hour,5.995220851287126,4.974560642216237,0.34097362010598364,./models/xgboost/Old_Main_Data_Extended_present_elec_kwh_linear_regression_rfecv_2_2_24_hour,./models/tmp/Old_Main_Data_Extended_present_elec_kwh_linear_regression,Old_Main_Data_Extended.csv
solos,WRI and Bureau of Mines,present_elec_kwh,linear_interpolation,lassocv,3,3,24,hour,6.764291543442527,5.371882527245268,0.10115521288195793,./models/solos/WRI_and_Bureau_of_Mines_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_3_3_24_hour,./models/tmp/WRI_and_Bureau_of_Mines_Data_Extended_present_elec_kwh_linear_interpolation,WRI_and_Bureau_of_Mines_Data_Extended.csv
xgboost,College of Law,present_elec_kwh,linear_interpolation,lassocv,6,6,24,hour,10.253043280987894,7.626622352843546,0.14575489010470866,./models/xgboost/College_of_Law_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_6_6_24_hour,./models/tmp/College_of_Law_Data_Extended_present_elec_kwh_linear_interpolation,College_of_Law_Data_Extended.csv
xgboost,WTBC,present_elec_kwh,linear_regression,rfecv,5,2,24,hour,6.209046263582373,4.753846709356078,0.09172304107675648,./models/xgboost/WTBC_Data_Extended_present_elec_kwh_linear_regression_rfecv_5_2_24_hour,./models/tmp/WTBC_Data_Extended_present_elec_kwh_linear_regression,WTBC_Data_Extended.csv
ensembles,Arts and Sciences,present_elec_kwh,linear_regression,rfecv,4,1,24,hour,5.454439602642595,4.256444927709141,0.20806930941153248,./models/ensembles/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_regression_rfecv_4_1_24_hour,./models/tmp/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_regression,Arts_and_Sciences_Data_Extended.csv
xgboost,WRI and Bureau of Mines,present_elec_kwh,linear_interpolation,rfecv,2,2,24,hour,6.933327035761672,5.525220278126175,0.1052101467300934,./models/xgboost/WRI_and_Bureau_of_Mines_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_2_2_24_hour,./models/tmp/WRI_and_Bureau_of_Mines_Data_Extended_present_elec_kwh_linear_interpolation,WRI_and_Bureau_of_Mines_Data_Extended.csv
xgboost,College of Education,present_elec_kwh,linear_regression,lassocv,5,5,24,hour,13.327933243611646,9.259624456076143,0.3354141740602027,./models/xgboost/College_of_Education_Data_Extended_present_elec_kwh_linear_regression_lassocv_5_5_24_hour,./models/tmp/College_of_Education_Data_Extended_present_elec_kwh_linear_regression,College_of_Education_Data_Extended.csv
xgboost,Enzi-STEM,present_elec_kwh,lstm,rfecv,1,1,24,hour,17.13140489251558,13.106175193297414,0.07926272103820023,./models/xgboost/Enzi-STEM_Data_Extended_present_elec_kwh_lstm_rfecv_1_1_24_hour,./models/tmp/Enzi-STEM_Data_Extended_present_elec_kwh_lstm,Enzi-STEM_Data_Extended.csv
solos,Stadium,present_elec_kwh,linear_regression,rfecv,6,5,24,hour,60.417180749575245,53.092532822720266,0.47179134825821234,./models/solos/Stadium_Data_Extended_present_elec_kwh_linear_regression_rfecv_6_5_24_hour,./models/tmp/Stadium_Data_Extended_present_elec_kwh_linear_regression,Stadium_Data_Extended.csv
solos,General Storage,present_elec_kwh,lstm,lassocv,3,3,24,hour,6.246584907330963,5.647676192817088,0.43438818156133757,./models/solos/General_Storage_Data_Extended_present_elec_kwh_lstm_lassocv_3_3_24_hour,./models/tmp/General_Storage_Data_Extended_present_elec_kwh_lstm,General_Storage_Data_Extended.csv
xgboost,Coe Library,present_elec_kwh,linear_interpolation,rfecv,3,3,24,hour,28.36898329428281,21.73434348193823,0.07047780436989022,./models/xgboost/Coe_Library_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_3_3_24_hour,./models/tmp/Coe_Library_Data_Extended_present_elec_kwh_linear_interpolation,Coe_Library_Data_Extended.csv
ensembles,Enzi-STEM,present_elec_kwh,prophet,lassocv,3,3,24,hour,25.981904622114897,21.509194445116883,0.1311165978090261,./models/ensembles/Enzi-STEM_Data_Extended_present_elec_kwh_prophet_lassocv_3_3_24_hour,./models/tmp/Enzi-STEM_Data_Extended_present_elec_kwh_prophet,Enzi-STEM_Data_Extended.csv
ensembles,General Storage,present_elec_kwh,linear_regression,lassocv,3,3,24,hour,5.266621750923383,4.180655776421652,0.3244398887083384,./models/ensembles/General_Storage_Data_Extended_present_elec_kwh_linear_regression_lassocv_3_3_24_hour,./models/tmp/General_Storage_Data_Extended_present_elec_kwh_linear_regression,General_Storage_Data_Extended.csv
ensembles,Engineering,present_elec_kwh,linear_interpolation,rfecv,3,3,24,hour,31.283935594085897,23.460779192589612,0.09656405519738898,./models/ensembles/Engineering_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_3_3_24_hour,./models/tmp/Engineering_Data_Extended_present_elec_kwh_linear_interpolation,Engineering_Data_Extended.csv
ensembles,General Storage,present_elec_kwh,prophet,lassocv,6,6,24,hour,5.292624224237875,4.039264367920012,0.3113898433994426,./models/ensembles/General_Storage_Data_Extended_present_elec_kwh_prophet_lassocv_6_6_24_hour,./models/tmp/General_Storage_Data_Extended_present_elec_kwh_prophet,General_Storage_Data_Extended.csv
