model_type,bldgname,y,preprocessing_method,n_features,time_step,rmse,mae,r2,model_file
ensembles,Stadium,present_elec_kwh,linear regression,1,1,50.59574459019721,37.70266963543841,0.608021536821606,./models/ensembles/stadium_present_elec_kwh_linear_regression_1_1.pkl
ensembles,Stadium,present_elec_kwh,linear regression,1,8,34.73103554157864,21.997367916094362,0.8153656882060449,./models/ensembles/stadium_present_elec_kwh_linear_regression_1_8.pkl
ensembles,Stadium,present_elec_kwh,linear regression,1,12,33.936442626968095,21.525983244735563,0.8237728454560695,./models/ensembles/stadium_present_elec_kwh_linear_regression_1_12.pkl
ensembles,Stadium,present_elec_kwh,linear regression,1,24,32.961334500867686,20.532044212321527,0.8338303243972092,./models/ensembles/stadium_present_elec_kwh_linear_regression_1_24.pkl
ensembles,Stadium,present_elec_kwh,linear regression,2,1,50.553986147008274,37.6596088698434,0.6086682969713675,./models/ensembles/stadium_present_elec_kwh_linear_regression_2_1.pkl
ensembles,Stadium,present_elec_kwh,linear regression,2,8,34.80881783057954,22.150303591948003,0.814537762366274,./models/ensembles/stadium_present_elec_kwh_linear_regression_2_8.pkl
ensembles,Stadium,present_elec_kwh,linear regression,2,12,34.227905748007025,22.25941570787528,0.8207327928689898,./models/ensembles/stadium_present_elec_kwh_linear_regression_2_12.pkl
ensembles,Stadium,present_elec_kwh,linear regression,2,24,32.913808405387314,20.47510901805946,0.8343091704429016,./models/ensembles/stadium_present_elec_kwh_linear_regression_2_24.pkl
ensembles,Stadium,present_elec_kwh,linear regression,3,1,50.36457557846866,37.593818803471315,0.6115952077418443,./models/ensembles/stadium_present_elec_kwh_linear_regression_3_1.pkl
ensembles,Stadium,present_elec_kwh,linear regression,3,8,35.10293255107793,22.87269162743312,0.8113904207497851,./models/ensembles/stadium_present_elec_kwh_linear_regression_3_8.pkl
ensembles,Stadium,present_elec_kwh,linear regression,3,12,34.551774081247096,21.849958562731562,0.8173242494249053,./models/ensembles/stadium_present_elec_kwh_linear_regression_3_12.pkl
ensembles,Stadium,present_elec_kwh,linear regression,3,24,33.7465709410816,21.25648828470352,0.8258187116501963,./models/ensembles/stadium_present_elec_kwh_linear_regression_3_24.pkl
ensembles,Stadium,present_elec_kwh,linear regression,4,1,50.0619779694076,36.926094189436746,0.61624837082272,./models/ensembles/stadium_present_elec_kwh_linear_regression_4_1.pkl
ensembles,Stadium,present_elec_kwh,linear regression,4,8,35.33743894344388,22.787694879912053,0.8088619771512519,./models/ensembles/stadium_present_elec_kwh_linear_regression_4_8.pkl
ensembles,Stadium,present_elec_kwh,linear regression,4,12,73.88039365692896,62.30155313998509,0.16478439632468456,./models/ensembles/stadium_present_elec_kwh_linear_regression_4_12.pkl
ensembles,Stadium,present_elec_kwh,linear regression,4,24,33.28609414443028,20.92054028657334,0.8305397381295624,./models/ensembles/stadium_present_elec_kwh_linear_regression_4_24.pkl
ensembles,Stadium,present_elec_kwh,linear regression,5,1,49.914184235915144,36.65620925996967,0.6185108610103133,./models/ensembles/stadium_present_elec_kwh_linear_regression_5_1.pkl
ensembles,Stadium,present_elec_kwh,linear regression,5,8,35.545307303972166,22.59696297067543,0.8066066690852968,./models/ensembles/stadium_present_elec_kwh_linear_regression_5_8.pkl
ensembles,Stadium,present_elec_kwh,linear regression,5,12,34.13360212692554,21.255647763740875,0.8217192545058495,./models/ensembles/stadium_present_elec_kwh_linear_regression_5_12.pkl
ensembles,Stadium,present_elec_kwh,linear regression,5,24,33.02414442897952,20.808379939082492,0.833196427146225,./models/ensembles/stadium_present_elec_kwh_linear_regression_5_24.pkl
ensembles,Stadium,present_elec_kwh,linear regression,6,1,50.04203291154702,36.767334267040766,0.6165540888172512,./models/ensembles/stadium_present_elec_kwh_linear_regression_6_1.pkl
ensembles,Stadium,present_elec_kwh,linear regression,6,8,73.87194475372047,62.36553167046224,0.1647124430257928,./models/ensembles/stadium_present_elec_kwh_linear_regression_6_8.pkl
ensembles,Stadium,present_elec_kwh,linear regression,6,12,34.01573564997599,21.195835408889884,0.8229483684346569,./models/ensembles/stadium_present_elec_kwh_linear_regression_6_12.pkl
ensembles,Stadium,present_elec_kwh,linear regression,6,24,34.82853883331241,22.349767024304345,0.8144706134979409,./models/ensembles/stadium_present_elec_kwh_linear_regression_6_24.pkl
ensembles,Stadium,present_elec_kwh,linear regression,7,1,49.22325064882214,36.22803717208801,0.6289992359725642,./models/ensembles/stadium_present_elec_kwh_linear_regression_7_1.pkl
ensembles,Stadium,present_elec_kwh,linear regression,7,8,73.87194475372047,62.36553167046224,0.1647124430257928,./models/ensembles/stadium_present_elec_kwh_linear_regression_7_8.pkl
ensembles,Stadium,present_elec_kwh,linear regression,7,12,73.88039365692896,62.30155313998509,0.16478439632468456,./models/ensembles/stadium_present_elec_kwh_linear_regression_7_12.pkl
