campus,bldgname,ts,present_elec_kwh,present_htwt_mmbtuh,present_wtr_usgal,present_chll_tonh,present_co2_tonh,historical_elec_kwh,historical_htwt_mmbtuh,historical_chll_tonh,historical_co2_tonh,latitude,longitude,year,month,day,hour
West,Enzi-STEM,2023-03-14T00:00:00,,0.6674563,,,,,,,,41.315513,-105.583207,2023,3,14,0
West,Enzi-STEM,2023-03-14T01:00:00,,0.8903532,,,,,,,,41.315513,-105.583207,2023,3,14,1
West,Enzi-STEM,2023-03-14T02:00:00,,,,,,,,,,41.315513,-105.583207,2023,3,14,2
West,Enzi-STEM,2023-03-14T03:00:00,,0.9200212,,,,,,,,41.315513,-105.583207,2023,3,14,3
West,Enzi-STEM,2023-03-14T04:00:00,,,,,,,,,,41.315513,-105.583207,2023,3,14,4
West,Enzi-STEM,2023-03-14T05:00:00,,,,,,,,,,41.315513,-105.583207,2023,3,14,5
West,Enzi-STEM,2023-03-14T06:00:00,,,,,,,,,,41.315513,-105.583207,2023,3,14,6
West,Enzi-STEM,2023-03-14T07:00:00,,,,,,,,,,41.315513,-105.583207,2023,3,14,7
West,Enzi-STEM,2023-03-14T08:00:00,,0.7586118000000001,,,,,,,,41.315513,-105.583207,2023,3,14,8
West,Enzi-STEM,2023-03-14T09:00:00,,0.6814248,,,,,,,,41.315513,-105.583207,2023,3,14,9
West,Enzi-STEM,2023-03-14T10:00:00,,0.5845098,,,,,,,,41.315513,-105.583207,2023,3,14,10
West,Enzi-STEM,2023-03-14T11:00:00,,0.5645005999999999,,,,,,,,41.315513,-105.583207,2023,3,14,11
West,Enzi-STEM,2023-03-14T12:00:00,,0.5153168,,,,,,,,41.315513,-105.583207,2023,3,14,12
West,Enzi-STEM,2023-03-14T13:00:00,,0.4906445999999999,,,,,,,,41.315513,-105.583207,2023,3,14,13
West,Enzi-STEM,2023-03-14T14:00:00,,0.4544855999999999,,,,,,,,41.315513,-105.583207,2023,3,14,14
West,Enzi-STEM,2023-03-14T15:00:00,,0.4158214999999999,,,,,,,,41.315513,-105.583207,2023,3,14,15
West,Enzi-STEM,2023-03-14T16:00:00,,0.4945894999999999,,,,,,,,41.315513,-105.583207,2023,3,14,16
West,Enzi-STEM,2023-03-14T17:00:00,,0.4951090999999999,,,,,,,,41.315513,-105.583207,2023,3,14,17
West,Enzi-STEM,2023-03-14T18:00:00,,0.5357369,,,,,,,,41.315513,-105.583207,2023,3,14,18
West,Enzi-STEM,2023-03-14T19:00:00,,0.6939429,,,,,,,,41.315513,-105.583207,2023,3,14,19
West,Enzi-STEM,2023-03-14T20:00:00,,0.6285813,,,,,,,,41.315513,-105.583207,2023,3,14,20
West,Enzi-STEM,2023-03-14T21:00:00,,0.5979690999999999,,,,,,,,41.315513,-105.583207,2023,3,14,21
West,Enzi-STEM,2023-03-14T22:00:00,,0.6195989,,,,,,,,41.315513,-105.583207,2023,3,14,22
West,Enzi-STEM,2023-03-14T23:00:00,,0.5799369,,,,,,,,41.315513,-105.583207,2023,3,14,23
West,Enzi-STEM,2023-03-15T00:00:00,,0.5840494,,,,,,,,41.315513,-105.583207,2023,3,15,0
West,Enzi-STEM,2023-03-15T01:00:00,,0.5545253,,,,,,,,41.315513,-105.583207,2023,3,15,1
West,Enzi-STEM,2023-03-15T02:00:00,,0.6990575,,,,,,,,41.315513,-105.583207,2023,3,15,2
West,Enzi-STEM,2023-03-15T03:00:00,,0.7063849,,,,,,,,41.315513,-105.583207,2023,3,15,3
West,Enzi-STEM,2023-03-15T04:00:00,,0.5699436,,,,,,,,41.315513,-105.583207,2023,3,15,4
West,Enzi-STEM,2023-03-15T05:00:00,,0.5609219,,,,,,,,41.315513,-105.583207,2023,3,15,5
West,Enzi-STEM,2023-03-15T06:00:00,,0.7483108,,,,,,,,41.315513,-105.583207,2023,3,15,6
West,Enzi-STEM,2023-03-15T07:00:00,,0.8611591,,,,,,,,41.315513,-105.583207,2023,3,15,7
West,Enzi-STEM,2023-03-15T08:00:00,,0.7926694,,,,,,,,41.315513,-105.583207,2023,3,15,8
West,Enzi-STEM,2023-03-15T09:00:00,,0.5833296,,,,,,,,41.315513,-105.583207,2023,3,15,9
West,Enzi-STEM,2023-03-15T10:00:00,,0.496548,,,,,,,,41.315513,-105.583207,2023,3,15,10
West,Enzi-STEM,2023-03-15T11:00:00,,0.4692672999999999,,,,,,,,41.315513,-105.583207,2023,3,15,11
West,Enzi-STEM,2023-03-15T12:00:00,,0.4061887,,,,,,,,41.315513,-105.583207,2023,3,15,12
West,Enzi-STEM,2023-03-15T13:00:00,,0.4213028,,,,,,,,41.315513,-105.583207,2023,3,15,13
West,Enzi-STEM,2023-03-15T14:00:00,,0.4657450999999999,,,,,,,,41.315513,-105.583207,2023,3,15,14
West,Enzi-STEM,2023-03-15T15:00:00,,0.5360924,,,,,,,,41.315513,-105.583207,2023,3,15,15
West,Enzi-STEM,2023-03-15T16:00:00,,0.4494822999999999,,,,,,,,41.315513,-105.583207,2023,3,15,16
West,Enzi-STEM,2023-03-15T17:00:00,,0.5134512,,,,,,,,41.315513,-105.583207,2023,3,15,17
West,Enzi-STEM,2023-03-15T18:00:00,,0.6273751,,,,,,,,41.315513,-105.583207,2023,3,15,18
West,Enzi-STEM,2023-03-15T19:00:00,,0.9207642,,,,,,,,41.315513,-105.583207,2023,3,15,19
