campus,bldgname,ts,present_elec_kwh,present_htwt_mmbtuh,present_wtr_usgal,present_chll_tonh,present_co2_tonh,latitude,longitude,year,month,day,hour
West,Anthropology,2023-03-14T00:00:00,,0.1565573999999999,,,,41.315162,-105.580868,2023,3,14,0
West,Anthropology,2023-03-14T01:00:00,45.0,0.2184598999999999,,,0.0310499999999999,41.315162,-105.580868,2023,3,14,1
West,Anthropology,2023-03-14T02:00:00,45.0,0.1452601,,,0.0310499999999999,41.315162,-105.580868,2023,3,14,2
West,Anthropology,2023-03-14T03:00:00,47.0,0.1818603999999999,,,0.03243,41.315162,-105.580868,2023,3,14,3
West,Anthropology,2023-03-14T04:00:00,45.0,0.2290423999999999,,,0.0310499999999999,41.315162,-105.580868,2023,3,14,4
West,Anthropology,2023-03-14T05:00:00,45.0,0.1805357999999999,,,0.0310499999999999,41.315162,-105.580868,2023,3,14,5
West,Anthropology,2023-03-14T06:00:00,45.0,0.1844526,,,0.0310499999999999,41.315162,-105.580868,2023,3,14,6
West,Anthropology,2023-03-14T07:00:00,48.0,0.1512427,,,0.03312,41.315162,-105.580868,2023,3,14,7
West,Anthropology,2023-03-14T08:00:00,51.0,0.1149603999999999,,,0.03519,41.315162,-105.580868,2023,3,14,8
West,Anthropology,2023-03-14T09:00:00,52.0,0.1490006,,,0.0358799999999999,41.315162,-105.580868,2023,3,14,9
West,Anthropology,2023-03-14T10:00:00,58.0,0.0,,,0.04002,41.315162,-105.580868,2023,3,14,10
West,Anthropology,2023-03-14T11:00:00,55.0,0.114356,,,0.03795,41.315162,-105.580868,2023,3,14,11
West,Anthropology,2023-03-14T12:00:00,52.0,0.1096888,,0.0,0.0358799999999999,41.315162,-105.580868,2023,3,14,12
West,Anthropology,2023-03-14T13:00:00,54.0,0.0856212,,0.0,0.03726,41.315162,-105.580868,2023,3,14,13
West,Anthropology,2023-03-14T14:00:00,55.0,0.0147147999999999,,0.0,0.03795,41.315162,-105.580868,2023,3,14,14
West,Anthropology,2023-03-14T15:00:00,55.0,0.0795049999999999,,0.0,0.03795,41.315162,-105.580868,2023,3,14,15
West,Anthropology,2023-03-14T16:00:00,50.0,0.0468424999999999,,0.0,0.0344999999999999,41.315162,-105.580868,2023,3,14,16
West,Anthropology,2023-03-14T17:00:00,49.0,0.0,,0.0,0.03381,41.315162,-105.580868,2023,3,14,17
West,Anthropology,2023-03-14T18:00:00,47.0,0.0884153999999999,,0.0,0.03243,41.315162,-105.580868,2023,3,14,18
