campus,bldgname,ts,present_elec_kwh,present_htwt_mmbtuh,present_wtr_usgal,present_chll_tonh,present_co2_tonh,latitude,longitude,year,month,day,hour,temp_c,rel_humidity_%,surface_pressure_hpa,cloud_cover_%,direct_radiation_w/m2,precipitation_mm,wind_speed_ground_km/h,wind_dir_ground_deg
West,Anthropology,2023-03-14T00:00:00,,0.1565573999999999,,,,41.315162,-105.580868,2023,3,14,0,-4.9,70,774.7,48,0.0,0.0,17.4,243
West,Anthropology,2023-03-14T01:00:00,45.0,0.2184598999999999,,,0.0310499999999999,41.315162,-105.580868,2023,3,14,1,-4.3,69,775.1,36,0.0,0.0,18.9,246
West,Anthropology,2023-03-14T02:00:00,45.0,0.1452601,,,0.0310499999999999,41.315162,-105.580868,2023,3,14,2,-4.2,69,774.9,12,0.0,0.0,19.5,247
West,Anthropology,2023-03-14T03:00:00,47.0,0.1818603999999999,,,0.03243,41.315162,-105.580868,2023,3,14,3,-4.1,70,775.0,0,0.0,0.0,19.5,247
West,Anthropology,2023-03-14T04:00:00,45.0,0.2290423999999999,,,0.0310499999999999,41.315162,-105.580868,2023,3,14,4,-4.1,71,775.1,0,0.0,0.0,20.9,249
West,Anthropology,2023-03-14T05:00:00,45.0,0.1805357999999999,,,0.0310499999999999,41.315162,-105.580868,2023,3,14,5,-3.6,71,775.6,0,0.0,0.0,20.4,249
West,Anthropology,2023-03-14T06:00:00,45.0,0.1844526,,,0.0310499999999999,41.315162,-105.580868,2023,3,14,6,-3.2,71,776.1,0,0.0,0.0,20.3,245
West,Anthropology,2023-03-14T07:00:00,48.0,0.1512427,,,0.03312,41.315162,-105.580868,2023,3,14,7,-3.0,72,776.2,0,0.0,0.0,22.7,245
West,Anthropology,2023-03-14T08:00:00,51.0,0.1149603999999999,,,0.03519,41.315162,-105.580868,2023,3,14,8,-2.7,72,776.4,2,20.0,0.0,24.2,245
West,Anthropology,2023-03-14T09:00:00,52.0,0.1490006,,,0.0358799999999999,41.315162,-105.580868,2023,3,14,9,-1.4,71,776.9,4,167.0,0.0,28.8,252
West,Anthropology,2023-03-14T10:00:00,58.0,0.0,,,0.04002,41.315162,-105.580868,2023,3,14,10,0.1,69,777.4,0,351.0,0.0,28.8,257
West,Anthropology,2023-03-14T11:00:00,55.0,0.114356,,,0.03795,41.315162,-105.580868,2023,3,14,11,1.6,65,777.8,3,512.0,0.0,29.8,258
West,Anthropology,2023-03-14T12:00:00,52.0,0.1096888,,0.0,0.0358799999999999,41.315162,-105.580868,2023,3,14,12,2.7,60,777.8,11,640.0,0.0,28.7,258
West,Anthropology,2023-03-14T13:00:00,54.0,0.0856212,,0.0,0.03726,41.315162,-105.580868,2023,3,14,13,3.8,52,778.1,8,728.0,0.0,26.3,260
West,Anthropology,2023-03-14T14:00:00,55.0,0.0147147999999999,,0.0,0.03795,41.315162,-105.580868,2023,3,14,14,4.1,50,777.6,19,741.0,0.0,22.7,260
West,Anthropology,2023-03-14T15:00:00,55.0,0.0795049999999999,,0.0,0.03795,41.315162,-105.580868,2023,3,14,15,4.6,50,777.4,26,675.0,0.0,17.7,257
West,Anthropology,2023-03-14T16:00:00,50.0,0.0468424999999999,,0.0,0.0344999999999999,41.315162,-105.580868,2023,3,14,16,4.4,53,777.5,34,549.0,0.0,13.2,248
West,Anthropology,2023-03-14T17:00:00,49.0,0.0,,0.0,0.03381,41.315162,-105.580868,2023,3,14,17,4.1,57,777.3,72,399.0,0.0,9.6,236
West,Anthropology,2023-03-14T18:00:00,47.0,0.0884153999999999,,0.0,0.03243,41.315162,-105.580868,2023,3,14,18,3.3,60,776.2,79,177.0,0.0,8.6,213
West,Anthropology,2023-03-14T19:00:00,47.0,0.0,,0.0,0.03243,41.315162,-105.580868,2023,3,14,19,2.1,61,774.9,77,16.0,0.0,10.4,200
West,Anthropology,2023-03-14T20:00:00,44.0,0.0,,0.0,0.0303599999999999,41.315162,-105.580868,2023,3,14,20,1.3,63,773.9,59,0.0,0.0,10.6,198
West,Anthropology,2023-03-14T21:00:00,45.0,0.0,,0.0,0.0310499999999999,41.315162,-105.580868,2023,3,14,21,0.9,64,773.8,90,0.0,0.0,11.9,209
West,Anthropology,2023-03-14T22:00:00,45.0,0.1231826999999999,,0.0,0.0310499999999999,41.315162,-105.580868,2023,3,14,22,0.3,65,773.1,89,0.0,0.0,11.8,203
West,Anthropology,2023-03-14T23:00:00,48.0,0.131288,,0.0,0.03312,41.315162,-105.580868,2023,3,14,23,0.6,65,772.6,86,0.0,0.0,13.7,198
West,Anthropology,2023-03-15T00:00:00,44.0,0.0,,,0.0303599999999999,41.315162,-105.580868,2023,3,15,0,1.3,62,772.5,65,0.0,0.0,14.6,200
West,Anthropology,2023-03-15T01:00:00,45.0,0.1369164,,,0.0310499999999999,41.315162,-105.580868,2023,3,15,1,0.8,63,772.0,38,0.0,0.0,14.1,218
West,Anthropology,2023-03-15T02:00:00,45.0,0.0,,,0.0310499999999999,41.315162,-105.580868,2023,3,15,2,0.9,67,771.9,30,0.0,0.0,18.7,230
West,Anthropology,2023-03-15T03:00:00,44.0,0.147191,,,0.0303599999999999,41.315162,-105.580868,2023,3,15,3,1.4,71,771.3,29,0.0,0.0,26.4,244
West,Anthropology,2023-03-15T04:00:00,46.0,0.1388348999999999,,,0.03174,41.315162,-105.580868,2023,3,15,4,1.9,72,770.9,32,0.0,0.0,24.0,237
West,Anthropology,2023-03-15T05:00:00,49.0,0.0,,,0.03381,41.315162,-105.580868,2023,3,15,5,2.0,73,770.8,30,0.0,0.0,24.7,241
West,Anthropology,2023-03-15T06:00:00,47.0,0.0,,,0.03243,41.315162,-105.580868,2023,3,15,6,2.0,74,770.6,28,0.0,0.0,29.6,244
West,Anthropology,2023-03-15T07:00:00,48.0,0.1055363999999999,,,0.03312,41.315162,-105.580868,2023,3,15,7,1.9,74,770.0,26,0.0,0.0,30.0,240
West,Anthropology,2023-03-15T08:00:00,50.0,0.1475416,,,0.0344999999999999,41.315162,-105.580868,2023,3,15,8,2.0,74,770.0,6,22.0,0.0,24.6,243
West,Anthropology,2023-03-15T09:00:00,53.0,0.1202811999999999,,,0.03657,41.315162,-105.580868,2023,3,15,9,2.8,73,770.8,3,169.0,0.0,22.3,247
West,Anthropology,2023-03-15T10:00:00,51.0,0.1059495,,,0.03519,41.315162,-105.580868,2023,3,15,10,3.8,71,771.1,47,318.0,0.0,20.2,248
West,Anthropology,2023-03-15T11:00:00,51.0,0.0958378,,,0.03519,41.315162,-105.580868,2023,3,15,11,4.7,69,771.1,86,356.0,0.0,17.4,246
West,Anthropology,2023-03-15T12:00:00,54.0,0.0873808,,0.0,0.03726,41.315162,-105.580868,2023,3,15,12,5.3,66,771.2,71,485.0,0.0,18.0,241
West,Anthropology,2023-03-15T13:00:00,54.0,0.0859774,,0.0,0.03726,41.315162,-105.580868,2023,3,15,13,6.4,64,771.5,60,458.0,0.0,19.0,243
West,Anthropology,2023-03-15T14:00:00,51.0,0.0831938,,0.0,0.03519,41.315162,-105.580868,2023,3,15,14,6.4,65,771.5,80,666.0,0.0,18.4,253
West,Anthropology,2023-03-15T15:00:00,51.0,0.1041811999999999,,0.0,0.03519,41.315162,-105.580868,2023,3,15,15,6.0,68,771.1,93,383.0,0.0,16.8,261
West,Anthropology,2023-03-15T16:00:00,52.0,0.1084816,,0.0,0.0358799999999999,41.315162,-105.580868,2023,3,15,16,5.3,71,770.2,98,163.0,0.0,14.0,288
West,Anthropology,2023-03-15T17:00:00,49.0,0.1090843999999999,,0.0,0.03381,41.315162,-105.580868,2023,3,15,17,4.5,75,770.5,87,112.0,0.0,15.5,292
West,Anthropology,2023-03-15T18:00:00,47.0,0.1354862999999999,,0.0,0.03243,41.315162,-105.580868,2023,3,15,18,3.4,79,769.9,55,75.0,0.0,13.7,300
West,Anthropology,2023-03-15T19:00:00,45.0,0.0958928999999999,,0.0,0.0310499999999999,41.315162,-105.580868,2023,3,15,19,2.1,80,770.3,98,8.0,0.1,13.5,304
West,Anthropology,2023-03-15T20:00:00,47.0,0.149167,,0.0,0.03243,41.315162,-105.580868,2023,3,15,20,1.2,79,771.5,100,0.0,0.0,18.8,302
West,Anthropology,2023-03-15T21:00:00,47.0,0.191208,,0.0,0.03243,41.315162,-105.580868,2023,3,15,21,0.3,77,771.8,100,0.0,0.0,20.8,293
