campus,bldgname,ts,present_elec_kwh,present_htwt_mmbtuh,present_wtr_usgal,present_chll_tonh,present_co2_tonh,latitude,longitude,year,month,day,hour,temp_c,rel_humidity_%,surface_pressure_hpa,cloud_cover_%,direct_radiation_w/m2,precipitation_mm,wind_speed_ground_km/h,wind_dir_ground_deg
West,Enzi-STEM,2023-03-14T00:00:00,,0.6674563,,,,41.315513,-105.583207,2023,3,14,0,-4.8,70,774.9,48,0.0,0.0,17.4,243
West,Enzi-STEM,2023-03-14T01:00:00,,0.8903532,,,,41.315513,-105.583207,2023,3,14,1,-4.3,69,775.3,36,0.0,0.0,18.9,246
West,Enzi-STEM,2023-03-14T02:00:00,,,,,,41.315513,-105.583207,2023,3,14,2,-4.1,69,775.1,12,0.0,0.0,19.5,247
West,Enzi-STEM,2023-03-14T03:00:00,,0.9200212,,,,41.315513,-105.583207,2023,3,14,3,-4.1,70,775.2,0,0.0,0.0,19.5,247
West,Enzi-STEM,2023-03-14T04:00:00,,,,,,41.315513,-105.583207,2023,3,14,4,-4.0,71,775.3,0,0.0,0.0,20.9,249
West,Enzi-STEM,2023-03-14T05:00:00,,,,,,41.315513,-105.583207,2023,3,14,5,-3.6,71,775.8,0,0.0,0.0,20.4,249
West,Enzi-STEM,2023-03-14T06:00:00,,,,,,41.315513,-105.583207,2023,3,14,6,-3.1,71,776.3,0,0.0,0.0,20.3,245
West,Enzi-STEM,2023-03-14T07:00:00,,,,,,41.315513,-105.583207,2023,3,14,7,-3.0,72,776.4,0,0.0,0.0,22.7,245
West,Enzi-STEM,2023-03-14T08:00:00,,0.7586118000000001,,,,41.315513,-105.583207,2023,3,14,8,-2.7,72,776.6,2,20.0,0.0,24.2,245
West,Enzi-STEM,2023-03-14T09:00:00,,0.6814248,,,,41.315513,-105.583207,2023,3,14,9,-1.4,71,777.0,4,167.0,0.0,28.8,252
West,Enzi-STEM,2023-03-14T10:00:00,,0.5845098,,,,41.315513,-105.583207,2023,3,14,10,0.2,69,777.6,0,351.0,0.0,28.8,257
West,Enzi-STEM,2023-03-14T11:00:00,,0.5645005999999999,,,,41.315513,-105.583207,2023,3,14,11,1.6,65,778.0,3,512.0,0.0,29.8,258
West,Enzi-STEM,2023-03-14T12:00:00,,0.5153168,,,,41.315513,-105.583207,2023,3,14,12,2.8,60,777.9,11,640.0,0.0,28.7,258
West,Enzi-STEM,2023-03-14T13:00:00,,0.4906445999999999,,,,41.315513,-105.583207,2023,3,14,13,3.8,52,778.2,8,728.0,0.0,26.3,260
West,Enzi-STEM,2023-03-14T14:00:00,,0.4544855999999999,,,,41.315513,-105.583207,2023,3,14,14,4.2,50,777.8,19,741.0,0.0,22.7,260
West,Enzi-STEM,2023-03-14T15:00:00,,0.4158214999999999,,,,41.315513,-105.583207,2023,3,14,15,4.7,50,777.6,26,675.0,0.0,17.7,257
West,Enzi-STEM,2023-03-14T16:00:00,,0.4945894999999999,,,,41.315513,-105.583207,2023,3,14,16,4.5,53,777.7,34,549.0,0.0,13.2,248
West,Enzi-STEM,2023-03-14T17:00:00,,0.4951090999999999,,,,41.315513,-105.583207,2023,3,14,17,4.1,57,777.5,72,399.0,0.0,9.6,236
West,Enzi-STEM,2023-03-14T18:00:00,,0.5357369,,,,41.315513,-105.583207,2023,3,14,18,3.3,60,776.3,79,177.0,0.0,8.6,213
West,Enzi-STEM,2023-03-14T19:00:00,,0.6939429,,,,41.315513,-105.583207,2023,3,14,19,2.2,61,775.1,77,16.0,0.0,10.4,200
West,Enzi-STEM,2023-03-14T20:00:00,,0.6285813,,,,41.315513,-105.583207,2023,3,14,20,1.4,63,774.1,59,0.0,0.0,10.6,198
West,Enzi-STEM,2023-03-14T21:00:00,,0.5979690999999999,,,,41.315513,-105.583207,2023,3,14,21,1.0,64,774.0,90,0.0,0.0,11.9,209
West,Enzi-STEM,2023-03-14T22:00:00,,0.6195989,,,,41.315513,-105.583207,2023,3,14,22,0.3,65,773.2,89,0.0,0.0,11.8,203
West,Enzi-STEM,2023-03-14T23:00:00,,0.5799369,,,,41.315513,-105.583207,2023,3,14,23,0.6,65,772.8,86,0.0,0.0,13.7,198
West,Enzi-STEM,2023-03-15T00:00:00,,0.5840494,,,,41.315513,-105.583207,2023,3,15,0,1.3,62,772.7,65,0.0,0.0,14.6,200
West,Enzi-STEM,2023-03-15T01:00:00,,0.5545253,,,,41.315513,-105.583207,2023,3,15,1,0.9,63,772.2,38,0.0,0.0,14.1,218
West,Enzi-STEM,2023-03-15T02:00:00,,0.6990575,,,,41.315513,-105.583207,2023,3,15,2,1.0,67,772.0,30,0.0,0.0,18.7,230
West,Enzi-STEM,2023-03-15T03:00:00,,0.7063849,,,,41.315513,-105.583207,2023,3,15,3,1.4,71,771.5,29,0.0,0.0,26.4,244
West,Enzi-STEM,2023-03-15T04:00:00,,0.5699436,,,,41.315513,-105.583207,2023,3,15,4,2.0,72,771.1,32,0.0,0.0,24.0,237
West,Enzi-STEM,2023-03-15T05:00:00,,0.5609219,,,,41.315513,-105.583207,2023,3,15,5,2.0,73,771.0,30,0.0,0.0,24.7,241
West,Enzi-STEM,2023-03-15T06:00:00,,0.7483108,,,,41.315513,-105.583207,2023,3,15,6,2.0,74,770.8,28,0.0,0.0,29.6,244
West,Enzi-STEM,2023-03-15T07:00:00,,0.8611591,,,,41.315513,-105.583207,2023,3,15,7,1.9,74,770.2,26,0.0,0.0,30.0,240
West,Enzi-STEM,2023-03-15T08:00:00,,0.7926694,,,,41.315513,-105.583207,2023,3,15,8,2.1,74,770.1,6,22.0,0.0,24.6,243
West,Enzi-STEM,2023-03-15T09:00:00,,0.5833296,,,,41.315513,-105.583207,2023,3,15,9,2.9,73,771.0,3,169.0,0.0,22.3,247
