campus,bldgname,ts,present_elec_kwh,historical_elec_kwh,present_htwt_mmbtuh,historical_htwt_mmbtuh,present_wtr_usgal,historical_wtr_usgal,present_chll_tonh,historical_chll_tonh,present_co2_tonh,historical_co2_tonh,latitude,longitude,year,month,day,hour
East,Arena Auditorium,2019-09-19T00:00:00,110.0,,,,,1076.3888,,,0.0759,,41.313276,-105.569515,2019,9,19,0
East,Arena Auditorium,2019-09-19T01:00:00,120.0,,,,,1076.3888,,,0.0828,,41.313276,-105.569515,2019,9,19,1
East,Arena Auditorium,2019-09-19T02:00:00,110.0,,,,,1076.3888,,,0.0759,,41.313276,-105.569515,2019,9,19,2
East,Arena Auditorium,2019-09-19T03:00:00,130.0,,,,,1076.3888,,,0.0897,,41.313276,-105.569515,2019,9,19,3
East,Arena Auditorium,2019-09-19T04:00:00,140.0,,,,,1076.3888,,,0.09659999999999999,,41.313276,-105.569515,2019,9,19,4
East,Arena Auditorium,2019-09-19T05:00:00,130.0,,,,,1076.3888,,,0.0897,,41.313276,-105.569515,2019,9,19,5
East,Arena Auditorium,2019-09-19T06:00:00,150.0,,,,,1076.3888,,,0.1035,,41.313276,-105.569515,2019,9,19,6
East,Arena Auditorium,2019-09-19T07:00:00,170.0,,,,,1076.3888,,,0.11729999999999999,,41.313276,-105.569515,2019,9,19,7
East,Arena Auditorium,2019-09-19T08:00:00,180.0,,,,,1076.3888,,,0.12419999999999999,,41.313276,-105.569515,2019,9,19,8
East,Arena Auditorium,2019-09-19T09:00:00,170.0,,,,,1076.3888,,,0.11729999999999999,,41.313276,-105.569515,2019,9,19,9
East,Arena Auditorium,2019-09-19T10:00:00,180.0,,,,,1076.3888,,,0.12419999999999999,,41.313276,-105.569515,2019,9,19,10
East,Arena Auditorium,2019-09-19T11:00:00,170.0,,,,,1076.3888,,,0.11729999999999999,,41.313276,-105.569515,2019,9,19,11
East,Arena Auditorium,2019-09-19T12:00:00,170.0,,,,,1076.3888,,,0.11729999999999999,,41.313276,-105.569515,2019,9,19,12
East,Arena Auditorium,2019-09-19T13:00:00,180.0,,,,,1076.3888,,,0.12419999999999999,,41.313276,-105.569515,2019,9,19,13
East,Arena Auditorium,2019-09-19T14:00:00,190.0,,,,,1076.3888,,,0.1311,,41.313276,-105.569515,2019,9,19,14
East,Arena Auditorium,2019-09-19T15:00:00,180.0,,,,,1076.3888,,,0.12419999999999999,,41.313276,-105.569515,2019,9,19,15
East,Arena Auditorium,2019-09-19T16:00:00,170.0,,,,,1076.3888,,,0.11729999999999999,,41.313276,-105.569515,2019,9,19,16
East,Arena Auditorium,2019-09-19T17:00:00,140.0,,,,,1076.3888,,,0.09659999999999999,,41.313276,-105.569515,2019,9,19,17
East,Arena Auditorium,2019-09-19T18:00:00,150.0,,,,,1076.3888,,,0.1035,,41.313276,-105.569515,2019,9,19,18
East,Arena Auditorium,2019-09-19T19:00:00,160.0,,,,,1076.3888,,,0.1104,,41.313276,-105.569515,2019,9,19,19
East,Arena Auditorium,2019-09-19T20:00:00,150.0,,,,,1076.3888,,,0.1035,,41.313276,-105.569515,2019,9,19,20
East,Arena Auditorium,2019-09-19T21:00:00,130.0,,,,,1076.3888,,,0.0897,,41.313276,-105.569515,2019,9,19,21
East,Arena Auditorium,2019-09-19T22:00:00,130.0,,,,,1076.3888,,,0.0897,,41.313276,-105.569515,2019,9,19,22
East,Arena Auditorium,2019-09-19T23:00:00,110.0,,,,,1076.3888,,,0.0759,,41.313276,-105.569515,2019,9,19,23
East,Arena Auditorium,2019-09-20T00:00:00,120.0,,,,,1076.3888,,,0.0828,,41.313276,-105.569515,2019,9,20,0
East,Arena Auditorium,2019-09-20T01:00:00,110.0,,,,,1076.3888,,,0.0759,,41.313276,-105.569515,2019,9,20,1
East,Arena Auditorium,2019-09-20T02:00:00,120.0,,,,,1076.3888,,,0.0828,,41.313276,-105.569515,2019,9,20,2
